WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
98072,"$200,000 or more",1174,1067,711,3729,1486,476884,1072,315556,1061,7393,888,13396,844,9833,258,19574,**,838,23943,126,9348,198,6969,47,549,103,2281,87,2356,1125,54451,67,1451,1005,4628,1107,9904,1124,16271,987,22403,1030,9808,1173,408560,598,3171,136,148,**,**,114,56,0,0,0,0,0,0,598,2573,1169,107033,1170,110289,541,9890,627,11674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98074,,"10,918","6,685","4,402","26,576","9,981","1,520,514","9,634","1,216,519","7,378","13,456","5,853","32,905","5,501","24,729","1,915","45,813",0,"4,916","68,892",967,"22,371","1,545","33,870",920,"11,002",894,"13,635",192,"4,036","7,070","225,293",255,"2,435","6,218","19,104","6,829","39,893","7,028","63,165","6,383","112,835","6,200","25,125","9,562","1,183,789","4,671","7,691",775,791,"1,579","2,039",718,353,282,357,343,506,261,402,"1,230","4,237","9,146","257,188","9,446","264,955","2,937","20,668","7,549","33,951"
98074,"$1 under $25,000",2298,208,734,1762,295,21699,1755,17595,860,776,554,1128,519,736,237,1214,**,455,403,84,509,164,1257,112,992,54,107,**,**,254,6653,**,**,203,503,197,995,239,1566,159,2342,164,286,1082,6284,254,93,**,**,20,8,**,**,108,120,246,360,198,303,**,**,906,584,1081,860,355,167,1576,1712
98074,"$25,000 under $50,000",1148,304,427,1918,460,41956,901,30171,562,706,337,1206,301,706,192,2910,**,240,302,120,1760,180,2910,175,2206,175,1224,**,**,425,9598,**,**,353,475,385,1861,417,2449,324,3830,316,587,1047,22062,366,284,** 32,** 23,137,118,** 24,** 14,98,130,97,146,63,99,**,**,911,2512,991,3072,193,375,923,2076
98074,"$50,000 under $75,000",963,465,447,2006,576,60161,798,44388,612,996,396,1377,360,864,182,3099,**,306,265,139,2586,189,4384,120,1403,178,2522,33,389,635,15076,40,71,549,939,593,2841,627,3949,541,6812,514,1168,936,35561,411,557,59,48,207,308,23,9,53,77,0,0,0,0,**,**,866,4622,899,5230,212,555,735,2577
98074,"$75,000 under $100,000",982,660,400,2453,802,86294,876,67653,696,797,490,1458,448,890,212,3316,**,370,530,149,2997,190,5034,133,1743,146,2735,**,**,747,18004,27,98,661,1539,720,3299,744,5057,691,9484,650,1544,979,57292,550,892,85,86,331,536,52,29,** 23,** 30,0,0,0,0,**,**,957,7857,964,8554,211,637,767,3033
98074,"$100,000 under $200,000",3463,3063,1350,11071,4537,497324,3314,434512,2791,3342,2341,7358,2199,5203,709,14560,**,1950,3888,327,8487,549,12803,294,3725,266,5539,64,944,3047,89087,93,502,2692,7703,2996,16016,3040,24744,2869,49119,2706,8757,3458,363989,1997,2592,370,373,884,1069,335,165,**,**,0,0,0,0,122,235,3447,63355,3450,65796,942,3801,2515,12809
98074,"$200,000 or more",2064,1985,1044,7366,3311,813080,1990,622200,1857,6839,1735,20378,1674,16330,383,20714,**,1595,63504,148,6032,273,7482,86,933,75,1508,95,2703,1962,86875,95,1764,1760,7945,1938,14881,1961,25400,1799,41248,1850,12783,2060,698601,1093,3273,229,261,0,0,284,136,0,0,0,0,0,0,1108,4002,2059,178258,2061,181443,1024,15133,1033,11744
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98075,,"8,794","5,517","3,768","22,218","8,721","1,298,934","7,705","1,008,836","5,986","14,377","4,776","35,133","4,455","26,189","1,570","44,234",0,"4,035","45,242",851,"23,848","1,309","29,992",676,"8,031",768,"12,503",204,"5,153","5,791","209,168",276,"3,840","5,090","16,440","5,586","40,787","5,767","62,352","5,157","100,232","5,102","25,445","7,667","997,402","3,848","7,149",506,528,"1,299","1,650",686,343,259,344,273,426,222,334,"1,297","5,757","7,301","221,821","7,551","229,717","2,363","19,323","6,089","34,105"
98075,"$1 under $25,000",1864,157,620,1440,249,16776,1422,13518,688,635,499,918,443,493,181,1190,**,377,-50,69,746,116,1044,75,660,41,60,**,**,203,4898,**,**,149,161,153,1067,193,1260,120,1734,125,189,856,4647,220,86,**,**,** 22,** 10,** 26,** 11,103,123,187,299,157,241,**,**,697,421,838,650,296,163,1278,1405
98075,"$25,000 under $50,000",845,248,351,1459,371,31211,678,23651,412,495,270,921,247,584,131,1214,**,202,817,93,1022,146,2364,105,1400,144,1022,**,**,308,6953,** 33,** 59,267,367,268,1628,304,2089,225,2888,241,452,768,16163,278,237,**,**,109,105,**,**,84,126,86,127,65,93,**,**,667,1785,725,2087,130,230,702,1927
98075,"$50,000 under $75,000",745,371,346,1617,494,46304,604,33204,445,802,309,1229,280,813,173,2260,**,249,135,120,2448,184,3380,90,1247,159,2466,** 22,** 245,457,11527,**,**,402,773,415,2480,453,3370,367,5132,386,805,719,26697,341,454,** 58,** 51,195,267,34,17,72,95,0,0,0,0,**,**,649,3362,684,3923,157,418,579,2100
98075,"$75,000 under $100,000",724,496,299,1910,687,63510,627,47780,527,809,377,1491,345,967,167,3120,**,307,736,112,2548,165,3926,85,947,124,2497,**,**,537,14148,21,141,470,931,523,3154,535,4311,476,7126,456,1187,721,40690,419,693,46,56,278,456,41,19,**,**,0,0,0,0,**,**,701,5405,710,5957,132,479,588,2590
98075,"$100,000 under $200,000",2639,2364,1050,8788,3777,387785,2494,332508,2147,2815,1756,6508,1636,4568,570,12811,**,1436,2366,277,8011,411,11518,226,2713,207,4222,56,837,2376,77300,72,535,2126,6270,2340,15699,2372,22966,2220,41232,2126,7479,2630,275986,1549,1955,218,198,695,812,306,155,**,**,0,0,0,0,124,346,2617,48052,2622,50306,736,3204,1896,10776
98075,"$200,000 or more",1977,1881,1102,7004,3143,753348,1880,558175,1767,8821,1565,24066,1504,18764,348,23639,**,1464,41238,180,9073,287,7760,95,1064,93,2236,126,4071,1910,94342,150,3105,1676,7938,1887,16759,1910,28356,1749,42120,1768,15333,1973,633219,1041,3724,184,223,**,**,279,141,0,0,0,0,0,0,1173,5411,1970,162796,1972,166794,912,14829,1046,15307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98077,,"5,835","3,361","2,570","13,202","4,654","811,661","4,909","587,583","3,846","11,978","2,956","28,991","2,746","21,390","1,058","31,607",26,"2,464","45,036",611,"14,278",954,"26,504",545,"6,561",593,"8,988",134,"3,081","3,632","129,389",121,"1,069","3,249","10,008","3,514","26,182","3,617","37,849","3,131","56,686","3,171","16,109","4,934","629,691","2,337","3,899",436,467,665,856,227,120,210,282,226,319,172,237,698,"3,835","4,632","143,248","4,856","148,106","1,467","14,726","4,096","21,546"
98077,"$1 under $25,000",1529,140,494,1223,208,14694,1125,11061,590,432,399,760,375,523,154,1005,**,286,232,68,468,133,1143,84,803,36,65,20,212,173,3974,**,**,142,204,142,864,166,1097,98,1271,105,179,752,4345,183,80,**,**,** 23,** 10,** 20,** 9,81,92,168,234,134,187,**,**,604,386,730,572,241,107,1062,1243
98077,"$25,000 under $50,000",693,216,273,1203,296,25661,533,17259,350,613,211,911,188,538,122,1667,**,160,211,73,809,139,2366,121,1551,135,1005,**,**,280,6668,33,100,241,352,250,1349,280,1744,206,2729,201,396,607,12982,210,181,**,**,81,84,**,**,70,98,58,85,38,50,**,**,529,1501,586,1761,125,173,547,1351
98077,"$50,000 under $75,000",554,297,285,1230,385,34658,448,25029,350,950,231,1222,206,745,116,1493,** 26,187,85,83,1266,119,2457,73,951,110,1641,**,**,374,9793,**,**,337,534,351,2069,370,2703,308,4238,300,874,527,19190,229,288,55,45,106,159,32,17,59,92,0,0,0,0,**,**,484,2426,508,2766,100,221,447,1681
98077,"$75,000 under $100,000",505,382,228,1294,398,44113,413,29828,374,922,254,1449,231,779,131,2358,**,201,534,95,2354,140,3644,55,820,119,2315,**,**,424,11566,**,**,381,975,412,2512,424,3599,358,4962,358,1048,501,27245,274,405,** 47,** 44,145,235,**,**,**,**,0,0,0,0,**,**,481,3510,490,3917,120,318,381,1670
98077,"$100,000 under $200,000",1523,1352,676,4675,1797,219032,1421,180344,1241,1943,1012,4610,936,2916,340,9345,**,844,1829,199,5667,272,7647,171,2013,144,2929,45,804,1375,45288,33,201,1248,3575,1359,9259,1371,13237,1276,21802,1262,4674,1519,156943,903,1199,208,210,310,368,102,58,**,**,0,0,0,0,69,164,1507,26984,1513,28459,410,1837,1108,6124
98077,"$200,000 or more",1031,974,614,3577,1570,473503,969,324062,941,7118,849,20039,810,15889,195,15739,**,786,42145,93,3714,151,9247,41,423,49,1033,69,2065,1006,52100,55,768,900,4368,1000,10129,1006,15469,885,21684,945,8938,1028,408986,538,1746,126,168,**,**,73,36,0,0,0,0,0,0,629,3671,1027,108441,1029,110631,471,12070,551,9477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98087,,"14,120","5,164","6,167","28,117","8,485","722,489","12,603","611,290","5,629","4,961","2,253","4,260","1,978","2,789","1,780","19,483",0,"1,597","9,467",773,"10,620","1,640","26,725","1,966","20,328",882,"9,600",25,429,"4,967","105,245",135,476,"4,230","7,580","4,582","15,338","4,916","24,141","4,477","57,536","3,651","9,917","11,723","462,482","4,776","5,888",294,243,"2,718","3,273",569,308,"1,681","2,295","1,992","3,754","1,687","3,178",93,357,"10,494","68,412","11,146","72,375","2,254","5,384","11,574","31,376"
98087,"$1 under $25,000",4575,644,2020,6956,1879,59932,3642,46427,1032,708,337,556,291,317,623,4326,**,276,-29,172,959,388,3136,604,5331,111,169,**,**,392,6609,**,**,317,264,324,1060,382,1382,303,3074,215,360,2342,15080,699,258,**,**,196,62,47,16,885,1111,1347,2725,1170,2351,**,**,1893,1377,2352,2150,469,299,3848,7175
98087,"$25,000 under $50,000",4074,1082,1711,7908,2415,149432,3745,128116,1265,802,358,625,309,366,411,4045,**,268,-6,179,1570,412,5624,668,7683,300,1819,**,**,920,15471,31,38,744,829,818,2377,897,3338,791,8366,607,1128,3920,82111,1610,1497,52,33,954,887,156,87,691,1051,645,1029,517,827,**,**,3257,8998,3416,9822,521,704,3527,8506
98087,"$50,000 under $75,000",2312,1035,1018,4864,1410,142887,2191,124702,1176,878,429,506,374,324,294,3337,**,295,225,145,1699,309,5091,336,3558,201,2707,** 25,** 429,1208,22712,25,43,1017,1548,1104,3289,1198,5031,1087,12618,841,1872,2304,93110,938,1331,61,39,626,926,86,46,105,133,0,0,0,0,**,**,2199,12428,2230,13120,447,956,1864,5560
98087,"$75,000 under $100,000",1472,980,656,3653,1166,127215,1405,110750,913,617,406,415,366,250,218,2547,**,262,372,111,2029,225,4781,200,2074,129,2122,**,**,1034,22467,** 30,** 82,898,1687,977,3133,1029,5072,978,12981,793,1921,1470,87271,702,1139,63,46,495,820,109,61,**,**,0,0,0,0,**,**,1464,12338,1465,12920,312,912,1160,4095
98087,"$100,000 under $200,000",1548,1313,670,4369,1499,199624,1494,175764,1127,1148,636,1119,558,715,208,3795,**,422,3103,166,4363,274,6572,158,1682,141,2783,**,**,1296,32959,49,313,1144,2772,1248,4789,1293,8087,1215,18593,1088,3557,1548,148073,766,1101,118,125,447,578,171,98,**,**,0,0,0,0,** 40,** 76,1543,25019,1545,25801,434,1508,1107,5025
98087,"$200,000 or more",139,110,92,367,116,43399,126,25531,116,808,87,1039,80,817,26,1433,**,74,5802,**,**,32,1521,**,**,**,**,**,**,117,5027,**,**,110,480,111,690,117,1231,103,1904,107,1079,139,36837,61,562,**,**,0,0,**,**,0,0,0,0,0,0,53,281,138,8252,138,8562,71,1005,68,1015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98092,,"17,467","7,863","7,846","37,259","12,149","1,147,843","15,078","885,624","8,222","11,699","3,850","13,522","3,395","10,036","2,239","25,486",103,"2,664","13,718","1,554","29,866","3,115","73,827","2,173","22,925","1,985","26,160",64,786,"7,852","186,581",179,"1,267","6,901","14,908","7,399","30,973","7,783","48,432","6,944","91,792","6,360","21,290","14,624","771,085","6,345","8,536",657,590,"3,636","4,895",699,369,"1,680","2,342","2,012","3,925","1,692","3,235",278,"1,022","13,344","128,129","14,063","133,785","3,050","11,695","14,059","43,156"
98092,"$1 under $25,000",5057,636,2056,6689,1682,61334,3950,44150,1257,1058,469,777,391,437,550,4384,26,333,-264,260,1421,566,5242,569,4597,205,343,**,**,449,7705,**,**,375,356,366,1285,435,1693,272,2612,281,466,2460,15367,667,265,**,**,181,61,28,9,797,943,1291,2739,1142,2352,**,**,2018,1388,2448,2135,460,275,4276,7169
98092,"$25,000 under $50,000",3998,1091,1821,7986,2619,146957,3402,113571,1408,1285,506,1124,442,654,446,5265,**,391,61,332,3383,639,10809,624,7651,527,3579,**,**,1134,20148,30,41,952,1264,993,3344,1114,4751,933,9464,797,1544,3783,77455,1508,1429,75,55,969,935,112,59,692,1106,721,1186,550,883,22,35,3148,8414,3366,9446,543,765,3430,8707
98092,"$50,000 under $75,000",2752,1409,1311,6492,2220,170396,2464,136369,1433,1658,624,1515,557,919,367,3948,30,417,393,273,3225,535,12559,385,4179,422,6288,32,202,1600,31439,33,75,1388,2151,1504,5272,1584,7780,1413,15509,1234,3096,2729,105162,1281,1915,128,88,870,1388,122,59,162,260,0,0,0,0,**,**,2557,13154,2619,13959,478,875,2266,7289
98092,"$75,000 under $100,000",2104,1580,953,5617,1901,182906,1912,147796,1379,1608,640,1372,554,826,312,3191,**,415,762,262,5053,515,12572,277,2964,371,7088,**,**,1576,35342,21,102,1394,2725,1514,5921,1563,8995,1449,18450,1312,3675,2099,121746,1099,1900,135,121,785,1370,132,68,** 29,** 33,0,0,0,0,**,**,2072,16124,2081,16836,422,1053,1682,6107
98092,"$100,000 under $200,000",3048,2698,1397,8986,3199,404131,2878,338364,2302,2876,1305,3174,1167,2286,484,6569,47,836,2890,371,9474,747,23861,294,3241,390,7354,32,584,2619,69978,68,379,2364,6409,2565,11764,2614,19050,2469,37145,2294,8351,3046,296895,1583,2261,265,258,831,1141,274,155,**,**,0,0,0,0,56,107,3042,49947,3041,51543,918,3650,2127,9420
98092,"$200,000 or more",508,449,308,1489,528,182119,472,105374,443,3214,306,5560,284,4914,80,2129,**,272,9876,56,7310,113,8784,24,293,70,1508,**,**,474,21969,27,670,428,2003,457,3387,473,6163,408,8612,442,4158,507,154460,207,766,54,68,**,**,31,19,0,0,0,0,0,0,200,880,507,39102,508,39866,229,5077,278,4464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98101,,"7,092","1,313","2,737","9,220",786,"835,335","5,640","422,379","3,523","34,072","2,452","56,664","2,240","38,896",879,"37,955",0,"2,140","159,803",765,"22,468","1,107","26,329",559,"5,411",973,"15,091",113,"2,977","2,346","121,208",355,"6,377","1,780","4,428","1,768","12,828","2,294","24,187","1,337","24,424","1,849","28,455","6,248","659,787","1,715","4,906",51,70,151,155,45,23,113,164,416,272,314,221,355,"4,320","5,980","141,707","6,122","147,554","1,699","11,956","5,149","35,410"
98101,"$1 under $25,000",1954,94,532,2143,120,26040,1454,19713,570,972,343,1207,295,628,212,1591,**,281,132,138,955,212,1705,206,1745,84,164,** 21,** 244,208,4147,**,**,154,129,105,341,188,523,65,783,120,232,1191,9195,329,137,**,**,**,**,**,**,68,96,377,222,285,182,0,0,1031,857,1149,1171,260,189,1505,1976
98101,"$25,000 under $50,000",1726,131,490,2059,144,62307,1461,50238,599,1232,331,1525,294,918,149,1926,**,272,141,125,1246,230,3124,191,2201,208,1618,**,**,305,6012,** 36,** 47,236,342,199,613,289,1026,139,1425,214,566,1681,40723,360,280,** 21,** 16,75,65,** 23,** 13,45,68,39,50,29,39,**,**,1607,5046,1621,5426,304,434,1400,2524
98101,"$50,000 under $75,000",1003,153,418,1235,80,61536,811,46523,529,1384,328,2250,300,1497,115,1609,**,270,-88,135,1940,196,4117,72,549,201,3112,**,**,364,8364,27,99,299,367,254,830,360,1338,192,2337,264,759,984,45539,200,161,**,**,28,45,**,**,**,**,0,0,0,0,**,**,971,7221,974,7597,270,682,723,1827
98101,"$75,000 under $100,000",688,163,291,912,61,60093,569,46100,443,861,320,2011,287,1488,85,2986,**,250,500,83,1764,125,3370,29,310,124,2370,**,**,315,7222,50,263,235,416,247,971,308,1704,192,2613,255,808,682,47141,150,87,**,**,27,29,**,**,**,**,0,0,0,0,**,**,674,8459,677,8960,211,750,473,1603
98101,"$100,000 under $200,000",1070,403,518,1634,163,144471,868,104159,789,3649,606,5838,564,4443,155,6526,**,560,4236,169,5268,229,8773,61,606,217,4574,26,718,605,18922,105,838,461,1084,484,2322,601,4308,382,6583,498,2224,1063,116744,319,377,30,54,21,16,22,10,**,**,0,0,0,0,42,135,1051,23324,1055,24373,392,2286,667,3375
98101,"$200,000 or more",651,369,488,1237,218,480888,477,155646,593,25974,524,43833,500,29922,163,23317,**,507,154882,115,11295,115,5240,**,**,139,3253,66,2015,549,76541,137,5130,395,2090,479,7751,548,15288,367,10683,498,23866,647,400445,357,3864,**,**,0,0,**,**,0,0,0,0,0,0,313,4185,646,96800,646,100027,262,7615,381,24105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98102,,"15,082","2,214","4,440","18,590","1,567","1,210,337","13,279","862,415","7,089","17,266","4,442","40,861","4,102","29,664","2,257","45,842",0,"3,508","84,504",855,"19,747","1,328","29,047","1,336","12,900",908,"13,253",205,"4,603","4,084","125,937",376,"4,398","3,218","8,119","3,525","18,721","3,978","32,208","3,025","47,414","3,203","20,181","13,573","959,432","3,720","4,224",259,302,303,310,153,75,127,147,858,467,615,358,517,"4,922","12,966","207,017","13,325","214,787","3,280","17,853","11,505","33,837"
98102,"$1 under $25,000",4343,121,1012,4352,199,58995,3563,47934,1245,1005,668,1637,596,1049,665,3940,**,509,135,146,1060,258,1836,444,3865,83,175,27,169,309,5345,**,**,205,153,190,794,262,1037,139,1652,182,260,2915,22849,868,404,**,**,**,**,** 20,** 7,74,78,811,402,583,314,**,**,2461,2086,2771,2791,592,470,3518,3943
98102,"$25,000 under $50,000",4570,274,935,5067,182,167521,4210,147249,1673,1478,797,2175,721,1428,547,6167,**,561,554,164,1662,303,3941,515,5502,203,1400,**,**,596,9811,59,146,455,495,481,1579,577,2252,417,3977,416,665,4520,116146,1013,757,** 37,** 28,96,83,**,**,53,69,47,65,32,44,23,72,4414,14708,4446,15898,867,1190,3667,5630
98102,"$50,000 under $75,000",2283,281,664,2749,179,139142,2087,120002,1194,1190,636,2131,578,1423,320,5825,0,460,898,136,2018,226,4437,188,1686,157,2368,31,296,717,13389,53,207,569,842,614,2070,702,3246,536,6065,528,1020,2269,105927,447,370,46,33,80,97,35,16,**,**,0,0,0,0,**,**,2239,17057,2248,18079,520,1243,1753,4009
98102,"$75,000 under $100,000",1323,289,446,1743,128,114984,1183,95670,879,1217,600,2388,565,1537,195,3943,**,437,1229,112,2480,161,3789,73,764,138,2507,** 20,** 269,607,13304,42,207,494,866,530,2035,595,3201,473,6088,470,1261,1314,90546,336,257,** 34,** 51,63,68,**,**,**,**,0,0,0,0,**,**,1307,16291,1310,17074,376,936,941,2907
98102,"$100,000 under $200,000",1716,699,753,2801,391,232303,1536,188146,1334,3355,1042,6747,971,4795,318,8025,**,870,4667,181,5209,237,6722,89,890,191,3932,45,858,1091,30348,125,916,865,2167,990,4912,1080,8241,877,14563,909,2938,1712,186940,573,604,76,96,64,62,46,24,**,**,0,0,0,0,71,227,1700,37248,1705,38766,559,2623,1152,6183
98102,"$200,000 or more",847,550,630,1878,488,497392,700,263414,764,9021,699,25783,671,19432,212,17942,**,671,77021,116,7318,143,8322,** 27,** 193,136,2871,82,3011,764,53740,97,2922,630,3596,720,7331,762,14231,583,15069,698,14037,843,437024,483,1832,66,94,0,0,52,28,0,0,0,0,0,0,423,4623,845,119627,845,122179,366,11391,474,11165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98103,,"26,682","7,066","8,872","40,288","7,075","1,945,624","23,010","1,503,756","14,572","29,281","9,077","51,364","8,250","34,873","4,758","94,602",0,"6,834","97,313","1,826","25,476","2,924","55,518","2,440","25,618","1,774","21,677",417,"6,295","9,625","236,400",479,"4,105","8,148","18,240","8,720","34,785","9,494","58,257","7,865","112,547","7,919","26,675","23,677","1,470,691","8,470","8,751",1079,1064,"2,006","2,296","1,053",520,649,773,"1,756","1,632","1,299","1,310",723,"3,405","22,408","274,879","23,261","289,934","6,024","25,927","19,956","54,142"
98103,"$1 under $25,000",7414,413,2051,7901,737,96957,5628,73271,2558,2251,1435,3043,1251,1783,1311,9430,**,1044,-225,370,2132,695,5613,642,5926,203,371,**,**,727,12335,21,22,556,500,529,1806,675,2416,382,3590,455,621,4580,34160,1445,610,**,**,80,29,24,6,326,381,1511,1269,1124,1024,**,**,3795,3092,4481,4598,1092,936,5716,7053
98103,"$25,000 under $50,000",6994,760,1849,8795,956,256654,6159,212950,3089,2494,1543,3966,1382,2249,972,12873,**,1032,611,396,3486,701,10593,843,9862,513,3550,65,510,1277,21711,48,111,1062,1392,1053,3350,1247,4971,890,8608,918,1623,6863,168147,1943,1417,128,84,438,405,101,49,259,328,245,363,175,286,**,**,6496,20731,6618,22920,1336,2028,5607,9386
98103,"$50,000 under $75,000",4198,957,1375,6020,850,257877,3740,213426,2521,2846,1409,4734,1281,3060,669,11500,**,1016,1071,353,4519,504,11104,375,3847,392,5626,52,456,1713,31999,71,214,1421,1986,1540,5121,1690,7466,1392,15545,1365,2516,4169,186763,1230,1258,171,145,429,566,112,56,64,64,0,0,0,0,**,**,4076,28306,4107,30406,952,2133,3230,8006
98103,"$75,000 under $100,000",2626,1105,994,4640,890,227295,2400,190573,1861,2195,1206,3560,1095,2347,541,10200,**,830,1093,232,3269,351,9249,220,2162,265,4701,51,543,1530,32428,68,305,1300,2918,1411,5051,1514,8422,1305,16998,1249,2725,2624,169362,1069,1270,190,181,467,649,141,71,**,**,0,0,0,0,**,**,2606,27256,2614,29012,640,1873,1981,6818
98103,"$100,000 under $200,000",4017,2697,1739,9130,2408,550911,3753,458056,3246,5783,2393,9424,2204,6195,916,25003,**,1883,8757,370,8132,516,14735,298,3292,319,5845,145,2114,3075,80761,162,1015,2682,6866,2938,12453,3066,20703,2762,43743,2727,7808,4011,428321,1959,2208,423,441,592,647,436,214,**,**,0,0,0,0,112,376,4004,79244,4009,83573,1324,5850,2679,12923
98103,"$200,000 or more",1433,1134,864,3802,1234,555930,1330,355480,1297,13712,1091,26637,1037,19239,349,25596,**,1029,86006,105,3938,157,4224,62,529,82,1584,104,2672,1303,57166,109,2438,1127,4578,1249,7004,1302,14279,1134,24063,1205,11382,1430,483938,824,1988,167,213,0,0,239,124,0,0,0,0,0,0,611,3029,1431,116250,1432,119425,680,13107,743,9956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98104,,"6,091","1,160","2,378","9,041","1,670","435,776","5,078","238,530","2,113","22,367","1,177","25,967","1,059","18,550",730,"23,167",0,"1,021","33,901",391,"10,513",650,"15,815",615,"5,553",469,"7,439",62,"1,577","1,142","53,375",151,"2,237",830,"41,184",864,"5,894","1,100","10,527",658,"10,945",829,"15,301","4,562","326,360","1,364","3,105",47,85,291,267,42,18,456,600,"1,111","1,282",929,"1,140",179,"2,047","4,196","72,995","4,438","76,025","1,094","4,624","4,800","27,270"
98104,"$1 under $25,000",2892,282,1007,3910,737,34629,2356,28857,558,587,260,725,221,372,331,2238,**,204,877,92,497,200,1367,334,2554,54,122,**,**,126,2346,**,**,93,61,60,228,109,327,41,419,62,90,1418,9677,372,152,**,**,61,18,**,**,333,398,1032,1141,868,1024,**,**,1195,902,1411,1254,300,213,2419,8141
98104,"$25,000 under $50,000",1518,256,535,2373,504,53587,1381,46625,439,566,154,677,129,423,142,1787,**,111,74,58,563,115,1403,169,1985,87,559,**,**,161,2820,**,**,118,135,104,320,153,542,92,920,92,202,1477,32969,384,306,** 22,** 18,136,117,** 42,** 18,123,202,79,141,61,116,**,**,1356,3976,1379,4334,261,371,1244,2368
98104,"$50,000 under $75,000",634,134,212,945,156,38987,551,32643,310,689,167,1124,150,737,66,1373,**,133,122,48,689,83,1715,77,697,76,1080,27,491,201,4472,55,209,132,173,161,551,194,823,131,1794,130,357,627,28272,168,180,**,**,62,87,**,**,**,**,0,0,0,0,**,**,612,4370,614,4626,156,393,472,1394
98104,"$75,000 under $100,000",305,94,119,466,65,26201,260,21287,188,381,107,830,102,622,40,811,**,90,-30,34,537,63,1763,**,**,52,974,**,**,126,3137,**,**,86,146,96,368,122,618,80,1348,92,400,302,20029,86,90,** 25,** 67,32,45,**,**,**,**,0,0,0,0,**,**,297,3446,297,3605,93,275,211,865
98104,"$100,000 under $200,000",452,212,265,771,104,62554,342,40020,352,1543,259,3754,243,2394,81,3404,**,258,1463,90,3118,109,4569,** 35,** 317,112,2465,**,**,285,9651,46,464,215,39669,232,1282,280,2373,173,2880,227,1623,449,48731,175,220,**,**,**,**,**,**,0,0,0,0,0,0,36,160,447,9553,449,10146,173,1167,277,2077
98104,"$200,000 or more",290,182,240,576,104,219818,188,69098,266,18601,230,18857,214,14002,70,13554,**,225,31395,69,5109,80,4998,**,**,88,2239,35,1086,243,30949,50,1564,186,1000,211,3145,242,5844,141,3584,226,12629,289,186682,179,2157,**,**,0,0,**,**,0,0,0,0,0,0,143,1887,289,50748,288,52060,111,2205,177,12425
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98105,,"14,986","4,337","5,019","23,057","4,958","1,530,168","12,749","898,447","7,771","32,211","5,312","117,955","4,892","100,813","2,408","73,395",34,"4,306","175,070","1,180","27,037","1,704","42,294",1006,"9,638","1,335","22,029",376,"8,782","5,045","195,899",286,"3,301","4,312","13,163","4,560","31,892","4,955","49,462","3,773","65,802","4,378","48,983","12,249","1,205,307","4,946","7,855",520,531,876,1020,563,297,350,420,"1,027",968,811,816,903,"5,792","11,344","257,435","11,792","269,096","3,234","21,873","11,200","42,072"
98105,"$1 under $25,000",6182,300,1322,5732,505,70079,5229,60608,1773,1445,1015,2165,901,1271,599,3352,**,737,51,169,864,322,2375,369,2950,94,167,**,**,375,6291,** 31,** 111,242,514,211,968,326,1653,124,1361,225,370,3569,24539,1078,455,**,**,40,17,**,**,192,229,909,797,720,676,**,**,2922,2211,3279,2765,767,434,4936,5355
98105,"$25,000 under $50,000",2933,427,767,3841,467,104680,2506,84046,1377,1335,672,2546,610,1650,372,5089,**,529,610,197,1818,340,5555,285,3241,288,2109,** 31,** 229,520,10303,**,**,416,503,411,1892,501,2598,305,3223,381,717,2856,66396,908,701,40,23,187,175,51,29,115,130,118,171,91,140,**,**,2674,7860,2731,8673,593,801,2299,4209
98105,"$50,000 under $75,000",1480,445,537,2289,354,91448,1215,68246,938,1554,644,3002,576,1948,253,4286,**,476,947,192,2918,263,6253,105,985,273,4163,50,531,626,12883,38,128,531,874,557,2519,620,3613,451,4949,539,1447,1453,64294,508,491,64,60,163,221,44,24,43,61,0,0,0,0,**,**,1413,9403,1429,10194,390,786,1080,2979
