"Table 1-- Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code, and Size of Adjusted Gross Income, Tax Year 2001",,,,,,,,,,,,,,
(Money amounts in thousands of dollars),,,,,,,,,,,,,,
WASHINGTON           ,,,,,,,,,,,,,,
,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,,Schedule C,Schedule F  , Schedule A ,
"$25,000 under $50,000","1,432","1,902",124,"50,798","1,202","40,144",669,"1,936","1,400","5,790",102,**        ,273,
"$50,000 or more      ","1,791","3,366",292,"335,519","1,280","139,610","1,423","29,981","1,766","75,750",288,**        ,985,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98102                ,"13,278","16,980","1,250","837,888","11,759","593,713","7,080","22,830","11,889","164,540","1,728",19,"2,924",
"Under $10,000        ","1,613","1,490",44,"-11,133","1,169","8,067",628,"2,411",548,138,253,**        ,132,
"$10,000 under $25,000","3,047","3,459",139,"54,130","2,691","45,884","1,124","1,385","2,786","3,879",358,**        ,195,
"$25,000 under $50,000","4,571","5,345",266,"164,589","4,302","147,092","2,191","2,550","4,532","19,688",421,**        ,607,
"$50,000 or more      ","4,047","6,686",801,"630,302","3,597","392,670","3,137","16,484","4,023","140,835",696,*       19,"1,990",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98103                ,"25,211","37,805","5,320","1,332,653","21,731","1,014,719","15,213","35,750","22,213","221,337","3,914",26,"7,390",
"Under $10,000        ","3,178","3,034",221,"9,529","2,200","13,051","1,344","1,280","1,045",245,500,**        ,222,
"$10,000 under $25,000","5,649","7,280",607,"99,139","4,672","77,665","2,513","3,726","4,978","6,526",764,*       13,569,
"$25,000 under $50,000","8,208","10,895","1,071","296,650","7,497","256,288","4,554","5,962","8,057","33,375",991,**        ,"1,524",
"$50,000 or more      ","8,176","16,596","3,421","927,335","7,362","667,715","6,802","24,782","8,133","181,191","1,659",13,"5,075",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98104                ,"4,669","6,708",912,"256,709","3,819","144,653","2,143","17,531","3,572","50,549",468,**        ,913,
"Under $10,000        ","1,085","1,236",131,"-6,469",799,"4,277",350,851,289,87,107,--        ,81,
"$10,000 under $25,000","1,433","2,073",323,"24,493","1,223","20,610",507,843,"1,177","1,478",96,--        ,109,
"$25,000 under $50,000","1,166","1,641",217,"40,756","1,073","35,595",521,"1,045","1,134","4,492",107,--        ,152,
"$50,000 or more      ",985,"1,758",241,"197,929",724,"84,171",765,"14,792",972,"44,492",158,**        ,571,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98105                ,"16,648","24,959","4,228","1,154,346","14,231","770,302","9,462","41,437","13,238","239,093","2,271",30,"4,635",
"Under $10,000        ","4,108","2,944",171,"12,016","3,267","17,558","1,616","1,845","1,423",345,285,**        ,178,
"$10,000 under $25,000","4,208","4,996",399,"70,609","3,726","59,190","1,713","2,056","3,609","4,527",392,--        ,358,
"$25,000 under $50,000","3,533","5,024",544,"125,280","3,152","103,112","1,998","3,390","3,434","13,298",417,**        ,719,
"$50,000 or more      ","4,799","11,995","3,114","946,441","4,086","590,442","4,135","34,146","4,772","220,923","1,177",*       30,"3,380",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98106                ,"10,267","19,747","6,138","352,652","9,337","305,179","4,364","5,683","7,913","37,623","1,167",**        ,"2,945",
"Under $10,000        ","1,748","2,230",629,"7,938","1,449","7,472",377,231,415,91,205,--        ,62,
"$10,000 under $25,000","2,860","5,235","1,713","50,249","2,532","42,494",795,974,"2,030","2,424",307,**        ,285,
"$25,000 under $50,000","3,392","6,505","1,991","121,846","3,204","109,910","1,521","1,649","3,206","11,033",349,--        ,"1,088",
"$50,000 or more      ","2,267","5,777","1,805","172,619","2,152","145,303","1,671","2,829","2,262","24,075",306,**        ,"1,510",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98107                ,"11,870","18,216","2,628","556,557","10,179","429,663","6,739","15,864","10,393","85,837","1,862",**        ,"3,023",
"Under $10,000        ","1,511","1,624",138,"5,003",995,"6,196",658,831,428,108,303,**        ,106,
"$10,000 under $25,000","2,712","3,700",368,"48,025","2,198","37,271","1,093","2,131","2,404","3,188",341,**        ,217,
"$25,000 under $50,000","4,147","5,659",630,"148,655","3,801","128,664","2,156","2,852","4,073","16,549",509,**        ,700,
"$50,000 or more      ","3,500","7,233","1,492","354,874","3,185","257,532","2,832","10,050","3,488","65,992",709,**        ,"2,000",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98108                ,"9,790","19,508","5,828","343,815","8,646","268,982","4,939","11,696","7,392","41,359","1,023",10,"2,413",
"Under $10,000        ","1,762","2,087",505,"7,556","1,439","7,935",524,374,448,95,207,*       10,56,
"$10,000 under $25,000","2,988","5,771","1,715","52,595","2,597","43,775","1,193","1,734","2,136","2,479",265,--        ,348,
"$25,000 under $50,000","3,171","6,592","2,073","112,459","2,943","99,065","1,715","2,518","2,952","9,685",319,**        ,895,
"$50,000 or more      ","1,869","5,058","1,535","171,205","1,667","118,207","1,507","7,070","1,856","29,100",232,**        ,"1,114",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98109                ,"10,699","15,227","1,618","797,653","9,167","537,590","6,044","39,025","9,566","159,006","1,540",14,"3,078",
"Under $10,000        ","1,216","1,223",73,"-5,757",788,"4,973",539,"1,520",361,103,228,**        ,120,
"$10,000 under $25,000","2,069","2,584",165,"36,803","1,721","29,083",789,"1,669","1,858","2,591",262,**        ,189,
"$25,000 under $50,000","3,412","4,225",272,"124,335","3,115","107,557","1,631","2,481","3,361","14,614",348,*       14,573,
"$50,000 or more      ","4,002","7,195","1,108","642,272","3,543","395,977","3,085","33,355","3,986","141,698",702,**        ,"2,196",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98110                ,"9,795","22,088","6,140","890,243","7,123","515,137","7,406","32,933","8,113","171,105","2,295",77,"5,341",
"Under $10,000        ","1,862","1,360",193,0,"1,108","6,778",969,"1,178",682,167,237,*       14,187,
"$10,000 under $25,000","1,346","2,294",333,"23,030",806,"12,079",829,"1,950","1,018","1,191",286,**        ,327,
"$25,000 under $50,000","1,619","3,405",734,"60,562","1,148","37,537","1,158","3,214","1,483","5,190",358,10,736,
"$50,000 or more      ","4,968","15,029","4,880","806,651","4,061","458,743","4,450","26,591","4,930","164,557","1,414",53,"4,091",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98111                ,"1,124","1,642",279,"99,797",906,"34,064",614,"19,817",931,"15,452",132,**        ,324,
"Under $10,000        ",183,215,26,608,117,732,73,233,55,78,26,--        ,26,
"$10,000 under $25,000",309,419,63,"5,372",251,"4,078",122,397,259,443,24,--        ,51,
"$25,000 under $50,000",327,469,84,"11,829",296,"10,251",162,254,317,"1,315",31,--        ,54,
"$50,000 or more      ",305,539,106,"81,988",242,"19,003",257,"18,933",300,"13,616",51,**        ,193,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98112                ,"11,392","19,303","3,523","1,425,608","8,899","882,026","7,745","48,447","9,816","334,966","2,101",26,"4,630",
"Under $10,000        ","1,770","1,409",151,"-17,085","1,063","6,720",892,"1,349",630,422,221,**        ,173,
"$10,000 under $25,000","2,037","2,704",257,"35,765","1,536","24,832","1,012","1,610","1,719","2,299",296,**        ,306,
"$25,000 under $50,000","2,639","3,644",364,"95,471","2,268","75,327","1,512","2,782","2,559","10,503",328,**        ,605,
"$50,000 or more      ","4,946","11,546","2,751","1,311,457","4,032","775,147","4,329","42,706","4,908","321,742","1,256",*       26,"3,546",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98114                ,238,387,77,"8,663",177,"5,474",134,410,181,"1,068",38,--        ,75,
"Under $10,000        ",50,55,6,68,28,175,25,29,15,5,*       18,--        ,**        ,
"$10,000 under $25,000",72,110,22,"1,269",55,985,29,61,53,74,**        ,--        ,*       22,
"$25,000 under $50,000",67,113,23,"2,459",60,"2,029",36,86,64,226,*       20,--        ,19,
"$50,000 or more      ",49,109,26,"4,867",34,"2,285",44,234,49,763,**        ,--        ,34,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98115                ,"23,903","43,480","8,106","1,501,537","19,344","1,068,355","16,682","49,845","20,841","256,839","3,821",31,"9,748",
"Under $10,000        ","3,354","2,738",230,"2,734","2,163","11,847","1,652","1,622","1,137",275,360,--        ,236,
"$10,000 under $25,000","4,323","6,228",488,"74,983","3,248","52,175","2,326","4,331","3,655","4,587",505,**        ,685,
"$25,000 under $50,000","6,110","9,541","1,111","223,571","5,177","174,575","3,880","8,024","5,966","23,659",723,**        ,"1,691",
"$50,000 or more      ","10,116","24,973","6,277","1,200,249","8,756","829,758","8,824","35,868","10,083","228,318","2,233",*       31,"7,136",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98116                ,"12,068","21,459","3,512","757,535","9,704","530,589","8,061","27,592","10,711","127,481","1,824",14,"4,709",
"Under $10,000        ","1,390","1,387",118,"3,115",878,"5,187",692,979,443,106,202,**        ,151,
"$10,000 under $25,000","2,099","3,349",275,"36,479","1,419","23,131","1,080","2,845","1,776","2,190",283,**        ,315,
"$25,000 under $50,000","3,542","5,233",566,"130,793","3,014","103,944","1,980","4,079","3,470","14,394",409,*       14,864,
"$50,000 or more      ","5,037","11,490","2,553","587,148","4,393","398,327","4,309","19,689","5,022","110,791",930,**        ,"3,379",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98117                ,"16,322","29,682","5,627","865,754","13,489","656,352","10,860","28,614","14,223","128,418","2,729",15,"6,967",
"Under $10,000        ","2,135","2,063",186,"1,989","1,425","8,110","1,043","1,161",680,148,340,**        ,207,
"$10,000 under $25,000","3,093","4,717",472,"54,047","2,271","37,071","1,537","3,709","2,611","3,297",399,**        ,510,
"$25,000 under $50,000","4,599","7,350","1,132","168,482","3,990","135,577","2,702","5,373","4,466","17,190",630,**        ,"1,494",
"$50,000 or more      ","6,495","15,552","3,837","641,236","5,803","475,594","5,578","18,371","6,466","107,783","1,360",*       15,"4,756",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98118                ,"19,484","38,518","11,640","752,251","17,151","586,861","9,206","21,204","14,634","94,683","2,413",13,"5,860",
"Under $10,000        ","3,638","4,273","1,130","13,804","2,933","14,851",868,"1,023",895,195,464,**        ,190,
"$10,000 under $25,000","5,626","10,410","3,151","98,704","4,899","81,720","1,829","2,433","3,936","4,551",549,*       13,605,
"$25,000 under $50,000","5,754","11,783","3,667","204,141","5,324","177,682","2,918","3,960","5,371","17,237",618,**        ,"1,965",
"$50,000 or more      ","4,466","12,052","3,692","435,602","3,995","312,608","3,591","13,788","4,432","72,700",782,**        ,"3,100",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98119                ,"11,055","16,379","1,932","826,921","9,210","554,485","6,609","31,185","9,780","169,031","1,638",13,"3,614",
"Under $10,000        ","1,388","1,286",72,"-14,324",875,"5,985",658,"4,621",459,301,195,**        ,160,
"$10,000 under $25,000","2,178","2,746",142,"37,926","1,726","28,521",944,"1,886","1,914","2,543",289,--        ,284,
"$25,000 under $50,000","3,426","4,395",309,"125,507","3,088","106,822","1,734","2,990","3,367","14,588",357,*       13,635,
"$50,000 or more      ","4,063","7,952","1,409","677,812","3,521","413,157","3,273","21,688","4,040","151,599",797,**        ,"2,535",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98121                ,"5,862","7,680",548,"501,349","4,972","298,046","2,883","29,220","5,077","120,677",736,10,"1,602",
"Under $10,000        ",905,945,37,"-37,487",586,"5,747",275,"12,216",255,66,101,--        ,67,
"$10,000 under $25,000","1,216","1,456",88,"21,308","1,060","17,775",358,561,"1,110","1,528",119,--        ,63,
"$25,000 under $50,000","1,598","2,001",177,"57,995","1,444","50,108",664,"1,051","1,574","6,794",156,--        ,288,
"$50,000 or more      ","2,143","3,278",246,"459,533","1,882","224,416","1,586","15,392","2,138","112,289",360,10,"1,184",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98122                ,"15,127","21,650","3,673","741,024","13,613","567,294","6,741","16,363","12,449","129,174","1,985",12,"3,538",
"Under $10,000        ","2,624","2,810",439,"8,262","2,106","11,646",708,630,770,162,342,**        ,111,
"$10,000 under $25,000","4,255","5,746",938,"74,856","3,806","64,126","1,231","1,221","3,586","4,754",445,--        ,307,
"$25,000 under $50,000","4,727","6,488","1,003","167,224","4,470","151,399","2,070","2,023","4,596","17,950",478,**        ,935,
"$50,000 or more      ","3,521","6,606","1,293","490,682","3,231","340,123","2,732","12,489","3,497","106,308",720,*       12,"2,185",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98123                ,12,23,9,368,12,337,**        ,**        ,**        ,**          ,**        ,--        ,**        ,
"Under $10,000        ",*       12,*       23,*        9,*        368,*       12,*        337,--        ,--        ,--        ,--          ,**        ,--        ,**        ,
"$10,000 under $25,000",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,--        ,--        ,--        ,
"$25,000 under $50,000",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,--        ,--        ,--        ,
"$50,000 or more      ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,**        ,--        ,**        ,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98124                ,931,"1,908",334,"74,333",570,"63,566",771,"7,390",745,"13,889",53,**        ,479,
"Under $10,000        ",100,132,4,"-10,427",32,619,80,200,19,17,*       19,--        ,41,
"$10,000 under $25,000",149,274,23,"2,584",60,"1,365",115,838,92,113,**        ,**        ,77,
"$25,000 under $50,000",253,438,67,"9,440",175,"9,778",181,840,220,815,12,--        ,106,
"$50,000 or more      ",429,"1,064",240,"72,736",303,"51,804",395,"5,512",414,"12,944",22,--        ,255,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98125                ,"18,451","33,019","6,423","825,664","15,254","614,923","11,032","27,833","15,373","118,123","2,450",14,"5,699",
"Under $10,000        ","3,039","3,080",380,"11,567","2,194","11,728","1,245","1,237",922,217,351,**        ,188,
"$10,000 under $25,000","4,518","7,030",974,"79,043","3,547","59,115","2,016","4,003","3,733","4,712",463,**        ,521,
"$25,000 under $50,000","5,455","9,311","1,643","196,316","4,746","161,272","3,139","5,941","5,295","19,650",554,*       14,"1,430",
"$50,000 or more      ","5,439","13,598","3,426","538,738","4,767","382,808","4,632","16,652","5,423","93,544","1,082",**        ,"3,560",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98126                ,"9,024","16,594","3,668","423,279","7,726","337,803","5,067","11,534","7,493","59,861","1,159",**        ,"3,421",
"Under $10,000        ","1,265","1,542",350,"4,985",955,"5,325",382,676,357,77,157,--        ,83,
"$10,000 under $25,000","1,908","3,429",840,"33,389","1,506","24,987",737,"1,450","1,408","1,748",205,--        ,247,
"$25,000 under $50,000","2,834","4,817",964,"103,802","2,501","85,538","1,529","2,875","2,721","10,382",295,**        ,952,
"$50,000 or more      ","3,017","6,806","1,514","281,103","2,764","221,953","2,419","6,533","3,007","47,654",502,**        ,"2,139",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98133                ,"21,152","39,091","8,204","862,051","17,601","662,409","12,188","28,433","17,643","109,082","2,649",**        ,"6,655",
"Under $10,000        ","3,320","3,571",516,"11,035","2,424","12,861","1,238","1,209",956,209,408,--        ,192,
"$10,000 under $25,000","5,050","8,274","1,247","88,641","3,912","65,363","2,278","4,393","4,160","5,072",534,**        ,673,
"$25,000 under $50,000","6,739","11,748","2,212","243,998","5,921","200,687","3,751","6,747","6,515","24,159",699,**        ,"1,930",
"$50,000 or more      ","6,043","15,498","4,229","518,377","5,344","383,498","4,921","16,084","6,012","79,642","1,008",**        ,"3,860",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98134                ,401,652,111,"30,491",335,"17,414",196,"1,990",333,"7,229",60,**        ,77,
"Under $10,000        ",66,76,8,189,51,687,23,107,22,21,13,--        ,*       11,
"$10,000 under $25,000",115,173,22,"1,886",94,"1,528",45,102,100,112,14,--        ,**        ,
"$25,000 under $50,000",122,209,44,"4,345",104,"3,896",59,118,114,439,15,--        ,23,
"$50,000 or more      ",98,194,37,"24,071",86,"11,303",69,"1,663",97,"6,657",18,**        ,43,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98136                ,"7,679","14,334","2,568","468,253","6,055","331,301","5,220","17,357","6,758","76,757","1,145",10,"3,221",
"Under $10,000        ",944,903,92,"2,298",592,"3,279",461,500,311,74,145,*       10,82,
"$10,000 under $25,000","1,321","2,147",196,"23,472",889,"14,927",693,"1,940","1,108","1,421",160,--        ,217,
"$25,000 under $50,000","2,195","3,560",491,"80,742","1,802","61,640","1,300","3,220","2,130","8,476",250,--        ,627,
"$50,000 or more      ","3,219","7,724","1,789","361,741","2,772","251,455","2,766","11,697","3,209","66,786",590,**        ,"2,295",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98138                ,351,582,119,"33,036",298,"18,343",218,"2,990",302,"8,582",58,**        ,144,
"Under $10,000        ",34,32,2,"-1,381",22,224,19,520,**        ,**          ,**        ,**        ,**        ,
"$10,000 under $25,000",70,97,10,"1,244",50,795,32,88,*       64,*         75,*       25,--        ,*       20,
"$25,000 under $50,000",122,197,46,"4,499",110,"3,835",68,121,114,442,20,--        ,40,
"$50,000 or more      ",125,256,61,"28,674",116,"13,489",99,"2,261",124,"8,065",13,**        ,84,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98144                ,"11,895","21,631","5,581","639,258","10,281","474,937","6,466","18,310","9,334","118,747","1,623",**        ,"3,429",
"Under $10,000        ","2,239","2,531",536,"-5,933","1,669","9,401",778,"2,025",659,144,319,**        ,111,
"$10,000 under $25,000","3,133","5,437","1,365","54,843","2,682","44,826","1,231","1,876","2,360","2,852",329,--        ,332,
"$25,000 under $50,000","3,477","6,380","1,666","123,772","3,187","105,791","1,938","3,193","3,285","11,525",359,**        ,934,
"$50,000 or more      ","3,046","7,283","2,014","466,576","2,743","314,919","2,519","11,216","3,030","104,226",616,**        ,"2,052",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98145                ,757,950,107,"25,111",677,"20,044",386,589,614,"3,351",106,--        ,96,
"Under $10,000        ",158,151,8,641,117,628,57,41,53,9,33,--        ,**        ,
"$10,000 under $25,000",253,281,15,"4,252",235,"3,659",105,47,221,271,30,--        ,*       15,
"$25,000 under $50,000",213,262,26,"7,535",200,"6,767",117,134,207,859,21,--        ,22,
"$50,000 or more      ",133,256,58,"12,683",125,"8,990",107,367,133,"2,212",22,--        ,59,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98146                ,"11,857","24,276","6,632","503,821","10,177","387,209","6,101","14,112","9,451","64,948","1,393",15,"3,952",
"Under $10,000        ","1,892","2,187",523,"7,648","1,507","7,762",518,411,519,115,220,**        ,101,
"$10,000 under $25,000","3,058","5,702","1,523","53,450","2,515","41,637","1,065","1,807","2,249","2,621",292,**        ,368,
"$25,000 under $50,000","3,494","7,152","1,998","126,136","3,137","106,506","1,780","2,893","3,292","11,224",355,**        ,"1,148",
"$50,000 or more      ","3,413","9,235","2,588","316,587","3,018","231,304","2,738","9,001","3,391","50,988",526,*       15,"2,335",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98148                ,"4,550","8,663","2,279","166,799","3,954","137,246","2,159","4,040","3,738","19,095",471,**        ,"1,134",
"Under $10,000        ",680,731,135,"2,798",534,"2,799",184,116,205,44,94,**        ,35,
"$10,000 under $25,000","1,198","2,101",532,"21,175",998,"16,975",389,567,933,"1,124",101,**        ,120,
"$25,000 under $50,000","1,584","3,016",796,"56,454","1,434","48,498",765,"1,019","1,514","5,339",140,--        ,355,
"$50,000 or more      ","1,088","2,815",816,"86,372",988,"68,974",821,"2,338","1,086","12,588",136,--        ,624,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98154                ,29,52,6,"4,661",12,"1,077",21,203,25,950,**        ,--        ,16,
"Under $10,000        ",*       12,*       14,*        0,*        209,**        ,**          ,**        ,**        ,**        ,**          ,**        ,--        ,--        ,
"$10,000 under $25,000",**        ,**        ,**        ,**          ,*       12,"*      1,077",**        ,**        ,**        ,**          ,**        ,--        ,**        ,
"$25,000 under $50,000",**        ,**        ,**        ,**          ,--        ,--          ,**        ,**        ,**        ,**          ,**        ,--        ,**        ,
"$50,000 or more      ",17,38,6,"4,452",**        ,**          ,*       21,*      203,*       25,*        950,**        ,--        ,*       16,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98155                ,"16,455","32,746","8,264","851,660","13,946","635,002","10,236","24,788","13,753","125,431","2,486",19,"6,771",
"Under $10,000        ","2,755","2,298",319,"6,169","2,073","10,988","1,189","1,388",973,211,273,--        ,188,
"$10,000 under $25,000","3,143","5,245",881,"54,823","2,459","40,110","1,401","2,419","2,473","3,007",371,**        ,492,
"$25,000 under $50,000","4,498","8,313","1,854","164,545","3,971","135,257","2,564","4,021","4,275","15,552",558,**        ,"1,628",
"$50,000 or more      ","6,059","16,890","5,210","626,123","5,443","448,647","5,082","16,960","6,032","106,661","1,284",*       19,"4,463",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98160                ,50,89,13,"4,526",36,"1,483",36,307,40,881,12,--        ,29,
"Under $10,000        ",*       19,*       32,*        4,*        177,**        ,**          ,**        ,**        ,**        ,**          ,*       12,--        ,*       12,
"$10,000 under $25,000",**        ,**        ,**        ,**          ,*       19,*        345,*       18,*       71,**        ,**          ,**        ,--        ,**        ,
"$25,000 under $50,000",10,14,2,381,**        ,**          ,**        ,**        ,*       19,*         48,--        ,--        ,**        ,
"$50,000 or more      ",21,43,7,"3,968",17,"1,138",18,236,21,833,**        ,--        ,17,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98164                ,11,18,4,822,**        ,**          ,10,4,10,168,**        ,--        ,**        ,
"Under $10,000        ",**        ,**        ,**        ,**          ,--        ,--          ,*       10,*        4,--        ,--          ,**        ,--        ,--        ,
"$10,000 under $25,000",*       11,*       18,*        4,*        822,**        ,**          ,**        ,**        ,*       10,*        168,--        ,--        ,--        ,
"$25,000 under $50,000",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,--        ,--        ,**        ,
"$50,000 or more      ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,--        ,--        ,**        ,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98166                ,"9,997","20,982","4,975","606,071","7,987","396,819","6,494","23,977","8,363","98,932","1,303",16,"3,889",
"Under $10,000        ","1,624","1,500",278,"2,278","1,211","6,916",698,743,542,138,148,--        ,89,
"$10,000 under $25,000","1,978","3,451",608,"34,356","1,477","24,126",866,"1,854","1,560","1,860",164,**        ,238,
"$25,000 under $50,000","2,458","4,845","1,061","89,765","2,027","67,915","1,445","3,332","2,348","8,432",264,**        ,755,
"$50,000 or more      ","3,937","11,186","3,028","479,672","3,272","297,862","3,485","18,048","3,913","88,502",727,*       16,"2,807",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98168                ,"14,579","29,710","9,191","521,443","12,917","427,915","6,462","12,322","11,368","56,418","1,450",15,"4,150",
"Under $10,000        ","2,335","2,642",630,"11,266","1,917","10,219",528,483,649,146,258,**        ,93,
"$10,000 under $25,000","4,030","7,532","2,235","71,070","3,440","57,997","1,227","1,948","2,863","3,439",340,**        ,399,
"$25,000 under $50,000","4,821","10,202","3,332","172,571","4,428","150,134","2,205","2,914","4,473","14,800",432,*       15,"1,549",
"$50,000 or more      ","3,393","9,334","2,994","266,536","3,132","209,565","2,502","6,977","3,383","38,033",420,**        ,"2,109",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98177                ,"9,840","21,042","4,913","825,430","7,397","485,292","7,258","42,262","8,281","160,524","1,743",30,"4,849",
"Under $10,000        ","1,718","1,338",184,-319,"1,077","6,406",906,"4,047",613,138,196,**        ,147,
"$10,000 under $25,000","1,523","2,552",275,"26,168","1,011","16,221",864,"2,226","1,213","1,430",191,**        ,292,
"$25,000 under $50,000","2,032","3,984",746,"74,998","1,581","52,621","1,354","3,953","1,927","6,858",287,**        ,792,
"$50,000 or more      ","4,567","13,168","3,708","724,583","3,728","410,044","4,134","32,036","4,528","152,098","1,069",*       30,"3,618",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98178                ,"10,498","21,486","5,999","433,053","8,938","337,456","5,692","14,571","8,420","51,852","1,125",11,"3,771",
"Under $10,000        ","1,666","1,791",415,"5,046","1,343","6,813",504,383,442,90,171,*       11,91,
"$10,000 under $25,000","2,436","4,424","1,110","42,862","1,954","32,651",934,"1,994","1,792","2,092",214,**        ,318,
"$25,000 under $50,000","3,245","6,635","1,881","117,326","2,839","97,052","1,770","3,435","3,057","10,234",306,**        ,"1,174",
"$50,000 or more      ","3,151","8,636","2,593","267,819","2,802","200,940","2,484","8,759","3,129","39,436",434,**        ,"2,188",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98188                ,"10,535","20,290","5,600","399,421","9,248","314,108","4,782","10,596","8,292","49,559","1,075",13,"2,712",
"Under $10,000        ","1,643","1,945",468,"7,062","1,311","7,036",403,333,433,98,191,--        ,60,
"$10,000 under $25,000","3,048","5,427","1,475","53,426","2,629","44,219",924,"1,200","2,201","2,619",269,**        ,263,
"$25,000 under $50,000","3,364","6,575","1,910","120,903","3,089","104,741","1,535","1,907","3,186","11,204",283,--        ,879,
"$50,000 or more      ","2,480","6,343","1,747","218,030","2,219","158,112","1,920","7,156","2,472","35,638",332,*       13,"1,510",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98195                ,265,225,17,"5,096",234,"4,189",118,127,134,730,14,**        ,29,
"Under $10,000        ",169,99,0,734,141,578,64,20,48,14,**        ,--        ,**        ,
"$10,000 under $25,000",49,48,1,784,49,798,20,20,40,53,--        ,--        ,*       19,
"$25,000 under $50,000",23,27,4,772,22,693,13,8,22,80,*       14,**        ,**        ,
"$50,000 or more      ",24,51,12,"2,806",22,"2,120",21,79,24,583,**        ,--        ,10,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98198                ,"15,391","31,768","8,535","661,895","12,942","500,081","7,923","19,865","12,425","84,541","1,521",26,"5,036",
"Under $10,000        ","2,314","2,739",631,"9,566","1,842","9,847",677,751,645,321,233,*       13,126,
"$10,000 under $25,000","3,766","6,903","1,734","66,142","2,989","50,199","1,324","2,779","2,784","3,257",269,**        ,451,
