WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
98261,"$75,000 under $100,000",108,91,74,242,43,9313,60,3387,91,286,66,611,59,306,42,736,**,62,482,33,712,48,1571,**,**,60,1076,**,**,59,1504,**,**,51,94,54,253,58,384,36,411,50,260,107,6368,60,83,**,**,27,48,**,**,0,0,0,0,0,0,0,0,101,745,102,848,39,133,49,162
98261,"$100,000 under $200,000",125,100,86,280,64,16695,74,5786,104,622,86,1482,77,1041,52,779,**,87,829,53,1894,58,2486,**,**,72,1524,**,**,102,3102,23,382,89,245,99,486,102,808,69,974,94,400,124,12303,62,88,**,**,**,**,**,**,**,**,0,0,0,0,**,**,122,1964,122,2047,58,384,64,391
98261,"$200,000 or more",48,42,40,99,**,24720,27,4438,44,1226,38,1675,36,1486,**,**,**,36,3468,20,1644,21,1320,0,0,29,701,**,**,45,3845,**,**,31,124,43,400,45,1087,30,662,38,943,48,20500,29,86,**,**,0,0,**,**,0,0,0,0,0,0,30,191,47,4351,47,4555,22,462,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98262,,491,219,226,836,144,"25,653",313,"13,309",272,751,186,"1,047",167,601,142,"1,009",0,164,278,95,"1,839",131,"3,340",29,112,134,"1,845",0,0,187,"5,141",0,0,161,277,177,816,186,"1,236",122,"1,448",159,665,371,"15,996",141,107,0,0,45,53,0,0,28,36,60,74,43,44,0,0,341,"2,487",384,"2,717",135,249,284,685
98262,"$1 under $25,000",196,29,68,237,30,2252,112,1222,80,145,51,94,46,51,59,243,**,43,-26,37,402,37,429,29,112,20,47,**,**,36,656,**,**,30,23,31,128,36,153,**,**,25,22,84,507,22,7,**,**,**,**,**,**,28,36,60,74,43,44,**,**,72,45,103,96,34,21,119,200
98262,"$25,000 under $50,000",104,44,47,191,43,3839,64,1955,46,90,34,172,31,99,33,490,**,32,-0.79,**,**,27,518,**,**,31,244,**,**,34,699,**,**,30,33,32,120,33,185,40,413,29,90,96,1941,30,22,**,**,**,**,**,**,**,**,**,**,**,**,**,**,85,212,94,284,29,51,67,139
98262,"$50,000 under $75,000",87,54,46,184,43,5312,59,2789,58,203,35,259,50,190,27,209,**,50,139,33,774,42,1259,**,**,55,860,**,**,40,867,**,**,33,63,37,146,40,218,47,584,34,83,87,3305,60,58,**,**,45,53,**,**,**,**,0,0,0,0,**,**,81,394,84,440,43,109,47,142
98262,"$75,000 under $100,000",41,34,23,86,28,3572,31,1922,33,72,22,60,**,**,23,67,**,**,**,**,**,**,**,**,**,**,**,**,**,27,732,**,**,27,50,27,140,27,191,**,**,25,97,41,2361,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,40,314,40,335,**,**,26,89
98262,"$100,000 under $200,000",63,58,42,138,**,10678,47,5421,55,241,44,462,40,261,**,**,**,39,166,25,663,25,1134,**,**,28,694,**,**,50,2187,**,**,41,108,50,282,50,489,35,451,46,373,63,7882,29,20,**,**,**,**,**,**,0,0,0,0,0,0,**,**,63,1522,63,1562,29,68,25,115
98262,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98264,,"8,648","4,574","4,323","19,084","6,522","494,106","7,047","325,790","4,055","11,278","1,830","11,279","1,610","8,653","1,270","20,113",149,"1,626","15,769","1,051","14,024","1,533","32,530",850,"5,454","1,298","15,048",48,503,"3,291","73,613",66,250,"2,956","5,598","3,085","8,588","3,260","14,845","2,701","28,399","2,751","17,096","6,850","317,057","3,131","5,389",164,31,"1,860","2,793",223,90,945,"1,402",992,"2,014",842,"1,743",98,357,"6,055","46,321","6,448","49,699","1,721","8,315","6,244","15,265"
98264,"$1 under $25,000",3035,584,1263,3846,884,35682,2266,25819,968,1256,424,874,364,359,301,2297,30,375,-235,285,1605,441,3781,222,1307,163,307,**,**,333,5569,**,**,288,271,273,624,321,903,187,1421,253,686,1361,7944,304,95,**,**,77,23,**,**,390,500,627,1380,545,1238,**,**,1149,740,1383,1121,315,218,2292,3402
98264,"$25,000 under $50,000",1972,899,973,4344,1477,71966,1605,53001,815,1320,334,1018,287,540,275,3010,24,278,687,251,2312,363,6501,257,1662,425,2677,22,69,562,9815,**,**,490,567,500,1166,548,1875,421,3861,434,1570,1863,34477,835,677,26,4,506,473,47,21,390,649,365,634,297,505,0,0,1478,3461,1583,4092,315,453,1592,3812
98264,"$50,000 under $75,000",1540,1157,827,4375,1677,95565,1327,72182,842,1335,348,1002,313,571,314,3711,32,300,800,193,2669,285,7193,204,1421,308,4248,**,**,835,15352,42,101,749,1129,787,1841,832,3089,711,6648,675,2762,1526,56629,833,1366,57,10,599,1062,59,19,145,215,0,0,0,0,**,**,1377,6192,1418,6873,344,675,1143,3208
98264,"$75,000 under $100,000",945,852,499,2820,1023,81618,841,62977,575,863,253,658,217,454,163,1569,21,227,1020,142,2391,204,6513,102,664,187,3406,**,**,605,12501,**,**,547,1048,587,1499,604,2655,551,5849,511,2154,945,54830,512,1033,27,5,371,724,51,22,20,38,0,0,0,0,24,41,916,6551,925,6908,256,575,648,2110
98264,"$100,000 under $200,000",948,885,588,3045,1212,122571,835,85862,669,2630,355,1738,321,1224,174,3556,42,317,3219,145,3616,213,7814,65,400,171,3459,26,434,773,19458,24,149,712,1908,757,2421,772,4490,687,8439,705,4591,948,89861,554,1300,54,12,307,511,66,28,**,**,0,0,0,0,**,**,931,13718,935,14446,377,1765,518,2098
98264,"$200,000 or more",208,197,173,654,249,86704,173,25949,186,3874,116,5989,108,5505,43,5970,**,129,10278,35,1431,27,728,**,**,44,951,**,**,183,10918,**,**,170,675,181,1037,183,1833,144,2181,173,5333,207,73316,93,918,**,**,0,0,**,**,0,0,0,0,0,0,74,316,204,15659,204,16259,114,4629,51,635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98266,,"1,454",615,589,"3,058","1,055","52,945","1,236","40,839",309,226,114,235,89,148,203,"1,286",0,118,-19,79,827,183,"2,993",299,"2,251",116,"1,007",0,0,319,"5,405",0,0,264,380,295,651,314,"1,154",281,"2,503",179,396,"1,028","30,005",419,495,39,7,253,309,21,8,242,326,378,748,324,660,0,0,883,"3,884",989,"4,150",205,322,"1,186","2,808"
98266,"$1 under $25,000",694,159,248,1155,368,8479,523,6008,93,86,34,40,22,17,116,762,**,37,18,23,163,65,568,121,793,**,**,**,**,62,806,**,**,48,44,48,106,59,156,46,371,29,64,293,1857,78,28,**,**,26,10,21,8,133,154,259,528,218,463,**,**,241,167,330,273,68,43,570,1072
98266,"$25,000 under $50,000",409,180,161,952,363,14748,380,12279,85,23,48,76,40,48,43,390,**,28,-25,23,140,45,788,88,732,64,285,**,**,86,1219,**,**,73,76,83,146,84,228,78,594,38,69,386,7240,178,142,**,**,113,108,**,**,109,172,119,220,106,197,**,**,310,735,323,799,51,94,357,941
98266,"$50,000 under $75,000",199,147,96,542,196,12120,189,9875,63,46,**,**,**,**,44,134,**,33,-16,33,524,37,735,53,391,32,407,**,**,75,1279,**,**,63,86,71,147,75,272,68,635,40,93,197,7534,92,157,39,7,68,116,**,**,**,**,0,0,0,0,**,**,183,864,187,901,43,80,153,417
98266,"$75,000 under $100,000",95,77,54,264,92,8113,90,6912,34,4,32,119,27,83,**,**,**,**,**,**,**,36,902,37,335,20,315,**,**,55,1078,**,**,43,95,53,118,55,246,53,468,38,79,95,5625,43,85,**,**,46,75,**,**,**,**,0,0,0,0,**,**,92,736,92,762,21,39,73,262
98266,"$100,000 under $200,000",57,52,30,145,36,9485,54,5765,34,67,**,**,**,**,**,**,**,20,4,**,**,**,**,**,**,**,**,**,**,41,1023,**,**,37,79,40,134,41,252,36,435,34,91,57,7749,28,83,**,**,**,**,**,**,0,0,0,0,0,0,**,**,57,1382,57,1415,22,66,33,116
98266,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98267,,226,87,71,396,97,"8,597",175,"5,817",81,40,37,25,32,18,26,123,0,23,-18,0,0,52,"1,175",47,289,34,323,0,0,47,662,0,0,35,35,45,90,47,148,39,253,37,39,161,"5,176",53,46,0,0,26,30,0,0,21,23,47,75,41,61,0,0,145,722,165,759,34,17,179,313
98267,"$1 under $25,000",104,26,45,147,31,1174,74,642,23,24,**,**,**,**,26,123,**,23,-18,**,**,30,523,**,**,**,**,**,**,25,312,**,**,**,**,24,45,25,64,**,**,**,**,39,208,**,**,**,**,**,**,**,**,21,23,47,75,41,61,**,**,32,18,50,40,34,17,78,102
98267,"$25,000 under $50,000",60,23,**,116,33,2221,50,1582,26,5,37,25,32,18,**,**,**,**,**,**,**,**,**,47,289,34,323,**,**,**,**,**,**,**,**,**,**,**,**,39,253,**,**,60,1222,30,23,**,**,26,30,**,**,**,**,**,**,**,**,**,**,52,131,54,136,**,**,56,93
98267,"$50,000 under $75,000",62,38,26,133,33,5202,51,3593,32,11,**,**,**,**,**,**,**,**,**,**,**,22,652,**,**,**,**,**,**,22,350,**,**,35,35,21,45,22,84,**,**,37,39,62,3746,23,23,**,**,**,**,**,**,**,**,0,0,0,0,**,**,61,573,61,583,**,**,45,118
98267,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
98267,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
98267,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98270,,"20,924","8,813","9,237","44,313","15,624","1,122,514","18,333","920,886","7,968","5,280","3,140","6,333","2,748","3,544","2,138","21,358",0,"2,079","5,674","1,604","21,395","3,684","69,129","2,747","23,197","2,061","22,544",31,211,"7,926","156,705",158,555,"6,868","12,170","7,469","21,920","7,848","35,810","7,231","82,189","5,963","15,547","17,191","722,621","7,287","9,139",423,101,"4,804","6,484",896,499,"2,508","3,420","2,970","6,087","2,625","5,363",89,226,"15,395","106,548","16,114","111,157","3,158","8,891","17,094","44,134"
98270,"$1 under $25,000",6726,871,2797,9428,2860,83946,5326,62541,1468,888,541,1146,466,562,592,4292,**,397,-221,373,2174,822,7359,754,5578,255,396,**,**,522,8467,**,**,424,410,419,1262,498,1757,362,3157,327,532,3228,20294,926,313,**,**,296,107,64,22,1243,1473,1887,4252,1732,3850,**,**,2611,1858,3081,2569,480,323,5773,10001
98270,"$25,000 under $50,000",5288,1572,2363,10924,4082,193232,4614,155217,1565,1015,519,1285,458,817,528,5270,**,399,-208,378,3328,840,14328,803,7847,694,4300,**,**,1405,22206,26,40,1172,1341,1266,3219,1384,4759,1202,11164,922,1731,5064,100421,2139,1936,79,17,1406,1365,223,130,1038,1634,1083,1835,893,1513,**,**,4118,10586,4316,11575,658,960,4565,11745
98270,"$50,000 under $75,000",3486,1921,1549,8499,3094,215639,3209,179560,1556,1030,541,893,459,519,362,2859,**,332,442,307,4058,709,14699,528,4548,502,7074,**,**,1868,32759,31,87,1595,2398,1773,4794,1852,7486,1719,18087,1345,2670,3476,136306,1587,2537,94,20,1285,2070,184,96,199,287,0,0,0,0,**,**,3274,16851,3318,17621,636,1218,2804,7996
98270,"$75,000 under $100,000",2579,1921,1159,7095,2595,223058,2448,193964,1417,701,581,795,497,510,308,2745,**,351,550,230,3783,531,11308,376,2900,301,5106,31,211,1763,34859,40,98,1525,2707,1697,4834,1751,7905,1690,20177,1338,3163,2578,153591,1312,2380,95,29,1055,1845,189,111,28,26,0,0,0,0,**,**,2549,20652,2556,21454,458,1154,2082,7099
98270,"$100,000 under $200,000",2671,2377,1263,7871,2822,343836,2576,300014,1823,1172,868,969,783,664,323,4046,**,521,1081,276,6259,725,18347,286,2324,280,5156,**,**,2211,51258,61,330,2018,4810,2162,7053,2206,12470,2127,27632,1896,6467,2671,258382,1266,1839,155,35,762,1097,236,140,**,**,0,0,0,0,36,38,2669,43267,2669,44283,838,2883,1797,6721
98270,"$200,000 or more",174,151,106,496,171,62803,160,29590,139,474,90,1245,85,472,25,2146,**,79,4030,40,1793,57,3088,**,**,29,512,**,**,157,7156,**,**,134,504,152,758,157,1433,131,1972,135,984,174,53627,57,134,**,**,0,0,**,**,**,**,0,0,0,0,53,188,174,13334,174,13655,88,2353,73,572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98271,,"12,035","5,063","5,552","24,245","7,826","646,815","10,173","501,371","4,514","4,668","1,971","4,940","1,732","2,868","1,242","11,824",35,"1,387","3,363","1,072","17,624","2,389","48,021","1,565","13,397","1,558","18,418",26,214,"4,386","87,423",89,237,"3,791","6,954","4,084","13,145","4,330","21,356","3,917","43,352","3,205","7,982","9,959","421,960","3,856","4,540",252,97,"2,386","3,163",409,220,"1,257","1,643","1,636","3,070","1,430","2,762",98,226,"9,018","64,106","9,407","66,629","2,034","6,021","9,538","24,657"
98271,"$1 under $25,000",3830,555,1657,5139,1419,47165,2835,33016,850,605,361,657,327,352,375,2341,**,272,-152,261,1580,540,5033,416,3094,191,373,**,**,330,6008,21,25,265,310,273,761,313,1443,225,1903,205,320,1870,11562,450,146,**,**,126,46,27,10,593,666,1030,2089,912,1904,0,0,1599,1099,1870,1507,421,280,3115,5230
98271,"$25,000 under $50,000",3164,1029,1415,6422,2242,117518,2725,91700,962,790,345,851,300,538,295,2764,**,277,164,226,2353,543,9460,473,4393,492,3154,**,**,878,13644,**,**,723,820,794,2112,860,3090,753,6598,562,1040,3063,61741,1315,1229,61,16,840,860,128,63,545,809,606,981,518,858,**,**,2513,6480,2607,6990,381,609,2736,7194
98271,"$50,000 under $75,000",2125,1093,1012,4908,1691,131065,1896,103809,910,587,340,933,286,533,224,2026,35,240,352,211,2929,488,10694,317,2777,385,5557,**,**,1066,18018,21,33,928,1336,986,2706,1059,4179,956,9324,708,1502,2113,84861,889,1363,51,16,672,1111,90,45,119,168,0,0,0,0,**,**,2011,10780,2037,11245,416,885,1675,4803
98271,"$75,000 under $100,000",1309,981,640,3366,1076,113025,1192,89802,689,642,334,546,295,319,146,1336,**,210,207,174,3063,362,8915,190,1663,251,4723,26,214,846,16527,20,41,727,1356,810,2414,840,3922,786,8853,642,1488,1307,79060,583,966,62,44,432,734,65,37,**,**,0,0,0,0,30,19,1294,10836,1290,11127,290,763,993,3224
98271,"$100,000 under $200,000",1434,1254,711,3927,1239,185458,1371,155377,947,803,492,974,435,645,180,2196,**,292,1298,161,5053,404,10914,169,1470,200,3800,**,**,1111,27144,27,138,998,2549,1071,4156,1103,7045,1062,14170,941,2843,1433,140224,557,771,78,21,316,412,99,65,**,**,0,0,0,0,**,**,1428,23850,1430,24408,447,1659,950,3713
98271,"$200,000 or more",173,151,117,483,159,52584,154,27667,156,1241,99,979,89,481,22,1161,0,96,1494,39,2646,52,3005,**,**,39,811,**,**,155,6082,**,**,150,583,150,996,155,1677,135,2504,147,789,173,44512,62,65,**,**,0,0,**,**,0,0,0,0,0,0,68,207,173,11061,173,11352,79,1825,69,493
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98272,,"11,348","5,170","4,966","25,320","9,372","685,049","9,918","549,735","4,293","5,469","2,000","6,093","1,805","3,690","1,558","16,362",95,"1,682","5,536",866,"13,542","1,692","33,954","1,513","12,663","1,096","12,905",34,284,"4,827","107,671",90,383,"4,218","7,545","4,579","16,538","4,766","25,339","4,354","56,728","3,666","11,337","9,229","446,644","3,910","5,066",258,85,"2,601","3,631",455,236,"1,368","2,129","1,230","2,450","1,044","2,144",115,292,"8,339","70,073","8,769","73,437","1,784","7,219","9,125","24,573"
98272,"$1 under $25,000",3595,492,1426,5299,1774,44951,2820,33798,790,757,326,805,294,415,409,3014,28,314,-86,180,1109,390,3759,381,2969,135,281,**,**,350,6248,**,**,293,206,301,937,336,1431,244,2458,207,340,1655,10241,385,136,**,**,123,37,27,8,698,955,817,1764,708,1581,**,**,1382,959,1680,1431,304,246,3017,4892
98272,"$25,000 under $50,000",2581,826,1178,5711,2309,95075,2248,76384,761,988,282,847,262,455,293,2569,**,248,182,180,1700,369,6391,394,3805,354,2316,**,**,759,12883,28,49,616,673,677,2017,740,2835,608,5807,491,939,2410,47276,991,881,40,8,692,664,61,34,520,952,413,686,336,563,**,**,1964,5017,2062,5531,289,407,2243,5681
98272,"$50,000 under $75,000",1848,1065,845,4660,1747,114460,1697,94588,763,826,315,682,281,444,294,3797,37,265,277,153,1716,308,6520,332,2537,246,3367,34,284,1045,19901,32,100,924,1305,993,3152,1032,4604,960,10855,750,1508,1840,69816,887,1412,71,24,686,1150,91,42,126,189,0,0,0,0,**,**,1702,8408,1732,9074,320,805,1485,4512
98272,"$75,000 under $100,000",1366,1058,605,3771,1350,118702,1285,100918,713,550,323,552,277,373,231,1881,**,240,182,154,2714,259,5886,226,1900,176,3106,**,**,994,21181,**,**,864,1481,967,3305,986,4924,946,12198,770,1935,1366,79658,717,1255,58,14,565,979,94,50,24,33,0,0,0,0,**,**,1338,10493,1342,10989,259,705,1092,3856
98272,"$100,000 under $200,000",1730,1527,770,5203,1946,228243,1662,197994,1081,1057,626,1370,567,1031,296,4498,30,485,1387,164,4055,314,8779,180,1452,153,2972,**,**,1468,38127,30,234,1330,3187,1432,5736,1461,9257,1414,21556,1264,4469,1730,168055,848,1247,89,39,535,801,182,102,**,**,0,0,0,0,35,49,1725,28155,1725,29147,496,1863,1197,4993
98272,"$200,000 or more",228,202,142,676,246,83618,206,46053,185,1291,128,1837,124,972,35,603,**,130,3594,35,2248,52,2619,**,**,32,863,**,**,211,9331,**,**,191,693,209,1391,211,2288,182,3854,184,2146,228,71598,82,135,**,**,**,**,**,**,0,0,0,0,0,0,80,243,228,17041,228,17265,116,3193,91,639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98273,,"12,823","4,938","6,147","28,147","10,969","598,545","10,895","424,412","4,237","7,732","2,070","9,877","1,860","6,435","1,501","20,092",111,"1,642","11,214","1,172","17,638","2,131","42,889","1,694","11,884","1,510","17,785",53,768,"3,651","73,754",95,528,"3,144","5,481","3,390","11,823","3,598","18,213","3,056","31,946","2,734","9,091","9,423","368,895","4,083","4,267",254,76,"2,461","2,884",432,236,"2,681","4,066","2,343","5,134","2,102","4,701",109,534,"7,929","57,805","8,416","61,332","1,868","7,665","10,331","26,940"
98273,"$1 under $25,000",5490,784,2395,9651,3949,71319,4474,55731,1066,1205,464,1011,412,524,498,3412,42,364,-115,301,1543,576,5349,653,3841,170,286,**,**,392,6259,**,**,330,279,323,978,378,1283,257,2216,251,523,2346,13687,746,254,**,**,336,105,52,17,1635,2130,1624,3877,1498,3610,**,**,1785,1194,2109,1743,377,274,4756,9488
98273,"$25,000 under $50,000",3359,1181,1635,8204,3675,119895,2955,95947,905,994,413,1284,356,789,354,3704,**,329,327,265,2521,512,8180,512,4057,478,2829,**,**,790,12592,22,25,656,835,696,1964,768,2917,620,5320,521,1090,3116,56404,1484,1278,58,19,1026,936,151,92,934,1756,719,1257,604,1091,**,**,2306,5613,2440,6317,408,627,2882,8067
98273,"$50,000 under $75,000",1639,1007,845,4065,1419,100994,1413,75932,777,947,358,1215,321,617,240,2577,34,268,627,212,2776,402,9630,256,1939,353,5051,**,**,797,14459,32,95,665,951,748,2261,788,3360,704,6842,559,1257,1630,63306,759,1095,63,16,512,864,65,33,112,180,0,0,0,0,**,**,1525,7731,1547,8301,346,776,1240,3455
98273,"$75,000 under $100,000",1092,874,547,2895,929,94217,959,69904,597,747,298,986,274,537,162,2335,**,225,596,190,3802,311,8053,152,1033,262,4853,**,**,721,14800,**,**,634,1122,700,2301,717,3547,645,7018,569,1748,1088,64660,540,858,70,19,361,650,82,46,**,**,0,0,0,0,27,47,1076,8504,1081,9024,258,730,786,2572
98273,"$100,000 under $200,000",1065,937,588,2884,882,138574,950,100813,735,1726,418,1959,387,1405,209,3780,35,341,2471,178,5489,295,10183,121,1014,209,3960,53,768,799,19275,41,408,726,1678,782,3228,798,5109,721,8818,693,2766,1065,105612,484,683,63,22,226,329,82,48,**,**,0,0,0,0,**,**,1060,17670,1061,18471,382,1967,627,2664
98273,"$200,000 or more",178,155,137,448,115,73546,144,26085,157,2113,119,3422,110,2563,38,4284,**,115,7308,26,1507,35,1494,**,**,38,806,**,**,152,6369,**,**,133,616,141,1091,149,1997,109,1732,141,1707,178,65226,70,99,**,**,0,0,**,**,0,0,0,0,0,0,82,487,177,17093,178,17476,97,3291,40,694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98274,,"7,354","3,326","3,547","15,465","5,168","421,921","5,899","292,912","3,223","5,656","1,700","8,116","1,528","5,494","1,045","14,168",46,"1,358","10,141",957,"16,710","1,568","35,697",904,"6,922","1,266","15,647",35,298,"2,852","62,524",64,295,"2,543","4,742","2,686","10,563","2,824","16,084","2,403","26,724","2,284","8,374","5,850","275,282","2,455","2,744",147,42,"1,363","1,764",304,161,968,"1,371","1,053","2,257",934,"2,030",99,392,"5,180","44,140","5,480","46,648","1,247","4,892","5,647","15,054"
98274,"$1 under $25,000",2578,409,1109,3857,1243,32903,1908,23029,675,806,335,940,290,542,294,1714,24,277,-112,195,1217,377,3779,301,1981,171,278,**,**,277,4648,**,**,244,204,235,758,268,945,171,1415,181,329,1178,7124,319,104,26,4,109,37,**,**,526,657,698,1654,626,1518,**,**,948,641,1161,934,214,140,2115,3936
98274,"$25,000 under $50,000",1731,600,806,3782,1459,62891,1395,46061,630,693,310,1026,278,549,194,1497,**,244,-19,197,2043,355,6619,259,2275,387,2523,**,**,500,7981,30,64,419,441,454,1414,491,1925,395,3208,345,704,1635,31032,717,627,**,**,453,436,86,40,365,611,355,603,308,512,0,0,1295,3155,1349,3473,218,330,1462,3907
98274,"$50,000 under $75,000",1187,699,601,2771,886,73109,996,53430,615,906,291,1105,262,660,185,2038,**,229,204,204,2957,284,6937,169,1341,285,4080,0,0,640,11749,**,**,563,808,599,1967,636,2899,549,5534,492,1326,1181,45753,517,733,34,8,347,560,57,30,77,103,0,0,0,0,0,0,1099,5647,1125,6099,271,561,871,2413
98274,"$75,000 under $100,000",755,615,388,1978,608,65502,626,46229,471,736,262,955,234,589,128,1780,22,197,702,151,2996,236,6983,88,712,190,3851,**,**,503,10942,**,**,459,867,487,1846,500,2788,448,5010,431,1433,753,44419,366,595,34,8,236,415,59,33,**,**,0,0,0,0,23,32,738,5731,744,6102,172,418,550,1870
98274,"$100,000 under $200,000",918,828,508,2553,808,121391,820,91093,666,941,389,1409,357,837,187,4056,**,301,1856,169,5162,269,9018,87,613,190,3939,35,298,761,19323,34,231,701,1747,742,3330,758,5347,701,9128,669,2738,918,90825,457,609,53,22,218,316,102,58,**,**,0,0,0,0,**,**,915,15201,916,15924,286,1319,587,2263
98274,"$200,000 or more",185,175,135,524,164,66125,154,33070,166,1574,113,2681,107,2317,57,3083,**,110,7510,41,2335,47,2361,**,**,43,976,**,**,171,7881,**,**,157,675,169,1248,171,2180,139,2429,166,1844,185,56129,79,76,**,**,0,0,**,**,0,0,0,0,0,0,76,360,185,13765,185,14116,86,2124,62,665
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98275,,"10,248","4,827","4,673","20,632","6,354","964,054","8,719","697,069","5,864","9,447","3,476","17,411","3,140","12,155","1,462","32,971",0,"2,771","46,872","1,191","27,548","1,879","46,068",810,"7,279","1,383","21,358",90,"1,711","5,007","130,008",255,"1,591","4,397","10,406","4,707","21,592","4,973","35,225","4,345","61,582","4,231","16,069","8,758","727,882","3,604","5,121",262,70,"1,522","1,980",381,210,463,565,693,"1,220",556,994,412,"1,291","8,256","134,559","8,579","139,091","2,372","14,485","7,270","23,245"
98275,"$1 under $25,000",2598,271,1032,2638,555,27841,1974,21071,844,761,418,788,366,452,310,2343,**,347,-129,162,1124,268,2295,176,1387,108,241,**,**,273,5103,23,29,235,197,209,826,261,1073,169,1810,169,270,1215,7201,306,116,**,**,49,15,**,**,229,263,486,881,398,731,**,**,1009,647,1231,1026,254,187,2059,2597
98275,"$25,000 under $50,000",1771,466,726,3028,798,65708,1471,50530,715,659,327,1005,281,598,225,3102,**,271,-59,160,1992,303,5249,224,2148,275,1889,24,150,534,10203,**,**,455,499,458,1620,521,2198,418,4410,371,780,1675,36171,624,572,25,5,303,301,59,28,183,236,207,339,158,263,**,**,1459,4004,1528,4529,287,481,1412,3142
98275,"$50,000 under $75,000",1358,594,629,2818,868,84674,1124,63612,776,1020,401,1622,364,989,189,3271,**,305,116,223,3482,305,7195,121,1158,273,4084,**,**,680,13983,30,84,591,887,636,2413,676,3480,568,6436,542,1342,1348,54499,579,787,37,11,347,517,39,22,51,66,0,0,0,0,**,**,1292,7179,1316,7719,321,658,994,3123
98275,"$75,000 under $100,000",1185,708,589,2715,823,103292,1043,81558,803,892,519,1532,466,935,201,2530,**,365,460,191,3685,268,7076,104,946,228,4567,**,**,764,16933,42,158,664,1313,723,2872,761,4483,668,8163,659,1840,1184,72331,572,800,41,11,327,525,60,36,**,**,0,0,0,0,**,**,1170,10555,1175,11045,272,823,863,3219
98275,"$100,000 under $200,000",2508,2044,1173,7019,2467,347008,2344,287736,1970,2671,1259,3770,1141,2495,403,8734,**,980,4417,339,9103,552,16938,160,1455,372,7693,37,615,1988,51969,107,643,1764,4645,1927,8826,1986,14572,1845,26984,1774,6024,2508,263561,1195,1591,118,31,496,622,168,90,**,**,0,0,0,0,62,119,2498,46597,2501,48107,837,4054,1593,7375
98275,"$200,000 or more",828,744,524,2414,843,335531,763,192562,756,3444,552,8694,522,6686,134,12991,**,503,42067,116,8162,183,7315,25,185,127,2884,29,946,768,31817,53,677,688,2865,754,5035,768,9419,677,13779,716,5813,828,294119,328,1255,41,12,0,0,55,34,0,0,0,0,0,0,350,1172,828,65577,828,66665,401,8282,349,3789
