WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
"$50,000 under $75,000",98122," 2,357 ", 398 , 770 ," 3,225 ", 310 ," 144,291 "," 128,093 "," 1,551 "," 1,959 "," 5,545 ", 541 ," 1,194 "," 4,469 ", 615 ," 2,097 ", 197 ," 19,612 ", 289 ," 1,112 "," 2,756 "," 4,238 "," 11,429 "," 1,364 "," 104,689 ", 482 , -   , 282 , 22 , -   , -   , -   ," 16,601 "," 17,634 ", 930 ," (4,904)",
"$75,000 under $100,000",98122," 1,317 ", 397 , 436 ," 2,042 ", 210 ," 114,306 "," 98,902 "," 1,690 "," 1,818 "," 4,952 "," 1,093 "," 1,169 "," 3,696 ", 259 ," 1,515 ", 182 ," 17,366 ", 235 , 982 ," 2,501 "," 3,815 "," 10,320 "," 1,320 "," 86,022 ", 354 , -   , 190 , 19 , -   , -   , -   ," 15,010 "," 15,895 ", 882 ," (3,502)",
"$100,000 under $200,000",98122," 1,778 ", 857 , 809 ," 3,311 ", 434 ," 241,009 "," 196,589 "," 3,910 "," 6,235 "," 10,713 "," 4,636 "," 3,036 "," 6,364 ", 390 ," 2,208 "," 1,035 "," 41,496 ", 718 ," 3,138 "," 6,042 "," 10,039 "," 23,873 "," 3,833 "," 185,144 ", 580 , -   , 171 , 55 , -   , -   , 131 ," 36,171 "," 38,151 "," 2,466 "," (6,729)",
"$200,000 or more",98122, 718 , 527 , 497 ," 1,775 ", 319 ," 339,883 "," 200,664 "," 11,557 "," 20,051 "," 20,002 "," 62,146 "," 2,792 "," 2,953 ", 51 ," 1,117 "," 2,680 "," 42,090 "," 1,362 "," 3,114 "," 6,497 "," 11,196 "," 16,589 "," 10,019 "," 292,554 "," 1,409 ", -   , -   , 48 , -   , -   ," 1,863 "," 74,013 "," 76,530 "," 6,253 "," (5,129)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98124, 618 , 223 , 360 ," 1,128 ", 177 ," 88,092 "," 77,754 "," 2,472 "," 2,542 ", 693 ," 2,086 ", 449 ," 1,060 ", 97 , 355 , -   ," 8,471 ", 312 , 338 , 994 ," 2,009 "," 2,843 ", 503 ," 74,260 "," 7,228 ", -   , 49 , -   , 42 , 29 , 118 ," 12,225 "," 12,508 "," 2,108 "," (1,804)",
"Under $10,000",98124, 61 , -   , 27 , 60 , -   , (136), 267 , 26 , 60 , (83), (39), -   , -   , -   , -   , -   , 292 , -   , -   , -   , 18 , -   , -   , -   , -   , -   , -   , -   , 11 , -   , -   , -   , 27 , -   , (41),
"$10,000 under $25,000",98124, 53 , -   , 31 , 77 , 17 , 898 , 634 , 22 , -   , 145 , -   , -   , 177 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 321 , -   , -   , -   , -   , 31 , 29 , -   , 35 , 58 , 24 , (50),
"$25,000 under $50,000",98124, 114 , 24 , 46 , 174 , 27 ," 4,308 "," 3,758 ", 113 , 32 , 183 , 64 , 272 , -   , 97 , -   , -   , 518 , -   , 24 , 83 , 96 , 276 , 29 ," 2,636 ", 30 , -   , 30 , -   , -   , -   , -   , 312 , 356 , 51 , (231),
"$50,000 under $75,000",98124, 110 , 19 , 49 , 155 , 17 ," 6,817 "," 6,469 ", 50 , 25 , 344 , (22), -   , 230 , -   , -   , -   , 994 , -   , 43 , 97 , 148 , 405 , 42 ," 5,052 ", 49 , -   , -   , -   , -   , -   , -   , 811 , 863 , 26 , (273),
"$75,000 under $100,000",98124, 68 , 31 , 30 , 126 , 14 ," 5,801 "," 4,925 ", 114 , 49 , -   , (5), 177 , 338 , -   , 355 , -   , 770 , -   , 38 , 95 , 179 , 441 , 38 ," 4,276 ", 23 , -   , 19 , -   , -   , -   , -   , 684 , 699 , 56 , (200),
"$100,000 under $200,000",98124, 104 , 62 , 77 , 214 , 34 ," 15,357 "," 18,764 ", 315 , 244 , 104 , (12), -   , 315 , -   , -   , -   ," 1,544 ", 43 , 96 , 200 , 336 , 771 , 80 ," 12,581 "," 1,033 ", -   , -   , -   , -   , -   , -   ," 2,060 "," 2,101 ", 492 , (338),
"$200,000 or more",98124, 108 , 87 , 100 , 322 , 68 ," 55,047 "," 42,938 "," 1,831 "," 2,131 ", -   ," 2,099 ", -   , -   , -   , -   , -   ," 4,353 ", 270 , 137 , 519 ," 1,233 ", 950 , 313 ," 49,395 "," 6,092 ", -   , -   , -   , -   , -   , 118 ," 8,324 "," 8,404 "," 1,459 ", (671),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98125," 18,799 "," 5,830 "," 6,987 "," 31,069 "," 4,362 "," 1,058,250 "," 796,970 "," 26,944 "," 29,344 "," 50,477 "," 29,258 "," 18,695 "," 54,786 "," 4,262 "," 22,358 "," 3,112 "," 148,321 "," 2,171 "," 9,789 "," 21,864 "," 34,660 "," 73,949 "," 15,172 "," 742,084 "," 4,704 ", -   ," 2,525 ", 334 ," 2,372 "," 2,005 ", 815 ," 126,195 "," 134,033 "," 11,173 "," (33,717)",
"Under $10,000",98125," 2,800 ", 220 , 858 ," 2,709 ", 285 ," 10,022 "," 12,484 "," 1,144 ", 739 , (271), (30), 332 ," 1,126 ", 231 , -   , -   ," 4,407 ", 20 , 82 , 607 , 742 ," 2,212 ", 72 , 751 , 2 , -   , -   , -   , 565 , 499 , -   , 75 , 338 , 117 ," (1,944)",
"$10,000 under $25,000",98125," 3,761 ", 457 ," 1,378 "," 5,193 ", 638 ," 65,787 "," 49,951 "," 2,822 "," 1,650 "," 4,683 ", (105)," 1,420 "," 5,585 ", 891 , 367 , 26 ," 7,538 ", 55 , 282 , 973 ," 1,340 "," 2,790 ", 430 ," 23,734 ", 365 , -   , 58 , 13 ," 1,447 "," 1,226 ", -   ," 2,223 "," 2,983 ", 438 ," (4,822)",
"$25,000 under $50,000",98125," 5,020 ", 923 ," 1,733 "," 7,614 ", 967 ," 182,690 "," 153,895 "," 4,141 "," 2,927 "," 6,093 ", 183 ," 2,578 "," 10,297 "," 1,407 "," 3,858 ", 122 ," 19,653 ", 180 , 895 ," 2,742 "," 3,911 "," 9,526 "," 1,602 "," 111,288 "," 1,158 ", -   , 613 , 61 , 360 , 280 , -   ," 13,349 "," 14,507 "," 1,023 "," (7,590)",
"$50,000 under $75,000",98125," 2,888 "," 1,068 "," 1,119 "," 5,061 ", 701 ," 178,077 "," 141,819 "," 4,856 "," 3,946 "," 5,336 ", 771 ," 3,330 "," 12,399 ", 775 ," 6,326 ", 96 ," 26,416 ", 311 ," 1,538 "," 3,926 "," 5,938 "," 13,999 "," 2,347 "," 121,845 "," 1,031 ", -   , 706 , 54 , -   , -   , -   ," 17,579 "," 18,524 "," 1,133 "," (6,053)",
"$75,000 under $100,000",98125," 1,693 ", 999 , 656 ," 3,656 ", 575 ," 146,111 "," 115,482 "," 3,630 "," 2,848 "," 6,302 "," 1,136 "," 3,285 "," 8,448 ", 392 ," 4,573 ", 304 ," 24,103 ", 267 ," 1,613 "," 3,611 "," 5,621 "," 13,418 "," 2,315 "," 103,764 "," 1,004 ", -   , 640 , 55 , -   , -   , -   ," 15,441 "," 16,487 ", 991 ," (4,446)",
"$100,000 under $200,000",98125," 2,129 "," 1,736 ", 906 ," 5,433 ", 937 ," 284,352 "," 225,551 "," 5,317 "," 6,713 "," 13,342 "," 4,863 "," 5,402 "," 12,778 ", 565 ," 5,750 "," 1,171 "," 44,761 ", 689 ," 3,773 "," 6,847 "," 11,571 "," 23,609 "," 4,932 "," 215,956 ", 853 , -   , 508 , 125 , -   , -   , 142 ," 38,584 "," 40,679 "," 3,057 "," (6,364)",
"$200,000 or more",98125, 508 , 427 , 337 ," 1,403 ", 259 ," 191,212 "," 97,788 "," 5,033 "," 10,520 "," 14,992 "," 22,439 "," 2,348 "," 4,154 ", -   ," 1,483 "," 1,392 "," 21,444 ", 649 ," 1,607 "," 3,159 "," 5,536 "," 8,396 "," 3,474 "," 164,746 ", 290 , -   , -   , 26 , -   , -   , 673 ," 38,944 "," 40,515 "," 4,414 "," (2,499)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98126," 9,995 "," 3,075 "," 4,026 "," 17,002 "," 2,527 "," 640,695 "," 506,305 "," 13,156 "," 9,676 "," 23,111 "," 24,740 "," 9,103 "," 27,230 "," 2,898 "," 9,688 "," 1,309 "," 101,860 "," 1,682 "," 6,826 "," 13,893 "," 23,075 "," 59,053 "," 7,572 "," 454,502 "," 2,337 ", -   ," 1,444 ", 213 ," 2,034 "," 1,751 ", 532 ," 80,672 "," 85,163 "," 7,672 "," (21,987)",
"Under $10,000",98126," 1,189 ", 96 , 483 ," 1,341 ", 185 ," 4,207 "," 5,570 ", 396 , 318 , 259 , (1), 228 , 670 , 92 , -   , -   ," 2,517 ", 15 , 43 , 347 , 507 ," 1,392 ", 37 , 226 , 1 , -   , -   , -   , 378 , 324 , -   , 22 , 213 , 68 , (996),
"$10,000 under $25,000",98126," 1,636 ", 211 , 709 ," 2,655 ", 464 ," 28,534 "," 21,155 "," 1,037 ", 523 ," 2,836 ", (48), 576 ," 2,469 ", 533 , 166 , 61 ," 4,243 ", 16 , 127 , 467 , 667 ," 1,652 ", 241 ," 9,085 ", 129 , -   , 46 , 5 ," 1,377 "," 1,199 ", -   , 861 ," 1,301 ", 207 ," (2,964)",
"$25,000 under $50,000",98126," 2,584 ", 401 , 931 ," 3,971 ", 544 ," 96,013 "," 79,819 "," 2,028 "," 1,259 "," 3,443 ", 114 ," 1,625 "," 5,853 ", 812 ," 2,042 ", -   ," 12,318 ", 243 , 565 ," 1,756 "," 2,648 "," 5,994 ", 778 ," 57,969 ", 591 , -   , 374 , 39 , 280 , 227 , -   ," 7,055 "," 7,658 ", 547 ," (4,541)",
"$50,000 under $75,000",98126," 1,692 ", 504 , 628 ," 2,710 ", 335 ," 104,250 "," 87,039 "," 1,845 "," 1,515 "," 3,801 ", 380 ," 1,499 "," 5,642 ", 640 ," 2,840 ", -   ," 18,198 ", 128 ," 1,142 "," 2,482 "," 3,840 "," 10,878 "," 1,016 "," 71,038 ", 502 , -   , 364 , 26 , -   , -   , -   ," 10,594 "," 11,284 ", 755 ," (3,776)",
"$75,000 under $100,000",98126," 1,139 ", 562 , 453 ," 2,213 ", 322 ," 98,731 "," 85,291 "," 1,644 ", 991 ," 3,022 ", 72 ," 1,702 "," 3,582 ", 314 ," 1,917 ", 143 ," 19,435 ", 151 ," 1,249 "," 2,568 "," 4,093 "," 12,226 "," 1,306 "," 68,900 ", 497 , -   , 372 , 36 , -   , -   , -   ," 10,848 "," 11,464 ", 607 ," (3,434)",
"$100,000 under $200,000",98126," 1,448 "," 1,052 ", 631 ," 3,338 ", 547 ," 191,218 "," 160,831 "," 3,334 "," 2,695 "," 7,562 "," 1,861 "," 2,302 "," 6,344 ", 507 ," 2,128 ", 544 ," 32,837 ", 474 ," 2,553 "," 4,516 "," 7,702 "," 20,780 "," 2,382 "," 144,509 ", 508 , -   , 287 , 88 , -   , -   , 36 ," 26,416 "," 27,737 "," 1,732 "," (4,776)",
"$200,000 or more",98126, 307 , 249 , 191 , 774 , 130 ," 117,742 "," 66,599 "," 2,873 "," 2,375 "," 2,189 "," 22,362 "," 1,172 "," 2,669 ", -   , 595 , 561 ," 12,313 ", 654 ," 1,146 "," 1,758 "," 3,618 "," 6,132 "," 1,812 "," 102,775 ", 110 , -   , -   , 19 , -   , -   , 496 ," 24,877 "," 25,508 "," 3,756 "," (1,501)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98127, 551 , 111 , 215 , 767 , 81 ," 33,047 "," 23,072 ", 734 , 894 ," 1,966 "," 1,464 ", 327 ," 1,417 ", 159 , 552 , -   ," 5,068 ", 37 , 303 , 589 ," 1,035 "," 2,131 ", 353 ," 24,282 ", 58 , -   , 16 , -   , 25 , 12 , 44 ," 4,339 "," 4,697 ", 422 , (849),
"Under $10,000",98127, 73 , 14 , 32 , 74 , 11 , (77), 361 , 40 , 36 , 20 , (8), -   , -   , -   , -   , -   , -   , -   , -   , 42 , -   , 188 , -   , -   , -   , -   , -   , -   , 12 , 12 , -   , -   , 10 , -   , (29),
"$10,000 under $25,000",98127, 95 , -   , 35 , 114 , -   ," 1,649 "," 1,024 ", 57 , 49 , 310 , (10), -   , 176 , -   , -   , -   , 552 , -   , 8 , -   , 72 , -   , -   , 628 , 5 , -   , -   , -   , 13 , -   , -   , 61 , 109 , 36 , (78),
"$25,000 under $50,000",98127, 152 , 11 , 42 , 186 , 18 ," 5,462 "," 4,522 ", 140 , 87 , 362 , (23), 102 , 242 , 120 , 74 , -   , 450 , -   , 23 , 59 , 86 , 183 , 23 ," 3,686 ", 13 , -   , -   , -   , -   , -   , -   , 473 , 525 , 40 , (158),
"$50,000 under $75,000",98127, 94 , 18 , 35 , 133 , 14 ," 5,650 "," 4,558 ", 87 , 81 , 431 , (20), -   , 428 , 39 , 216 , -   , 740 , -   , 35 , 97 , 155 , 343 , 79 ," 4,074 ", 7 , -   , 16 , -   , -   , -   , -   , 650 , 711 , 69 , (181),
"$75,000 under $100,000",98127, 45 , 13 , 20 , 81 , 15 ," 3,853 "," 3,153 ", 61 , -   , -   , -   , -   , -   , -   , -   , -   , 489 , 37 , 36 , 85 , 125 , 259 , 21 ," 2,948 ", 14 , -   , -   , -   , -   , -   , -   , 496 , 525 , -   , (130),
"$100,000 under $200,000",98127, 69 , 40 , 34 , 129 , 23 ," 9,142 "," 6,809 ", 143 , 83 , 843 , 180 , 225 , 571 , -   , 261 , -   ," 1,727 ", -   , 124 , 169 , 333 , 789 , 164 ," 6,851 ", 12 , -   , -   , -   , -   , -   , -   ," 1,312 "," 1,411 ", 276 , (272),
"$200,000 or more",98127, 23 , 15 , 17 , 50 , -   ," 7,367 "," 2,645 ", 208 , 557 , -   ," 1,345 ", -   , -   , -   , -   , -   ," 1,110 ", -   , 76 , 138 , 264 , 369 , 66 ," 6,094 ", 7 , -   , -   , -   , -   , -   , 44 ," 1,346 "," 1,407 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98133," 22,387 "," 6,789 "," 8,713 "," 37,214 "," 5,391 "," 1,114,120 "," 872,388 "," 27,372 "," 21,683 "," 40,263 "," 24,524 "," 19,229 "," 63,126 "," 5,653 "," 26,303 "," 1,930 "," 166,750 "," 2,111 "," 10,151 "," 24,354 "," 37,632 "," 84,698 "," 15,853 "," 747,588 "," 5,706 ", -   ," 3,419 ", 397 ," 3,090 "," 2,585 ", 624 ," 118,476 "," 125,774 "," 10,275 "," (38,772)",
"Under $10,000",98133," 3,339 ", 285 ," 1,111 "," 3,237 ", 319 ," 11,763 "," 14,112 "," 1,887 ", 903 , 647 , 133 , 499 ," 1,303 ", 263 , -   , -   ," 5,545 ", 25 , 126 , 755 , 940 ," 2,664 ", 95 , 755 , 1 , -   , -   , -   , 708 , 597 , -   , 85 , 455 , 163 ," (1,805)",
"$10,000 under $25,000",98133," 4,512 ", 557 ," 1,777 "," 6,320 ", 851 ," 78,840 "," 59,371 "," 2,789 "," 1,854 "," 5,435 ", (227)," 2,063 "," 7,295 "," 1,278 ", 503 , 45 ," 10,407 ", 61 , 352 ," 1,449 "," 1,905 "," 3,703 ", 784 ," 27,455 ", 409 , -   , 86 , 23 ," 1,853 "," 1,582 ", -   ," 2,568 "," 3,559 ", 537 ," (6,082)",
"$25,000 under $50,000",98133," 6,373 "," 1,229 "," 2,387 "," 10,062 "," 1,389 "," 234,156 "," 196,577 "," 4,714 "," 3,451 "," 7,463 ", 35 ," 3,374 "," 13,307 "," 1,818 "," 5,168 ", 143 ," 29,221 ", 241 ," 1,297 "," 4,026 "," 5,759 "," 13,993 "," 2,070 "," 139,518 "," 1,558 ", -   , 888 , 87 , 529 , 407 , -   ," 16,583 "," 18,074 "," 1,218 "," (10,010)",
"$50,000 under $75,000",98133," 3,559 "," 1,386 "," 1,418 "," 6,529 ", 985 ," 219,596 "," 177,647 "," 5,104 "," 3,472 "," 6,676 ", 496 ," 3,688 "," 13,904 "," 1,141 "," 8,079 ", 145 ," 36,246 ", 347 ," 2,114 "," 5,658 "," 8,356 "," 19,589 "," 3,150 "," 147,164 "," 1,396 ", -   , 999 , 70 , -   , -   , -   ," 20,966 "," 22,121 "," 1,398 "," (7,671)",
"$75,000 under $100,000",98133," 2,145 "," 1,365 ", 871 ," 4,770 ", 759 ," 185,664 "," 150,180 "," 3,773 "," 2,732 "," 5,959 "," 1,194 "," 3,211 "," 11,805 ", 572 ," 5,994 ", 266 ," 31,337 ", 276 ," 1,973 "," 4,593 "," 7,005 "," 17,648 "," 2,710 "," 130,338 "," 1,251 ", -   , 821 , 71 , -   , -   , -   ," 19,235 "," 20,239 "," 1,153 "," (5,389)",
"$100,000 under $200,000",98133," 2,208 "," 1,773 ", 971 ," 5,679 ", 989 ," 287,479 "," 234,030 "," 5,872 "," 4,996 "," 8,697 "," 5,295 "," 4,950 "," 12,054 ", 581 ," 5,246 ", 611 ," 45,612 ", 636 ," 3,579 "," 6,689 "," 11,208 "," 24,384 "," 5,216 "," 216,831 ", 980 , -   , 624 , 133 , -   , -   , 94 ," 38,282 "," 39,911 "," 2,641 "," (6,323)",
"$200,000 or more",98133, 251 , 194 , 178 , 617 , 99 ," 96,621 "," 40,471 "," 3,231 "," 4,275 "," 5,386 "," 17,597 "," 1,445 "," 3,458 ", -   ," 1,313 ", 720 ," 8,382 ", 525 , 710 ," 1,183 "," 2,458 "," 2,716 "," 1,827 "," 85,527 ", 111 , -   , -   , 13 , -   , -   , 531 ," 20,757 "," 21,415 "," 3,164 "," (1,492)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98134, 510 , 65 , 200 , 651 , 64 ," 48,012 "," 24,144 "," 2,026 ", 940 , 442 , 315 , 248 , 315 , 75 , 333 , -   ," 3,361 ", 185 , 126 , 453 , 984 ," 1,256 ", 487 ," 40,332 ", 345 , -   , 19 , -   , 47 , 40 , -   ," 10,666 "," 10,831 ", 279 , (904),
"Under $10,000",98134, 82 , 10 , 33 , 77 , -   , 288 , 264 , 23 , 6 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 17 , 12 , -   , -   , 16 , 9 , (56),
"$10,000 under $25,000",98134, 150 , -   , 52 , 169 , 16 ," 2,709 "," 2,707 ", 9 , -   , 225 , (25), -   , -   , 75 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,274 ", 6 , -   , -   , -   , 30 , 28 , -   , 138 , 169 , 36 , (164),
"$25,000 under $50,000",98134, 141 , 13 , 37 , 180 , 19 ," 5,049 "," 4,457 ", 55 , 69 , 126 , -   , 248 , 211 , -   , 90 , -   , 317 , -   , 20 , 57 , 95 , 242 , 24 ," 3,379 ", 23 , -   , 19 , -   , -   , -   , -   , 432 , 454 , 8 , (195),
"$50,000 under $75,000",98134, 59 , 14 , 26 , 78 , 13 ," 3,530 "," 3,033 ", 38 , 36 , 87 , 30 , -   , 104 , -   , 244 , -   , 597 , -   , 18 , 81 , 120 , 327 , 17 ," 2,591 ", 24 , -   , -   , -   , -   , -   , -   , 420 , 434 , 52 , (118),
"$75,000 under $100,000",98134, 28 , -   , 13 , 41 , -   ," 2,442 "," 2,171 ", 40 , 75 , -   , 27 , -   , -   , -   , -   , -   , -   , -   , 18 , -   , -   , -   , 24 ," 1,973 ", 28 , -   , -   , -   , -   , -   , -   , 353 , 371 , -   , (66),
"$100,000 under $200,000",98134, 25 , 13 , 15 , 52 , 16 ," 3,335 "," 3,032 ", 44 , 68 , -   , -   , -   , -   , -   , -   , -   , 390 , 185 , -   , 55 , 102 , 245 , -   ," 2,675 ", -   , -   , -   , -   , -   , -   , -   , 510 , 510 , 174 , (305),
"$200,000 or more",98134, 25 , 15 , 24 , 54 , -   ," 30,659 "," 8,481 "," 1,816 ", 684 , -   , 283 , -   , -   , -   , -   , -   ," 2,056 ", -   , 69 , 261 , 667 , 442 , 422 ," 28,430 ", 264 , -   , -   , -   , -   , -   , -   ," 8,813 "," 8,876 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98136," 8,180 "," 2,841 "," 3,474 "," 13,502 "," 1,820 "," 680,796 "," 475,128 "," 17,689 "," 18,411 "," 34,870 "," 22,261 "," 11,892 "," 31,689 "," 2,138 "," 12,824 "," 2,921 "," 109,013 "," 1,584 "," 7,534 "," 17,555 "," 27,430 "," 56,045 "," 10,146 "," 507,989 "," 2,371 ", -   , 966 , 176 , 501 , 392 ," 1,128 "," 102,059 "," 107,578 "," 7,728 "," (18,645)",
"Under $10,000",98136, 919 , 65 , 360 , 728 , 56 ," 2,115 "," 3,461 ", 919 , 506 , (242), 39 , 221 , 387 , 50 , -   , -   ," 3,405 ", 12 , 38 , 495 , 595 ," 1,472 ", 47 , 288 , 1 , -   , -   , -   , 126 , 99 , -   , 27 , 177 , 63 , (770),
"$10,000 under $25,000",98136," 1,104 ", 112 , 413 ," 1,369 ", 131 ," 19,625 "," 13,257 "," 1,089 ", 900 ," 1,591 ", 10 , 707 ," 2,335 ", 440 , 211 , -   ," 4,151 ", 12 , 125 , 636 , 790 ," 1,135 ", 281 ," 7,145 ", 65 , -   , 18 , 5 , 297 , 240 , -   , 702 ," 1,002 ", 163 ," (1,252)",
"$25,000 under $50,000",98136," 1,888 ", 244 , 673 ," 2,465 ", 239 ," 70,303 "," 54,726 "," 2,015 "," 1,954 "," 2,970 ", (28)," 1,383 "," 5,866 ", 657 ," 2,039 ", 89 ," 9,041 ", 112 , 401 ," 1,561 "," 2,119 "," 3,752 ", 660 ," 44,358 ", 340 , -   , 178 , 19 , 79 , 54 , -   ," 5,560 "," 6,116 ", 446 ," (2,857)",
"$50,000 under $75,000",98136," 1,323 ", 403 , 541 ," 2,127 ", 272 ," 81,801 "," 62,249 "," 2,403 "," 2,179 "," 3,410 ", 261 ," 1,972 "," 6,237 ", 374 ," 3,331 ", 110 ," 15,031 ", 138 ," 1,021 "," 2,420 "," 3,666 "," 7,418 "," 1,166 "," 55,099 ", 397 , -   , 249 , 20 , -   , -   , -   ," 8,126 "," 8,803 ", 580 ," (2,953)",
"$75,000 under $100,000",98136, 903 , 453 , 393 ," 1,746 ", 255 ," 78,687 "," 61,420 "," 1,976 "," 1,878 "," 3,081 ", 518 ," 1,793 "," 5,044 ", 218 ," 2,573 ", 208 ," 14,870 ", 157 , 913 ," 2,359 "," 3,513 "," 8,285 ", 986 ," 55,299 ", 405 , -   , 261 , 20 , -   , -   , -   ," 8,657 "," 9,204 ", 519 ," (2,639)",
"$100,000 under $200,000",98136," 1,522 "," 1,137 ", 724 ," 3,681 ", 622 ," 210,035 "," 166,693 "," 4,582 "," 4,466 "," 9,565 "," 2,931 "," 3,758 "," 8,978 ", 328 ," 3,632 ", 811 ," 38,613 ", 538 ," 2,751 "," 6,107 "," 9,614 "," 22,427 "," 3,411 "," 156,134 ", 627 , -   , 259 , 88 , -   , -   , 49 ," 28,517 "," 30,104 "," 2,016 "," (5,231)",
"$200,000 or more",98136, 521 , 427 , 370 ," 1,386 ", 245 ," 218,230 "," 113,320 "," 4,705 "," 6,528 "," 14,496 "," 18,531 "," 2,057 "," 2,841 ", 72 ," 1,038 "," 1,704 "," 23,901 ", 615 ," 2,285 "," 3,977 "," 7,132 "," 11,555 "," 3,596 "," 189,667 ", 535 , -   , -   , 25 , -   , -   ," 1,079 "," 50,471 "," 52,174 "," 3,941 "," (2,944)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98138, 351 , 74 , 183 , 595 , 100 ," 30,582 "," 17,254 ", 591 ," 2,126 ", 287 ," 1,339 ", 122 , 810 , 100 , 374 , -   ," 4,576 ", 36 , 153 , 698 ," 1,067 "," 1,567 ", 386 ," 22,968 ", 95 , -   , 69 , -   , 68 , 48 , -   ," 4,917 "," 5,070 ", 193 , (766),
"Under $10,000",98138, 33 , -   , 20 , 30 , -   , 144 , 100 , 5 , 6 , -   , (5), -   , 71 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (15),
"$10,000 under $25,000",98138, 50 , 14 , 32 , 82 , 19 , 880 , 565 , 26 , -   , 182 , -   , -   , -   , -   , -   , -   , 304 , -   , 9 , 42 , 53 , 140 , -   , 232 , -   , -   , -   , -   , 55 , 48 , -   , 21 , 43 , -   , (107),
"$25,000 under $50,000",98138, 115 , -   , 48 , 178 , 34 ," 4,176 "," 3,709 ", 35 , 11 , -   , (6), 122 , 272 , 100 , 161 , -   , 461 , -   , 23 , 51 , 77 , 198 , 25 ," 2,553 ", 45 , -   , 28 , -   , 13 , -   , -   , 290 , 313 , 28 , (199),
"$50,000 under $75,000",98138, 62 , 16 , 24 , 117 , 22 ," 3,885 "," 3,399 ", 17 , -   , 92 , -   , -   , 155 , -   , -   , -   , 593 , -   , 35 , 69 , 114 , 338 , 57 ," 2,638 ", 27 , -   , 24 , -   , -   , -   , -   , 390 , 406 , 17 , (141),
"$75,000 under $100,000",98138, 47 , 18 , 22 , 87 , 14 ," 4,106 "," 3,515 ", 33 , 20 , 13 , -   , -   , 312 , -   , 213 , -   , 673 , 36 , 36 , 111 , 159 , 388 , 61 ," 3,036 ", 15 , -   , 17 , -   , -   , -   , -   , 519 , 561 , -   , (114),
"$100,000 under $200,000",98138, 29 , 26 , 22 , 69 , 11 ," 3,892 "," 3,307 ", 35 , 17 , -   , (14), -   , -   , -   , -   , -   , 884 , -   , 50 , 100 , 178 , 502 , 40 ," 2,753 ", 7 , -   , -   , -   , -   , -   , -   , 502 , 519 , 148 , (189),
"$200,000 or more",98138, 15 , -   , 15 , 32 , -   ," 13,500 "," 2,659 ", 440 ," 2,072 ", -   ," 1,364 ", -   , -   , -   , -   , -   ," 1,660 ", -   , -   , 325 , 487 , -   , 203 ," 11,756 ", -   , -   , -   , -   , -   , -   , -   ," 3,195 "," 3,227 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
