adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
"$25,000 under $50,000",55,122,33,"1,988",36,867,42,151,49,116,21,28,23,*       12,22
"$50,000 or more      ",78,163,26,"14,460",43,"7,170",73,558,76,"3,358",47,268,31,**,50
,,,,,,,,,,,,,,,
98280,215,374,62,"15,076",113,"4,545",165,"2,959",155,"2,612",89,868,74,**,102
"Under $10,000        ",45,57,7,-2,19,100,28,25,**,**,**,**,18,**,**
"$10,000 under $25,000",55,81,8,917,28,396,38,129,*       45,*         30,*       18,*       22,14,--,*       29
"$25,000 under $50,000",43,86,22,"1,569",30,863,31,88,39,97,18,43,15,**,19
"$50,000 or more      ",72,150,25,"12,592",36,"3,186",68,"2,717",71,"2,485",53,803,27,**,54
,,,,,,,,,,,,,,,
98281,640,"1,230",310,"22,270",445,"23,555",394,"2,933",445,"3,957",122,261,150,**,200
"Under $10,000        ",126,160,20,"-10,544",57,523,60,"1,368",**,**,**,**,39,**,15
"$10,000 under $25,000",162,278,64,"2,812",103,"1,823",88,178,*      116,*         92,*       22,*       31,34,--,29
"$25,000 under $50,000",123,261,77,"4,623",90,"3,200",69,190,102,290,21,19,29,**,39
"$50,000 or more      ",229,531,149,"25,379",195,"18,009",177,"1,197",227,"3,575",79,211,48,**,117
,,,,,,,,,,,,,,,
98282,"5,733","11,906","3,396","279,620","4,263","185,217","3,526","8,817","4,522","32,535","2,400","5,550","1,014",46,"2,921"
"Under $10,000        ",930,925,187,"2,678",606,"3,583",398,535,242,51,56,62,129,**,127
"$10,000 under $25,000","1,110","1,792",363,"19,110",683,"10,752",578,"1,330",768,679,201,337,166,*       22,272
"$25,000 under $50,000","1,474","3,147",904,"53,830","1,122","36,020",859,"2,119","1,311","3,448",577,"1,034",258,**,747
"$50,000 or more      ","2,219","6,042","1,942","204,002","1,852","134,862","1,691","4,833","2,201","28,357","1,566","4,117",461,24,"1,775"
,,,,,,,,,,,,,,,
98283,222,445,136,"7,791",197,"6,194",103,146,160,751,33,48,29,12,47
"Under $10,000        ",46,52,15,224,38,186,11,2,12,2,--,--,*       15,--,--
"$10,000 under $25,000",57,118,43,992,51,804,17,33,31,27,**,**,**,*       12,**
"$25,000 under $50,000",63,129,33,"2,275",57,"1,946",32,28,61,173,*       18,*       23,*       14,**,*       25
"$50,000 or more      ",56,146,45,"4,300",51,"3,258",43,83,56,549,15,25,**,**,22
,,,,,,,,,,,,,,,
98284,"9,377","19,249","6,273","340,403","8,045","268,633","4,258","7,162","6,926","33,218","2,410","4,922","1,277",146,"3,105"
"Under $10,000        ","1,832","1,999",531,"4,114","1,471","8,632",531,560,475,86,43,57,206,21,110
"$10,000 under $25,000","2,451","4,256","1,274","41,859","1,933","30,388",834,"1,601","1,614","1,411",231,350,260,29,336
"$25,000 under $50,000","2,630","5,905","2,008","95,986","2,364","78,317","1,207","1,668","2,384","6,411",750,"1,091",388,37,"1,020"
"$50,000 or more      ","2,464","7,089","2,460","198,444","2,277","151,296","1,686","3,333","2,453","25,310","1,386","3,424",423,59,"1,639"
,,,,,,,,,,,,,,,
98286,92,186,41,"7,207",50,"2,300",70,345,71,"1,199",28,229,21,**,32
"Under $10,000        ",17,32,9,82,*       17,*        144,*       18,*       23,**,**,*       11,*       28,**,**,**
"$10,000 under $25,000",15,35,12,238,**,**,**,**,*       14,*          6,**,**,**,**,*       14
"$25,000 under $50,000",26,53,13,"1,013",18,634,23,57,23,70,**,**,*       21,**,**
"$50,000 or more      ",34,66,7,"5,874",15,"1,522",29,265,34,"1,123",17,201,**,**,18
,,,,,,,,,,,,,,,
98287,189,348,84,"8,617",165,"6,108",107,161,157,"1,058",59,113,32,**,75
"Under $10,000        ",30,30,7,133,24,133,12,9,**,**,**,**,**,**,**
"$10,000 under $25,000",39,58,10,684,31,458,15,27,*       40,*         30,**,**,*       21,--,**
"$25,000 under $50,000",61,114,27,"2,204",54,"1,713",34,21,58,164,*       23,*       35,**,--,*       34
"$50,000 or more      ",59,146,40,"5,596",56,"3,804",46,104,59,864,36,78,11,**,41
,,,,,,,,,,,,,,,
98288,193,301,62,"5,999",160,"4,367",83,133,138,629,29,40,29,--,47
"Under $10,000        ",53,47,4,186,40,192,15,21,13,2,**,**,*       13,--,*       13
"$10,000 under $25,000",44,71,15,821,36,512,13,12,33,35,*       16,*       18,**,--,**
"$25,000 under $50,000",59,104,24,"2,049",49,"1,469",32,79,55,158,**,**,*       16,--,15
"$50,000 or more      ",37,79,19,"2,943",35,"2,194",23,21,37,434,13,22,**,--,19
,,,,,,,,,,,,,,,
98290,"12,669","26,728","8,918","683,443","10,967","524,810","7,175","12,680","10,229","85,205","4,930","16,981","2,015",147,"5,919"
"Under $10,000        ","2,088","1,660",327,"5,936","1,588","8,419",739,665,619,127,63,57,222,15,165
"$10,000 under $25,000","2,355","3,511",866,"40,156","1,855","29,205",889,"1,587","1,702","1,643",281,511,273,13,379
"$25,000 under $50,000","2,887","5,827","1,874","105,774","2,522","84,961","1,406","1,996","2,611","7,584",851,"1,365",416,23,"1,124"
"$50,000 or more      ","5,339","15,730","5,851","531,577","5,002","402,225","4,141","8,432","5,297","75,851","3,735","15,048","1,104",96,"4,251"
,,,,,,,,,,,,,,,
98291,878,"1,666",463,"45,611",723,"33,356",514,928,715,"5,858",303,964,169,15,379
"Under $10,000        ",117,94,7,299,79,532,49,57,32,5,**,**,18,**,**
"$10,000 under $25,000",186,277,67,"3,134",132,"2,065",80,103,128,117,*       35,*       44,26,**,*       46
"$25,000 under $50,000",244,441,113,"8,965",211,"7,375",126,174,227,684,69,89,50,*       15,91
"$50,000 or more      ",331,854,276,"33,213",301,"23,384",259,594,328,"5,052",199,831,75,**,242
,,,,,,,,,,,,,,,
98292,"8,953","18,795","5,989","442,234","7,294","321,436","5,290","13,014","7,124","50,676","3,498","8,814","1,397",166,"4,233"
"Under $10,000        ","1,489","1,228",218,"4,069","1,078","5,775",533,726,429,81,51,55,177,13,129
"$10,000 under $25,000","1,738","2,759",658,"29,652","1,209","18,647",800,"1,881","1,222","1,067",279,525,230,28,370
"$25,000 under $50,000","2,109","4,451","1,414","78,021","1,754","58,201","1,147","2,477","1,888","5,421",689,"1,309",315,37,906
"$50,000 or more      ","3,617","10,357","3,699","330,492","3,253","238,813","2,810","7,930","3,585","44,107","2,479","6,925",675,88,"2,828"
,,,,,,,,,,,,,,,
98293,236,432,119,"7,238",200,"5,666",99,190,173,695,44,99,32,**,65
"Under $10,000        ",46,58,14,48,41,194,12,18,13,3,**,**,*       17,--,*       12
"$10,000 under $25,000",71,120,29,"1,158",52,718,26,53,49,39,**,**,**,**,**
"$25,000 under $50,000",78,148,44,"2,756",69,"2,194",32,62,71,209,*       20,*       46,*       15,**,28
"$50,000 or more      ",41,106,32,"3,276",38,"2,560",29,57,40,444,24,53,**,**,25
,,,,,,,,,,,,,,,
98294,"2,549","5,479","1,934","105,309","2,259","87,437",996,"1,696","1,994","11,050",765,"1,493",332,36,"1,062"
"Under $10,000        ",387,426,115,"-1,315",290,"1,503",95,91,94,14,**,**,54,**,24
"$10,000 under $25,000",574,995,317,"10,029",468,"7,693",168,268,399,397,*       68,*      104,69,*       22,93
"$25,000 under $50,000",763,"1,688",638,"28,020",713,"24,528",261,306,681,"1,871",191,213,88,**,309
"$50,000 or more      ",825,"2,370",864,"68,575",788,"53,713",472,"1,031",820,"8,768",506,"1,176",121,14,636
,,,,,,,,,,,,,,,
98295,975,"2,150",750,"30,736",818,"25,131",444,812,687,"2,740",199,543,132,66,248
"Under $10,000        ",215,259,76,"-1,026",167,923,72,80,52,10,**,**,26,*       27,11
"$10,000 under $25,000",250,505,169,"4,272",195,"3,098",91,143,159,137,*       19,*       35,29,**,22
"$25,000 under $50,000",277,697,247,"9,986",248,"8,403",127,182,243,597,58,151,42,16,74
"$50,000 or more      ",233,689,258,"17,504",208,"12,707",154,407,233,"1,996",122,357,35,23,141
,,,,,,,,,,,,,,,
98296,"9,054","20,572","7,277","625,614","8,035","511,580","5,808","8,392","7,573","89,942","4,668","12,469","1,560",67,"5,366"
"Under $10,000        ","1,378",871,161,"1,656","1,056","6,394",537,404,445,102,42,53,135,**,122
"$10,000 under $25,000","1,190","1,738",428,"20,512",924,"15,273",464,616,871,855,159,211,167,*       17,216
"$25,000 under $50,000","1,624","3,142",941,"59,808","1,420","47,743",883,"1,101","1,422","4,304",599,"1,070",274,11,747
"$50,000 or more      ","4,862","14,821","5,747","543,638","4,635","442,170","3,924","6,271","4,835","84,681","3,868","11,135",984,39,"4,281"
,,,,,,,,,,,,,,,
98297,35,68,19,908,22,450,20,84,22,83,**,**,15,**,**
"Under $10,000        ",*       22,*       38,*       11,*        175,*       12,*         89,**,**,**,**,**,**,**,**,**
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,*       15,**,**
"$25,000 under $50,000",*       13,*       30,*        8,*        733,*       10,*        361,*       20,*       84,*       22,*         83,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,--,**
,,,,,,,,,,,,,,,
98300,21,39,11,721,19,620,**,**,13,70,**,**,--,--,**
"Under $10,000        ",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
"$10,000 under $25,000",*       21,*       39,*       11,*        721,*       19,*        620,**,**,*       13,*         70,--,--,--,--,**
"$25,000 under $50,000",**,**,**,**,**,**,--,--,**,**,**,**,--,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
98303,440,852,193,"20,811",264,"11,873",300,759,357,"2,782",165,352,89,**,193
"Under $10,000        ",66,60,8,-281,38,172,31,43,15,6,**,**,**,--,10
"$10,000 under $25,000",106,156,23,"1,799",50,727,66,128,85,71,*       20,*       41,*       29,**,21
"$25,000 under $50,000",106,230,58,"3,938",55,"1,617",72,270,98,265,48,73,17,--,52
"$50,000 or more      ",162,406,104,"15,355",121,"9,357",131,318,159,"2,440",97,238,43,**,110
,,,,,,,,,,,,,,,
98304,372,656,162,"11,946",304,"8,698",172,349,269,"1,131",67,161,56,**,95
"Under $10,000        ",73,86,23,313,55,259,28,21,16,2,**,**,**,--,**
"$10,000 under $25,000",113,180,40,"1,917",93,"1,398",44,70,76,76,**,**,*       21,--,*       20
"$25,000 under $50,000",109,213,56,"3,954",89,"2,868",48,143,100,313,*       28,*       47,20,**,26
"$50,000 or more      ",77,177,43,"5,762",67,"4,173",52,115,77,740,39,114,15,**,49
,,,,,,,,,,,,,,,
98305,199,398,113,"6,647",169,"4,381",99,123,134,703,19,42,35,**,29
"Under $10,000        ",54,59,9,202,43,222,15,20,12,2,**,**,**,**,**
"$10,000 under $25,000",48,86,18,893,39,526,21,37,33,34,**,**,**,--,**
"$25,000 under $50,000",56,141,52,"2,114",50,"1,604",32,36,48,153,**,**,*       22,**,*       19
"$50,000 or more      ",41,112,34,"3,438",37,"2,029",31,30,41,514,*       19,*       42,13,--,10
,,,,,,,,,,,,,,,
98310,"8,617","15,938","4,395","316,920","6,694","224,858","4,189","7,975","6,799","32,241","1,926","4,826",728,**,"2,303"
"Under $10,000        ","1,298","1,428",373,"5,768","1,009","5,306",326,408,326,49,42,48,96,--,71
"$10,000 under $25,000","2,479","3,893","1,001","43,068","1,809","29,203",887,"1,311","1,822","1,704",185,329,149,--,265
"$25,000 under $50,000","2,659","5,112","1,374","95,084","2,027","65,950","1,383","2,414","2,476","7,252",594,"1,049",205,**,743
"$50,000 or more      ","2,181","5,505","1,647","173,000","1,849","124,399","1,593","3,842","2,175","23,236","1,105","3,400",278,**,"1,224"
,,,,,,,,,,,,,,,
98311,"10,161","21,575","7,256","441,441","8,849","355,015","5,498","5,969","8,131","44,998","3,376","7,806","1,039",12,"3,921"
"Under $10,000        ","1,614","1,246",307,"7,517","1,370","6,887",494,258,510,93,33,34,99,**,46
"$10,000 under $25,000","2,121","3,459","1,017","36,919","1,689","27,574",772,889,"1,496","1,411",195,327,145,**,280
"$25,000 under $50,000","2,753","6,198","2,116","102,127","2,340","79,378","1,485","1,486","2,480","6,915",817,"1,228",273,*       12,"1,003"
"$50,000 or more      ","3,673","10,672","3,816","294,878","3,450","241,176","2,747","3,336","3,645","36,579","2,331","6,217",522,**,"2,592"
,,,,,,,,,,,,,,,
98312,"13,020","26,620","8,533","515,913","11,035","401,404","6,057","9,848","9,826","54,507","3,240","7,506","1,319",29,"3,879"
"Under $10,000        ","2,087","2,315",646,"8,540","1,699","8,638",515,728,515,111,42,28,167,**,89
"$10,000 under $25,000","3,439","6,063","1,886","59,767","2,793","46,282","1,039","1,169","2,306","2,142",283,463,244,*       15,398
"$25,000 under $50,000","3,904","8,725","2,903","141,448","3,304","110,900","1,839","2,343","3,439","9,736",865,"1,487",387,**,"1,107"
"$50,000 or more      ","3,590","9,517","3,098","306,158","3,239","235,584","2,664","5,608","3,566","42,518","2,050","5,528",521,14,"2,285"
,,,,,,,,,,,,,,,
98314,75,98,15,"1,450",75,"1,447",**,**,64,88,**,**,--,--,**
"Under $10,000        ",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
"$10,000 under $25,000",*       63,*       73,*        8,*        953,*       63,*        953,**,**,*       53,*         49,--,--,--,--,--
"$25,000 under $50,000",*       12,*       25,*        7,*        497,*       12,*        494,**,**,*       11,*         39,**,**,--,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
98315,"2,138","5,333","1,984","67,578","2,117","66,376",676,166,"1,680","3,941",100,264,111,--,113
"Under $10,000        ",101,62,5,530,93,538,18,7,41,5,**,**,**,--,**
"$10,000 under $25,000",801,"1,321",292,"14,292",799,"14,293",120,11,609,616,**,**,*       21,--,*       13
"$25,000 under $50,000",936,"2,929","1,244","32,791",928,"32,413",351,75,732,"1,407",*       46,*      105,61,--,45
"$50,000 or more      ",300,"1,021",443,"19,965",297,"19,132",187,73,298,"1,913",54,159,29,--,55
,,,,,,,,,,,,,,,
98320,537,"1,019",196,"17,495",313,"8,048",331,935,366,"1,640",122,253,105,**,161
"Under $10,000        ",118,163,22,253,64,317,57,90,13,1,**,**,33,**,13
"$10,000 under $25,000",158,297,60,"2,564",86,"1,298",83,172,101,67,*       28,*       30,26,**,33
"$25,000 under $50,000",147,303,65,"5,499",88,"2,430",95,282,138,400,39,77,18,**,50
"$50,000 or more      ",114,256,49,"9,179",75,"4,003",96,391,114,"1,172",55,146,28,**,65
,,,,,,,,,,,,,,,
98321,"5,791","12,700","4,425","269,858","5,165","226,211","2,812","3,318","4,722","27,408","2,267","4,343",789,77,"2,706"
"Under $10,000        ",839,697,147,"3,272",690,"3,822",221,201,268,52,18,19,72,**,44
"$10,000 under $25,000","1,107","1,701",419,"19,071",877,"14,067",363,614,786,753,141,241,101,*       21,190
"$25,000 under $50,000","1,483","3,189","1,115","54,422","1,336","45,184",639,667,"1,328","3,776",435,582,180,12,575
"$50,000 or more      ","2,362","7,113","2,744","193,093","2,262","163,138","1,589","1,836","2,340","22,827","1,673","3,501",436,44,"1,897"
,,,,,,,,,,,,,,,
98322,407,859,238,"20,196",338,"16,239",244,262,340,"2,196",163,344,75,**,198
"Under $10,000        ",52,49,12,231,36,206,15,11,13,3,*       12,*       12,**,--,**
"$10,000 under $25,000",59,95,23,996,38,574,23,16,42,37,**,**,*       20,--,*       16
"$25,000 under $50,000",115,226,51,"4,184",99,"3,118",61,45,106,305,35,78,23,**,48
"$50,000 or more      ",181,489,152,"14,785",165,"12,341",145,190,179,"1,851",116,254,32,**,134
,,,,,,,,,,,,,,,
98323,292,699,285,"12,198",263,"10,259",134,109,242,"1,124",80,158,32,**,102
"Under $10,000        ",42,37,12,163,37,204,14,9,16,3,**,**,**,--,**
"$10,000 under $25,000",55,94,30,944,39,560,19,31,43,39,**,**,**,--,**
"$25,000 under $50,000",94,225,92,"3,400",88,"2,951",42,42,83,227,*       26,*       48,*       18,--,*       38
"$50,000 or more      ",101,343,151,"7,691",99,"6,544",59,27,100,855,54,110,14,**,64
,,,,,,,,,,,,,,,
98324,377,664,117,"14,912",229,"6,522",251,917,286,"1,695",95,243,74,**,118
"Under $10,000        ",66,89,14,97,38,242,32,26,**,**,*       13,*       30,19,**,**
"$10,000 under $25,000",104,159,24,"1,690",57,849,56,108,*       86,*         56,**,**,15,**,*       21
"$25,000 under $50,000",108,194,41,"3,773",66,"1,824",75,211,102,283,23,63,19,**,32
"$50,000 or more      ",99,222,38,"9,352",68,"3,607",88,572,98,"1,356",59,150,21,**,65
,,,,,,,,,,,,,,,
98325,871,"1,707",467,"30,165",641,"20,126",483,793,643,"3,008",186,318,174,41,240
"Under $10,000        ",189,209,44,204,130,690,77,100,48,7,**,**,39,**,12
"$10,000 under $25,000",235,421,100,"4,020",149,"2,300",113,201,162,132,*       23,*       27,40,*       25,27
"$25,000 under $50,000",234,495,136,"8,319",171,"5,262",129,203,222,595,46,74,52,**,64
"$50,000 or more      ",213,582,187,"17,622",191,"11,874",164,289,211,"2,274",117,217,43,16,137
,,,,,,,,,,,,,,,
98326,296,583,197,"8,684",253,"7,491",131,163,196,822,39,73,37,**,51
"Under $10,000        ",78,86,22,-74,55,241,26,29,14,2,**,**,12,**,*       10
"$10,000 under $25,000",63,115,31,"1,063",49,675,24,26,36,35,**,**,10,**,**
"$25,000 under $50,000",106,237,89,"3,922",101,"3,569",47,25,97,316,*       20,*       33,15,--,18
"$50,000 or more      ",49,145,55,"3,773",48,"3,006",34,83,49,469,19,40,**,**,23
,,,,,,,,,,,,,,,
98327,"1,588","3,542","1,108","87,110","1,448","75,927","1,003","1,094","1,376","9,812",712,"1,602",165,**,842
"Under $10,000        ",138,114,25,187,103,758,40,44,37,9,**,**,14,--,17
"$10,000 under $25,000",184,323,87,"3,414",149,"2,714",81,79,129,136,*       27,*       40,16,--,28
"$25,000 under $50,000",454,934,280,"16,875",420,"14,811",261,228,401,"1,190",159,251,39,--,201
"$50,000 or more      ",812,"2,171",716,"66,634",776,"57,644",621,743,809,"8,477",526,"1,311",96,**,596
,,,,,,,,,,,,,,,
98328,"3,706","8,045","2,695","157,885","3,147","123,564","1,801","3,831","2,820","16,784","1,164","2,792",564,127,"1,487"
"Under $10,000        ",706,734,184,"1,750",533,"2,741",244,244,169,43,24,28,84,26,60
"$10,000 under $25,000",772,"1,331",369,"13,366",600,"9,459",256,462,532,473,78,156,105,18,118
"$25,000 under $50,000",975,"2,246",759,"35,943",850,"28,071",445,564,880,"2,391",273,477,159,23,385
"$50,000 or more      ","1,253","3,734","1,383","106,826","1,164","83,293",856,"2,561","1,239","13,877",789,"2,131",216,60,924
,,,,,,,,,,,,,,,
98329,"3,251","7,117","2,458","149,255","2,826","120,054","1,534","2,115","2,536","16,543","1,176","2,533",484,23,"1,437"
"Under $10,000        ",556,515,118,176,439,"2,218",155,195,142,30,25,16,75,**,53
"$10,000 under $25,000",617,"1,043",296,"10,630",490,"7,630",217,279,422,391,75,85,77,**,104
"$25,000 under $50,000",878,"2,062",753,"32,568",780,"26,638",368,438,781,"2,053",292,388,139,**,380
"$50,000 or more      ","1,200","3,497","1,291","105,881","1,117","83,568",794,"1,203","1,191","14,069",784,"2,044",193,*       23,900
,,,,,,,,,,,,,,,
98330,106,239,85,"3,408",78,"2,197",41,79,72,283,19,66,22,**,28
"Under $10,000        ",19,24,4,107,10,52,*       12,*       23,**,**,--,--,*       11,--,--
"$10,000 under $25,000",35,78,31,554,28,446,**,**,*       23,*         14,**,**,**,**,**
"$25,000 under $50,000",34,92,36,"1,280",25,870,16,53,31,77,*       19,*       66,*       11,**,*       16
"$50,000 or more      ",18,45,14,"1,467",15,829,13,3,18,192,**,**,**,--,12
,,,,,,,,,,,,,,,
98331,"2,074","4,345","1,447","68,103","1,813","56,540",900,"1,215","1,460","6,561",246,735,335,27,325
"Under $10,000        ",488,545,145,240,377,"1,955",131,141,125,29,**,**,59,16,15
"$10,000 under $25,000",520,983,307,"8,894",432,"6,523",152,251,323,289,*       39,*       93,81,--,48
"$25,000 under $50,000",570,"1,345",479,"21,101",528,"17,755",257,345,517,"1,502",62,145,99,**,91
"$50,000 or more      ",496,"1,472",516,"37,868",476,"30,307",360,478,495,"4,741",145,497,96,11,171
,,,,,,,,,,,,,,,
98332,"5,618","11,664","3,478","426,255","4,361","278,107","3,621","12,638","4,536","75,541","2,601","9,066",987,20,"2,911"
"Under $10,000        ",982,776,158,"1,259",697,"3,733",398,490,284,78,45,55,105,**,99
"$10,000 under $25,000",930,"1,337",221,"15,944",581,"9,175",456,"1,000",675,608,158,305,135,**,211
"$25,000 under $50,000","1,071","2,139",582,"39,640",818,"26,864",614,"1,277",970,"2,820",405,694,186,**,473
"$50,000 or more      ","2,635","7,412","2,517","369,412","2,265","238,335","2,153","9,871","2,607","72,035","1,993","8,012",561,*       20,"2,128"
,,,,,,,,,,,,,,,
98333,"1,451","3,207","1,017","134,901","1,138","96,253","1,015","3,040","1,185","29,779",757,"2,300",290,**,849
"Under $10,000        ",226,185,42,"-5,731",157,941,91,99,58,10,**,**,36,--,31
"$10,000 under $25,000",187,278,61,"3,172",113,"1,680",96,329,128,116,*       45,*       59,29,--,49
"$25,000 under $50,000",232,437,102,"8,553",162,"5,284",154,378,206,567,98,180,40,**,114
"$50,000 or more      ",806,"2,307",812,"128,907",706,"88,348",674,"2,234",793,"29,086",614,"2,061",185,**,655
,,,,,,,,,,,,,,,
98335,"11,653","24,063","7,412","773,096","9,097","537,233","7,489","24,309","9,405","120,914","5,268","25,347","2,021",34,"5,885"
"Under $10,000        ","2,083","1,539",256,"-8,004","1,401","8,852",906,"3,085",632,145,79,88,240,*       11,199
"$10,000 under $25,000","1,903","2,739",554,"32,392","1,297","20,133",901,"1,719","1,368","1,234",318,507,271,**,398
"$25,000 under $50,000","2,271","4,562","1,307","84,719","1,727","57,526","1,322","2,911","2,060","6,033",795,"1,619",370,**,937
"$50,000 or more      ","5,396","15,223","5,295","663,989","4,672","450,722","4,360","16,594","5,345","113,502","4,076","23,133","1,140",23,"4,351"
,,,,,,,,,,,,,,,
98336,344,737,231,"10,036",286,"8,288",157,162,234,733,43,73,41,12,68
"Under $10,000        ",75,106,26,321,57,283,19,11,12,1,--,--,**,--,--
"$10,000 under $25,000",109,200,53,"1,827",84,"1,313",45,34,70,51,**,**,*       29,*       12,14
"$25,000 under $50,000",99,249,84,"3,826",88,"3,149",51,101,91,269,*       22,*       44,**,**,27
"$50,000 or more      ",61,182,68,"4,062",57,"3,543",42,16,61,412,21,29,12,**,27
,,,,,,,,,,,,,,,
98337,"2,887","5,121","1,519","93,410","2,530","75,622","1,018","1,647","2,214","9,463",457,912,229,**,570
"Under $10,000        ",507,630,189,"2,070",426,"2,233",84,66,122,25,**,**,42,**,17
"$10,000 under $25,000",966,"1,533",436,"16,575",821,"13,200",214,205,743,691,*       52,*       58,56,--,63
"$25,000 under $50,000",839,"1,607",486,"29,971",747,"25,225",345,527,774,"2,346",174,235,62,--,222
"$50,000 or more      ",575,"1,351",408,"44,794",536,"34,964",375,849,575,"6,401",231,619,69,**,268
,,,,,,,,,,,,,,,
98338,"8,844","19,566","6,746","406,943","7,835","334,442","4,164","5,064","7,072","42,042","3,353","6,686","1,182",115,"4,058"
"Under $10,000        ","1,313","1,269",341,"5,453","1,057","5,743",339,318,369,73,45,41,151,13,101
"$10,000 under $25,000","1,760","2,887",799,"30,443","1,406","22,440",581,718,"1,207","1,140",183,294,174,14,265
"$25,000 under $50,000","2,374","5,417","1,926","87,785","2,129","72,221",999,"1,086","2,129","5,681",793,"1,180",315,26,"1,008"
"$50,000 or more      ","3,397","9,993","3,680","283,262","3,243","234,038","2,245","2,942","3,367","35,148","2,332","5,171",542,62,"2,684"
,,,,,,,,,,,,,,,
98339,"1,648","3,249","1,002","54,720","1,319","38,179",734,"1,696","1,196","5,151",323,632,257,**,435
"Under $10,000        ",336,395,100,841,241,"1,308",89,177,87,12,**,**,50,--,21
"$10,000 under $25,000",493,858,249,"8,464",369,"5,779",181,328,336,275,*       49,*       72,78,**,66
"$25,000 under $50,000",464,"1,048",358,"16,903",408,"12,603",210,450,420,"1,166",114,170,63,--,153
"$50,000 or more      ",355,948,295,"28,512",301,"18,489",254,741,353,"3,698",160,390,66,**,195
,,,,,,,,,,,,,,,
98340,"1,004","1,967",426,"54,999",670,"30,336",709,"3,217",799,"7,026",466,"1,085",192,12,537
"Under $10,000        ",132,131,20,-171,73,464,70,97,16,2,**,**,25,**,24
"$10,000 under $25,000",188,319,63,"3,241",104,"1,597",109,304,122,99,*       52,*      100,32,--,60
"$25,000 under $50,000",251,477,95,"9,233",168,"5,429",165,385,229,637,119,189,56,*       12,135
"$50,000 or more      ",433,"1,040",248,"42,696",325,"22,846",365,"2,431",432,"6,288",295,796,79,**,318
,,,,,,,,,,,,,,,
98342,648,"1,267",359,"33,956",488,"23,950",424,"1,185",491,"4,719",257,526,160,**,304
"Under $10,000        ",116,99,19,-721,74,326,54,65,21,6,**,**,27,--,**
"$10,000 under $25,000",131,217,62,"2,260",82,"1,279",60,90,79,66,*       32,*       47,37,**,*       47
"$25,000 under $50,000",137,278,86,"5,087",108,"3,743",88,158,128,367,52,55,29,--,64
"$50,000 or more      ",264,673,192,"27,330",224,"18,602",222,872,263,"4,280",173,424,67,**,193
,,,,,,,,,,,,,,,
98343,116,234,57,"5,563",83,"2,252",66,349,83,716,23,153,24,**,32
"Under $10,000        ",21,27,4,80,13,65,11,39,**,**,**,**,*       12,**,**
"$10,000 under $25,000",39,81,24,641,27,388,19,68,*       30,*         20,*       12,*       22,**,--,*       21
"$25,000 under $50,000",31,64,13,"1,115",23,690,18,60,29,76,**,**,*       12,**,**
"$50,000 or more      ",25,62,16,"3,727",20,"1,109",18,182,24,620,11,131,**,**,11
,,,,,,,,,,,,,,,
98344,237,492,156,"10,310",210,"8,531",106,123,181,"1,039",87,175,28,**,100
"Under $10,000        ",42,42,12,212,31,141,**,**,10,2,**,**,*       17,**,**
"$10,000 under $25,000",49,85,23,855,39,576,*       25,*       20,33,26,**,**,**,--,**
"$25,000 under $50,000",62,144,54,"2,271",59,"2,068",26,4,55,137,*       29,*       38,**,**,*       37
"$50,000 or more      ",84,221,67,"6,972",81,"5,746",55,99,83,874,58,137,11,**,63
,,,,,,,,,,,,,,,
98345,475,925,255,"24,413",402,"19,007",295,407,408,"2,983",169,392,74,**,187
"Under $10,000        ",53,49,11,277,45,251,16,19,15,3,**,**,**,--,**
"$10,000 under $25,000",84,123,25,"1,516",62,961,40,121,62,62,*       16,*       26,*       19,--,*       17
"$25,000 under $50,000",122,208,43,"4,524",94,"3,288",72,62,116,378,34,77,12,--,44
"$50,000 or more      ",216,545,176,"18,096",201,"14,507",167,205,215,"2,540",119,289,43,**,126
,,,,,,,,,,,,,,,
98346,"4,004","8,289","2,609","195,804","3,260","138,741","2,151","4,020","3,109","23,452","1,504","3,433",698,28,"1,792"
"Under $10,000        ",697,648,143,"2,043",499,"2,425",219,189,163,32,22,21,91,**,48
"$10,000 under $25,000",814,"1,386",404,"14,000",610,"9,518",294,427,563,492,117,135,123,*       13,159
"$25,000 under $50,000","1,013","2,179",695,"37,570",846,"28,543",513,646,916,"2,579",344,517,164,**,435
"$50,000 or more      ","1,480","4,076","1,367","142,191","1,305","98,255","1,125","2,758","1,467","20,349","1,021","2,760",320,15,"1,150"
,,,,,,,,,,,,,,,
98348,16,31,9,621,14,527,**,**,15,61,**,**,**,--,**
