zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
98237,"$100,000 under $200,000",98,91,67,261,69,13332,86,9055,70,216,29,165,27,127,**,**,**,28,602,**,**,34,1012,**,**,**,**,0,0,67,1705,0,0,59,148,63,177,67,406,61,889,53,107,98,10289,42,67,**,**,20,35,**,**,0,0,0,0,0,0,0,0,98,1784,98,1883,34,322,60,248
98237,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98239,,"3,249","1,684","1,452","6,245","1,355","195,429","2,225","104,151","1,940","6,564","1,164","5,330","1,010","3,687",574,"7,056",28,840,"8,306",433,"8,636","1,236","34,282",171,"1,330",842,"10,512",41,612,"1,426","35,485",54,259,"1,115","2,383","1,354","4,516","1,414","7,701","1,165","15,353","1,126","5,794","2,605","126,333","1,004","1,246",179,213,387,511,75,35,222,319,323,538,267,486,51,276,"2,374","19,970","2,506","21,217",654,"2,595","2,276","6,268"
98239,"$1 under $25,000",1040,220,387,1400,232,12829,630,7212,450,828,271,758,229,439,162,649,**,194,-67,105,665,286,2969,53,358,88,119,**,**,201,3725,**,**,155,121,168,508,195,664,127,1232,128,224,454,2780,117,31,**,**,**,**,**,**,95,105,223,368,182,334,0,0,380,256,478,395,117,55,740,1201
98239,"$25,000 under $50,000",795,358,354,1579,388,29393,568,18475,419,962,215,822,188,512,129,1139,28,169,39,83,946,271,5647,51,435,240,1506,**,**,306,5536,29,48,231,303,285,771,303,1187,238,2602,214,413,747,13995,288,229,59,37,150,137,39,15,103,177,100,170,85,152,0,0,625,1435,651,1654,127,159,637,1684
98239,"$50,000 under $75,000",528,348,257,1133,253,32466,371,18570,349,889,218,755,184,440,108,995,**,137,125,79,1217,243,7261,32,280,187,2569,**,**,281,5638,**,**,230,379,270,718,280,1195,237,2729,225,702,522,20048,208,250,34,35,103,160,**,**,24,37,0,0,0,0,0,0,501,2494,505,2676,127,273,376,1138
98239,"$75,000 under $100,000",409,338,182,957,210,35359,298,18947,313,1112,190,823,170,509,67,968,**,137,483,72,1940,204,7615,35,257,164,3154,**,**,268,6547,**,**,222,547,265,855,267,1482,232,3199,225,720,406,23660,187,264,37,61,83,139,36,20,**,**,0,0,0,0,**,**,394,3059,397,3260,97,250,287,965
98239,"$100,000 under $200,000",391,346,207,973,229,50510,295,28750,327,1311,204,1136,182,870,83,1891,**,147,905,94,3868,201,9027,**,**,140,2680,41,612,293,8523,25,211,217,726,290,1162,292,2190,272,4163,260,1147,390,37239,163,199,49,80,51,75,**,**,0,0,0,0,0,0,**,**,388,6236,389,6559,151,643,207,998
98239,"$200,000 or more",86,74,65,203,43,34872,63,12197,82,1462,66,1036,57,917,25,1414,0,56,6821,**,**,31,1763,**,**,23,484,**,**,77,5516,**,**,60,307,76,502,77,983,59,1428,74,2588,86,28611,41,273,**,**,0,0,**,**,0,0,0,0,0,0,51,276,86,6490,86,6673,35,1215,29,282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98240,,"1,483",713,716,"3,047",873,"73,820","1,243","53,928",686,"1,314",266,852,222,547,224,"2,203",43,172,"1,911",113,"1,560",289,"5,758",170,"1,504",204,"1,881",0,0,481,"10,098",0,0,379,680,450,"1,381",476,"2,261",411,"4,966",338,"1,145","1,165","46,197",484,692,62,51,277,357,25,11,177,259,198,406,167,353,0,0,"1,029","6,728","1,106","7,153",251,676,"1,161","3,126"
98240,"$1 under $25,000",538,91,222,733,175,6503,406,4600,168,268,66,64,51,31,70,527,23,38,-34,28,162,69,674,53,372,20,22,0,0,57,957,0,0,37,25,48,133,54,171,37,342,34,47,237,1483,66,19,**,**,**,**,0,0,80,96,137,299,122,268,0,0,200,137,249,225,65,48,426,767
98240,"$25,000 under $50,000",387,168,196,844,242,13984,332,10490,154,281,58,189,47,80,53,477,**,42,-38,38,465,76,1181,55,531,73,406,0,0,89,1568,0,0,66,68,82,209,89,294,73,755,53,111,371,6768,146,118,28,21,107,86,25,11,77,137,61,107,45,85,0,0,296,703,320,824,52,84,329,812
98240,"$50,000 under $75,000",245,181,130,602,175,15137,215,11498,143,191,52,112,43,70,39,203,**,25,1,22,401,68,1703,29,281,54,648,0,0,122,2387,0,0,99,178,113,307,120,524,113,1330,85,174,244,9225,103,173,**,**,72,122,**,**,20,26,0,0,0,0,0,0,226,1091,230,1154,53,103,184,609
98240,"$75,000 under $100,000",173,146,86,472,153,14887,162,12054,114,139,31,16,24,10,32,852,20,23,1,25,532,43,1234,33,320,37,443,0,0,109,2359,0,0,88,168,105,311,109,513,101,1242,80,256,173,10065,94,183,34,30,60,100,**,**,**,**,0,0,0,0,0,0,167,1284,167,1363,40,116,131,443
98240,"$100,000 under $200,000",140,127,82,396,128,23309,128,15286,107,435,59,471,57,356,30,144,**,44,1981,**,**,33,966,**,**,20,362,0,0,104,2827,0,0,89,241,102,421,104,759,87,1297,86,557,140,18656,75,199,**,**,38,49,**,**,0,0,0,0,0,0,0,0,140,3513,140,3587,41,325,91,495
98240,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98241,,994,416,491,"1,987",592,"40,426",822,"30,794",390,476,128,336,103,262,105,561,0,85,79,62,717,213,"3,195",260,"2,103",115,980,0,0,279,"5,004",0,0,227,326,264,613,272,993,252,"2,807",164,271,790,"23,691",298,348,43,37,184,228,37,10,128,145,187,344,169,322,0,0,705,"3,062",741,"3,229",150,230,805,"2,135"
98241,"$1 under $25,000",384,69,179,582,153,4967,269,3059,113,113,35,45,26,30,37,155,0,27,-31,39,313,84,857,78,588,**,**,0,0,37,607,0,0,27,23,32,69,35,96,29,281,20,26,192,1188,43,12,**,**,**,**,**,**,68,61,124,240,112,227,0,0,166,116,192,151,35,21,321,599
98241,"$25,000 under $50,000",305,118,148,633,203,11178,263,8384,115,149,34,42,47,24,31,101,0,33,27,**,**,66,1026,104,964,71,347,0,0,94,1583,0,0,75,87,94,189,94,281,88,953,49,76,293,5600,113,96,**,**,93,78,**,**,60,84,63,104,57,95,0,0,245,597,254,626,41,41,260,789
98241,"$50,000 under $75,000",162,103,87,395,128,10043,157,8384,74,59,24,14,**,**,37,305,0,**,**,23,404,28,543,47,335,21,237,0,0,68,1195,0,0,55,80,61,126,64,222,62,676,40,47,162,6402,72,131,43,37,50,86,37,10,**,**,0,0,0,0,0,0,152,785,153,815,28,37,133,426
98241,"$75,000 under $100,000",97,82,49,264,85,8146,90,6570,52,39,35,235,30,208,**,**,0,25,83,**,**,35,769,31,216,23,396,0,0,47,892,0,0,42,65,46,112,47,189,45,552,29,61,97,5712,46,79,**,**,41,64,**,**,**,**,0,0,0,0,0,0,96,738,96,775,46,131,64,210
98241,"$100,000 under $200,000",46,44,28,113,23,6092,43,4397,36,116,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,33,727,0,0,28,71,31,117,32,205,28,345,26,61,46,4789,24,30,**,**,**,**,**,**,0,0,0,0,0,0,0,0,46,826,46,862,**,**,27,111
98241,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98244,,"1,204",520,553,"2,360",659,"54,315",984,"39,759",537,955,228,582,194,400,236,"2,355",38,171,"1,058",75,939,190,"3,929",154,"1,412",144,"1,425",0,0,318,"6,458",0,0,249,385,296,821,306,"1,275",276,"3,156",199,376,928,"33,667",353,389,55,49,193,233,0,0,148,191,235,397,190,333,0,0,820,"4,838",918,"5,272",241,847,906,"2,448"
98244,"$1 under $25,000",468,79,176,649,146,5757,348,3738,160,216,63,128,51,81,88,616,**,44,-29,36,284,43,418,56,518,**,**,0,0,47,768,0,0,38,31,44,101,45,135,37,403,**,**,221,1329,45,14,**,**,**,**,0,0,64,66,163,271,136,226,0,0,190,128,254,242,78,57,349,605
98244,"$25,000 under $50,000",337,144,148,730,244,12000,281,9061,124,191,57,92,47,53,60,673,38,33,-11,**,**,54,964,49,489,71,325,0,0,68,1137,0,0,55,54,64,158,67,223,60,619,57,79,312,5873,139,120,32,25,96,83,0,0,84,125,72,126,54,107,0,0,242,604,274,732,48,76,281,823
98244,"$50,000 under $75,000",192,123,99,438,115,12066,169,9117,114,155,41,100,36,57,39,337,**,37,135,39,655,47,1013,29,260,35,467,0,0,78,1336,0,0,55,86,71,172,75,279,70,725,51,80,191,7923,81,107,**,**,52,78,0,0,**,**,0,0,0,0,0,0,186,1004,188,1067,33,77,156,446
98244,"$75,000 under $100,000",109,92,68,287,81,9325,95,7120,75,278,27,77,23,54,21,417,**,23,211,**,**,24,642,20,145,38,633,0,0,59,1256,0,0,50,83,58,174,58,267,52,653,43,69,108,6472,50,94,23,24,45,72,0,0,**,**,0,0,0,0,0,0,106,813,106,876,29,74,77,324
98244,"$100,000 under $200,000",98,82,62,256,73,15167,91,10723,64,115,40,185,37,155,28,312,**,34,752,**,**,22,892,**,**,**,**,0,0,66,1961,0,0,51,131,59,216,61,371,57,756,48,148,96,12070,38,54,**,**,**,**,0,0,**,**,0,0,0,0,0,0,96,2289,96,2355,53,563,43,250
98244,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98245,,"1,890",757,905,"3,396",811,"124,121","1,326","59,768","1,020","10,381",595,"7,152",511,"5,590",536,"8,020",28,498,"12,716",183,"3,647",353,"10,575",123,"1,019",338,"4,211",0,0,719,"24,626",48,917,555,944,663,"3,132",713,"5,425",547,"8,962",565,"3,895","1,401","82,957",490,602,59,60,205,240,40,18,172,215,293,456,204,333,58,513,"1,260","15,959","1,432","17,313",434,"2,174","1,232","3,892"
98245,"$1 under $25,000",801,124,292,1074,226,9440,524,6353,307,650,167,459,150,309,222,1595,28,129,-98,38,294,91,929,46,377,33,36,0,0,118,2307,**,**,89,61,104,333,117,435,84,892,87,125,362,2181,63,18,**,**,25,9,**,**,102,120,231,378,166,280,**,**,307,207,438,478,124,88,565,1092
98245,"$25,000 under $50,000",432,161,209,816,211,15688,322,10136,225,715,117,507,99,319,118,1424,**,91,139,39,486,80,1355,40,384,101,704,0,0,161,3428,25,212,132,126,141,435,157,573,115,1462,111,240,390,7365,130,103,35,31,62,61,**,**,70,95,62,78,38,53,**,**,333,787,367,1078,96,197,310,823
98245,"$50,000 under $75,000",255,158,123,560,146,15703,196,9854,157,485,88,626,74,377,85,1055,**,75,215,31,360,63,1737,37,258,72,918,0,0,142,3574,**,**,121,205,127,428,141,696,114,1643,111,227,251,9048,108,123,**,**,57,79,40,18,**,**,0,0,0,0,0,0,230,1106,235,1274,61,140,174,479
98245,"$75,000 under $100,000",147,114,99,343,83,12727,106,6660,103,477,67,467,59,333,46,664,**,69,878,29,804,37,1708,**,**,46,799,0,0,90,2180,**,**,70,130,88,346,90,541,70,987,70,209,147,8626,73,102,**,**,33,55,**,**,**,**,0,0,0,0,**,**,142,1059,142,1201,41,144,86,392
98245,"$100,000 under $200,000",172,138,112,416,103,22993,126,11232,150,632,96,766,81,584,40,2012,**,74,984,46,1703,61,3350,**,**,61,1206,0,0,134,4718,**,**,97,213,129,609,134,1212,112,2288,118,599,170,16350,82,112,24,29,28,36,**,**,**,**,0,0,0,0,**,**,166,2823,168,3130,72,526,97,1106
98245,"$200,000 or more",83,62,70,187,42,47570,52,15533,78,7422,60,4327,48,3668,25,1270,**,60,10598,**,**,21,1496,**,**,25,548,0,0,74,8419,23,705,46,209,74,981,74,1968,52,1690,68,2495,81,39387,34,144,**,**,0,0,**,**,0,0,0,0,0,0,58,513,82,9977,82,10152,40,1079,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98247,,"3,677","1,817","1,871","8,345","2,815","173,748","3,219","127,708","1,595","3,787",619,"1,620",510,"1,154",508,"4,904",121,462,"6,531",238,"3,225",475,"9,566",433,"3,150",364,"3,595",0,0,"1,101","24,008",26,86,897,"1,670","1,044","3,091","1,089","5,077",967,"11,203",787,"4,035","2,844","103,155","1,347","1,813",175,167,830,"1,124",87,40,588,883,577,"1,242",501,"1,083",38,97,"2,441","14,204","2,624","15,368",587,"1,824","2,904","7,990"
98247,"$1 under $25,000",1407,264,612,2161,618,17416,1160,13974,416,451,150,252,126,113,158,1176,26,101,49,60,383,120,995,122,741,39,69,0,0,106,2036,**,**,76,50,91,204,103,269,70,873,50,129,641,3742,173,61,**,**,60,20,25,16,287,367,385,893,338,789,0,0,527,340,656,563,140,84,1145,2090
98247,"$25,000 under $50,000",978,452,516,2406,838,35477,867,28506,364,658,118,221,97,109,124,1123,26,95,238,55,539,118,2126,141,1135,142,812,0,0,256,4626,26,86,202,246,239,601,253,909,222,2280,161,499,912,16010,443,387,51,38,292,277,**,**,245,435,192,349,163,294,**,**,687,1554,726,1800,126,164,836,2406
98247,"$50,000 under $75,000",633,502,342,1794,644,39021,578,31990,341,748,132,219,99,140,122,731,26,96,376,58,909,85,1935,92,702,90,1192,0,0,302,5557,**,**,239,373,286,760,298,1200,275,3038,220,521,632,23220,365,584,54,48,250,419,21,8,56,81,0,0,0,0,**,**,580,2469,593,2670,133,232,487,1574
98247,"$75,000 under $100,000",361,323,209,1048,354,30690,331,24762,238,512,91,200,77,166,53,977,22,61,143,45,903,79,1652,78,572,50,804,0,0,208,4377,**,**,184,428,201,574,206,1043,197,2288,153,436,361,20618,196,364,30,26,141,256,20,8,**,**,0,0,0,0,**,**,355,2520,356,2727,86,194,261,940
98247,"$100,000 under $200,000",261,243,159,828,323,33589,252,25784,205,627,108,300,111,626,51,897,21,80,968,20,491,73,2858,**,**,43,718,0,0,197,5306,**,**,168,467,195,723,197,1295,183,2462,174,1008,261,24487,170,417,40,55,87,152,21,8,**,**,0,0,0,0,38,97,257,3757,257,3914,79,320,175,980
98247,"$200,000 or more",37,33,33,108,38,17555,31,2692,31,791,20,428,**,**,**,**,**,29,4757,**,**,**,**,**,**,**,**,0,0,32,2106,**,**,28,106,32,229,32,361,20,262,29,1442,37,15078,**,**,**,**,0,0,**,**,0,0,0,0,0,0,**,**,35,3564,36,3694,23,830,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98248,,"9,701","4,750","4,489","21,022","6,870","514,409","8,258","381,511","4,504","9,320","1,900","8,345","1,645","6,550","1,341","13,327",151,"1,335","10,005",788,"13,101","1,703","32,563","1,062","8,709","1,158","12,135",33,476,"3,392","74,572",82,288,"2,715","5,050","3,209","9,358","3,366","15,621","3,033","37,514","2,574","9,338","7,693","324,308","3,563","4,862",498,434,"2,062","2,788",309,160,"1,182","1,662","1,514","3,086","1,301","2,651",93,349,"6,849","48,402","7,337","51,402","1,545","5,612","7,581","21,725"
98248,"$1 under $25,000",3478,636,1410,4949,1292,42873,2691,31008,1035,1363,433,885,358,493,371,2392,30,312,-300,222,1368,484,4339,353,2451,154,215,0,0,306,5772,20,26,229,189,258,669,295,908,223,2149,183,358,1623,9829,394,132,**,**,141,47,**,**,563,648,972,2132,869,1904,0,0,1367,918,1668,1360,343,158,2758,4962
98248,"$25,000 under $50,000",2373,976,1094,5216,1790,86007,2063,66875,960,1537,368,716,318,409,339,2998,29,266,-69,189,1886,406,6757,300,2838,388,2279,**,**,668,11868,**,**,522,595,615,1470,660,2240,565,5966,456,1052,2233,41266,1024,856,93,57,616,577,87,41,476,766,542,954,432,747,**,**,1791,4206,1946,4861,329,402,2003,5484
98248,"$50,000 under $75,000",1572,1094,781,4117,1406,97109,1392,76129,880,1702,328,925,281,545,247,2346,35,228,430,146,2346,316,7179,199,1681,284,3712,**,**,755,14252,24,64,609,890,717,1851,752,2925,689,7776,557,1446,1562,59130,840,1263,129,104,570,924,74,39,118,183,0,0,0,0,**,**,1443,6818,1470,7397,315,716,1209,3878
98248,"$75,000 under $100,000",1091,944,522,3105,1048,94149,999,76589,727,1086,300,579,261,338,174,1545,22,206,215,113,2101,229,6198,115,940,176,3195,33,476,717,15583,**,**,578,1122,696,1960,714,3302,677,8392,582,1760,1088,62866,622,1170,116,114,429,756,70,38,25,65,0,0,0,0,**,**,1064,7793,1069,8181,192,472,856,3143
98248,"$100,000 under $200,000",1037,963,558,3195,1181,131949,984,107689,771,1666,378,1157,341,901,177,2410,35,253,1956,118,5400,235,6483,95,799,128,2176,**,**,815,20723,38,198,665,1657,796,2657,814,4768,774,11368,680,2653,1037,96889,605,1199,135,128,306,484,78,42,**,**,0,0,0,0,35,61,1034,15254,1034,15787,294,1167,703,3244
98248,"$200,000 or more",150,137,124,440,153,62322,129,23221,131,1966,93,4083,86,3864,33,1636,**,70,7773,**,**,33,1607,**,**,28,558,**,**,131,6374,**,**,112,597,127,751,131,1478,105,1863,116,2069,150,54328,78,242,25,31,0,0,**,**,0,0,0,0,0,0,58,288,150,13413,150,13816,72,2697,52,1014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98249,,"2,480","1,248","1,230","4,594",962,"160,345","1,617","81,477","1,461","5,071",981,"6,749",847,"4,296",592,"11,581",0,728,"4,989",379,"7,981",791,"20,574",157,"1,340",625,"8,191",42,"1,932","1,180","31,182",47,212,888,"2,148","1,108","4,748","1,165","7,895",952,"13,575",968,"3,613","1,918","106,438",739,786,133,130,273,356,35,18,147,186,232,355,161,275,61,266,"1,773","18,931","1,940","20,718",592,"2,201","1,539","4,477"
98249,"$1 under $25,000",838,187,359,1106,179,9854,465,5046,394,788,267,843,221,483,173,1119,0,188,-300,91,569,200,1776,52,384,58,120,**,**,183,3788,25,55,131,118,158,551,175,761,119,1401,129,207,332,1806,73,21,**,**,**,**,**,**,76,90,177,271,122,213,0,0,277,162,394,373,128,66,514,795
98249,"$25,000 under $50,000",557,227,253,995,213,20443,374,11420,284,613,166,573,149,362,126,1374,0,132,197,83,984,195,3873,44,411,176,1160,**,**,231,4568,**,**,182,268,212,630,228,964,182,1961,179,356,513,9839,169,127,24,16,95,81,**,**,71,96,55,84,39,62,**,**,450,1045,485,1302,127,182,397,925
98249,"$50,000 under $75,000",379,246,193,814,187,23430,267,13305,238,694,157,630,138,412,102,1215,0,113,224,72,1371,141,3710,35,361,148,2172,**,**,234,5111,**,**,174,282,221,741,231,1119,200,2497,186,458,374,13856,164,187,22,24,79,114,35,18,**,**,0,0,0,0,0,0,353,1672,364,1913,106,201,249,851
98249,"$75,000 under $100,000",287,224,158,674,161,24763,208,13809,207,605,130,704,110,475,73,1365,0,95,257,57,1596,108,3629,26,184,100,1890,**,**,189,4473,**,**,139,311,183,714,189,1156,156,2121,161,435,284,16717,119,177,29,24,60,109,**,**,**,**,0,0,0,0,**,**,279,2229,281,2488,86,327,178,652
98249,"$100,000 under $200,000",331,287,197,813,195,44353,246,25552,253,1416,188,1014,164,680,88,2968,0,133,1199,76,3461,122,5654,**,**,106,2102,42,1932,267,8365,22,157,206,712,259,1221,266,2246,231,3944,238,944,327,32353,159,191,58,66,39,52,**,**,**,**,0,0,0,0,**,**,326,5510,328,5970,110,626,176,869
98249,"$200,000 or more",88,77,70,192,27,37502,57,12345,85,955,73,2985,65,1884,30,3540,0,67,3412,**,**,25,1932,**,**,37,747,**,**,76,4877,**,**,56,457,75,891,76,1649,64,1651,75,1213,88,31867,55,83,**,**,0,0,0,0,0,0,0,0,0,0,61,266,88,8313,88,8672,35,799,25,385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98250,,"4,019","1,688","2,252","7,080","1,550","321,412","2,820","120,057","2,151","11,811","1,436","17,397","1,243","12,515",991,"14,080",56,"1,157","77,026",400,"10,622",915,"27,780",238,"1,590",825,"11,182",30,347,"1,638","59,994",93,"1,474","1,314","2,790","1,509","7,730","1,622","13,082","1,229","18,606","1,278","16,648","3,083","225,868","1,160","1,734",159,202,447,521,88,45,329,402,481,813,365,635,110,942,"2,811","39,791","3,149","42,681",951,"4,568","2,572","9,242"
98250,"$1 under $25,000",1499,233,715,1921,380,17667,987,11541,561,942,348,982,294,561,374,2990,29,269,-195,66,503,188,1744,104,679,64,118,**,**,268,5616,**,**,208,127,227,811,259,941,173,2080,173,244,661,4013,134,42,**,**,49,15,**,**,184,202,374,638,287,514,0,0,566,380,812,886,244,177,1020,1730
98250,"$25,000 under $50,000",952,331,493,1682,390,34529,735,23312,427,1366,267,1399,231,892,218,2799,**,208,37,68,887,179,3014,72,433,187,1208,**,**,315,6465,**,**,269,332,284,1028,311,1446,234,2755,210,428,879,17589,293,230,30,21,149,142,28,16,105,147,107,175,78,121,0,0,763,1905,831,2424,196,341,684,1638
98250,"$50,000 under $75,000",629,377,375,1335,326,38392,457,21615,405,1784,262,1483,223,1022,166,1938,**,210,522,87,1480,205,5763,31,256,221,3107,30,347,342,8139,43,147,274,392,319,1223,341,1815,265,3650,273,677,614,22791,276,318,46,34,118,171,36,17,40,53,0,0,0,0,**,**,572,2734,591,3139,170,393,406,1333
98250,"$75,000 under $100,000",375,285,242,867,207,32398,282,18855,270,796,170,1171,152,639,96,1312,27,129,883,64,1332,124,4654,31,222,116,2111,**,**,249,6287,**,**,210,459,241,891,248,1497,211,3051,202,510,372,21639,181,237,34,27,83,134,24,12,**,**,0,0,0,0,0,0,361,2847,363,3122,127,384,219,878
98250,"$100,000 under $200,000",391,325,281,899,181,51125,257,20367,322,2135,246,3309,212,2455,86,2127,**,204,1914,90,4427,161,8426,**,**,164,3106,**,**,306,10168,22,129,240,689,287,1627,305,2699,245,4295,269,1253,388,36773,177,231,29,83,48,59,**,**,**,**,0,0,0,0,**,**,378,5954,381,6356,148,851,185,1316
98250,"$200,000 or more",173,137,146,376,66,147301,102,24367,166,4788,143,9053,131,6946,51,2914,**,137,73865,25,1993,58,4179,**,**,73,1532,**,**,158,23319,28,1198,113,791,151,2150,158,4684,101,2775,151,13536,169,123063,99,676,20,37,0,0,**,**,0,0,0,0,0,0,110,942,171,25971,171,26754,66,2422,58,2347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251,,"2,000",862,897,"4,121","1,287","89,394","1,754","74,856",678,450,247,358,196,211,231,"1,697",0,139,337,108,820,325,"5,290",345,"3,318",171,"1,662",0,0,768,"14,357",0,0,606,931,728,"1,739",758,"2,848",712,"8,604",471,820,"1,575","52,685",621,767,86,71,421,561,43,21,220,299,319,602,272,513,0,0,"1,424","6,940","1,503","7,349",241,538,"1,688","4,374"
98251,"$1 under $25,000",708,130,274,1048,265,8792,551,6223,162,102,64,99,47,54,73,407,0,40,-7,36,198,96,852,107,932,20,24,0,0,78,1230,0,0,55,35,66,152,76,195,62,594,42,43,309,1948,71,24,**,**,24,10,**,**,110,135,214,451,188,397,0,0,260,186,324,276,60,38,592,1096
98251,"$25,000 under $50,000",564,199,278,1164,388,21186,505,16886,160,89,52,79,48,38,53,578,0,34,-20,35,266,75,1326,120,1315,70,467,0,0,213,3314,0,0,157,174,201,417,209,632,194,1942,114,155,538,10751,196,172,29,20,131,128,**,**,88,131,105,151,84,116,0,0,459,1169,472,1279,57,122,498,1251
98251,"$50,000 under $75,000",376,233,183,933,313,23212,357,19777,160,92,49,30,37,18,59,427,0,22,19,37,356,71,1330,73,692,47,642,0,0,218,3895,0,0,179,253,209,494,215,789,207,2449,136,259,376,14319,179,284,26,23,139,223,43,21,22,33,0,0,0,0,0,0,357,1729,359,1818,51,68,322,1006
98251,"$75,000 under $100,000",215,178,85,605,209,18406,207,16451,108,69,39,28,28,13,46,285,0,22,17,**,**,54,1103,45,379,34,529,0,0,143,3023,0,0,116,223,138,336,143,598,135,1844,95,180,215,12360,113,199,31,28,93,152,**,**,**,**,0,0,0,0,0,0,211,1592,211,1637,32,50,181,639
98251,"$100,000 under $200,000",137,122,77,371,112,17798,134,15519,88,98,43,122,36,88,**,**,0,21,328,**,**,29,679,**,**,**,**,0,0,116,2895,0,0,99,246,114,340,115,634,114,1775,84,183,137,13307,62,88,**,**,34,48,**,**,0,0,0,0,0,0,0,0,137,2264,137,2339,41,260,95,382
