adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$25,000 under $50,000",1511,3670,1746,52180,1439,48137,361,476,143,374,129,334,99,1161,0,0,33,108,14,117,144,5341,2417,82,3086,192,136,5081,426,0,0,1476,3815,1081,3451,53,60,412
"$50,000 under $75,000",410,741,214,24686,366,20657,199,504,103,559,89,549,47,609,0,0,13,58,*,*,136,8354,2709,100,6119,226,134,8228,569,*,*,404,2939,397,2949,0,0,164
"$75,000 under $100,000",196,313,45,16844,170,13462,125,364,83,487,83,429,28,712,*,*,*,*,*,*,94,8118,1976,69,5966,217,93,8032,561,0,0,195,2365,194,2477,0,0,91
"$100,000 or more     ",482,873,162,262440,345,67617,431,11733,359,20040,367,118956,116,9094,*,*,18,84,50,1444,379,231968,54550,334,184737,25291,376,231178,6841,118,1129,480,45225,480,45837,0,0,366
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98105,15226,23780,4495,1328557,12961,723041,7986,44392,5727,82832,4865,229964,2360,66876,17,-157,388,1406,429,8792,4921,1018961,164262,4363,976262,40712,4869,1008593,48501,693,3412,12310,231546,12128,235849,875,718,5438
"Under $10,000        ",3706,4002,183,8850,2935,16640,1136,792,845,900,663,796,317,23,0,0,24,54,*,*,118,636,1320,50,285,43,149,-5860,660,0,0,1142,230,1311,423,574,273,941
"$10,000 under $25,000",3527,4123,358,60176,3146,52194,1108,1029,623,1286,515,984,312,2414,*,*,58,156,11,47,290,5226,3954,179,3283,270,256,4647,1049,0,0,3264,3322,2989,3333,240,391,915
"$25,000 under $50,000",2869,3781,459,102904,2562,86515,1369,1859,790,2262,614,2126,407,4294,0,0,108,348,28,227,627,24295,10026,518,20197,886,606,23537,2585,0,0,2818,9262,2747,9458,61,54,871
"$50,000 under $75,000",1400,2287,419,85850,1157,64949,1011,1932,658,2583,524,1445,240,4695,0,0,50,196,40,404,739,46027,13693,662,41297,1561,725,45192,3810,*,*,1381,9635,1375,10051,0,0,536
"$75,000 under $100,000",922,1992,532,79651,801,60308,775,1822,559,2475,480,2437,220,3437,0,0,51,211,29,226,665,57674,15495,603,52339,1505,660,57241,4531,12,11,914,9125,909,9219,0,0,428
"$100,000 or more     ",2802,7595,2544,991126,2360,442435,2587,36958,2252,73326,2069,222176,864,52013,17,-157,97,441,321,7888,2482,885103,119774,2351,858861,36447,2473,883836,35866,681,3401,2791,199972,2797,203365,0,0,1747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98106,9757,18426,5862,382215,8814,332458,3569,3452,1541,2169,1252,7565,1351,11745,0,0,229,673,47,281,3159,197195,51428,2561,167421,4422,3139,194233,12241,46,123,7938,37748,7552,37302,1578,2785,4795
"Under $10,000        ",1467,2178,595,5720,1174,6665,265,131,122,104,114,-31,256,280,0,0,*,*,*,*,48,264,657,30,176,22,71,-427,193,0,0,250,34,425,179,600,739,799
"$10,000 under $25,000",2427,4262,1478,42472,2099,35877,510,487,192,295,140,55,328,2583,0,0,34,87,0,0,261,4712,3398,181,3282,198,256,4622,714,0,0,1887,1666,1678,1875,684,1763,1306
"$25,000 under $50,000",3129,5779,1903,114126,2939,103582,1065,805,389,439,309,525,348,3333,0,0,103,291,*,*,1026,39531,14095,779,30128,908,1008,38825,3209,0,0,3072,9053,2763,8576,294,283,1430
"$50,000 under $75,000",1563,3246,967,95045,1481,84300,892,749,382,433,298,933,221,2768,0,0,56,174,36,199,950,58175,15211,788,48378,1175,939,57493,3552,*,*,1558,9978,1521,9662,0,0,673
"$75,000 under $100,000",728,1808,570,62313,704,55614,487,361,249,324,211,742,102,1492,0,0,24,77,*,*,526,45240,9904,465,40029,962,518,44564,2405,14,22,728,7165,723,7007,0,0,361
"$100,000 or more     ",443,1153,349,62539,417,46420,350,919,207,574,180,5341,96,1289,0,0,12,44,11,82,348,49273,8163,318,45428,1157,347,49156,2168,32,101,443,9852,442,10003,0,0,226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98107,11191,16484,2600,626407,9675,459794,5631,11879,3576,13219,3006,41247,1924,30179,*,*,427,1373,215,2667,3420,363171,67235,2924,325095,7911,3396,357738,18438,148,596,9898,89438,9856,92527,709,672,4194
"Under $10,000        ",1393,1606,143,3044,972,5990,462,636,292,396,266,569,274,134,0,0,14,30,0,0,72,438,986,45,290,43,101,-2254,360,0,0,326,69,495,281,408,235,518
"$10,000 under $25,000",2382,2844,290,41868,1985,33625,788,1083,424,652,344,338,369,3444,0,0,66,192,14,44,199,3558,2973,146,2623,209,189,3392,556,0,0,2197,2173,2066,2532,222,373,783
"$25,000 under $50,000",3468,4439,520,125885,3136,108513,1455,1665,815,1618,651,1431,437,5888,0,0,162,442,32,205,642,25099,9356,517,20335,745,620,24256,2276,*,*,3435,11857,3365,12332,79,64,1096
"$50,000 under $75,000",1666,2677,453,101733,1511,84479,1044,1409,654,1805,533,2275,312,5118,0,0,75,263,31,250,781,48732,12912,658,41151,1105,772,48180,3352,*,*,1660,11904,1651,12281,0,0,630
"$75,000 under $100,000",939,1828,393,81393,870,68094,714,945,471,1237,389,2364,207,4952,*,*,38,139,39,437,621,54162,12140,532,46516,1138,613,53455,3146,*,*,938,10362,937,10733,0,0,396
"$100,000 or more     ",1343,3090,801,272484,1201,159093,1168,6141,920,7511,823,34270,325,10643,*,*,72,307,99,1731,1105,231182,28868,1026,214180,4671,1101,230709,8748,148,596,1342,53073,1342,54368,0,0,771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98108,9411,18428,6010,368043,8232,291301,4085,7155,1693,5164,1417,17206,1176,10809,*,*,254,967,50,371,2517,175562,45538,1974,146305,4531,2488,172874,10784,40,126,7328,39433,6893,39109,1764,3134,5483
"Under $10,000        ",1612,2316,521,5129,1244,7484,388,458,160,142,142,70,251,480,0,0,*,*,0,0,69,393,1065,31,176,34,79,-643,243,*,*,294,46,476,289,615,680,944
"$10,000 under $25,000",2650,4907,1686,46494,2293,39659,836,971,250,378,198,12,291,2246,0,0,50,160,*,*,286,5314,3880,176,3306,253,275,5106,744,0,0,1968,1703,1747,1835,786,2055,1660
"$25,000 under $50,000",2937,6016,2179,103609,2699,91910,1290,1231,460,709,372,455,322,3017,0,0,109,392,14,65,837,31068,12276,639,24021,889,823,30549,2840,0,0,2859,7458,2491,7063,363,399,1675
"$50,000 under $75,000",1218,2763,899,74242,1099,62550,798,1384,341,816,274,349,155,1968,*,*,61,256,25,198,647,39863,11462,536,33086,1072,636,39192,2949,*,*,1215,7462,1186,7147,0,0,652
"$75,000 under $100,000",539,1304,397,46223,498,38854,387,548,222,642,176,796,79,1291,0,0,16,76,*,*,358,30595,6895,305,26162,734,355,30341,1743,*,*,537,5395,538,5333,0,0,269
"$100,000 or more     ",455,1122,328,92346,399,50844,386,2563,260,2477,255,15524,78,1807,*,*,18,83,11,108,320,68329,9960,287,59554,1549,320,68329,2265,40,126,455,17369,455,17442,0,0,283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98109,10919,14880,1820,962538,9317,560197,5632,38553,3792,37268,3366,178901,1682,38215,*,*,304,989,216,3696,3650,652970,128660,3068,558231,18283,3613,644736,28143,340,1459,9711,160514,9731,163258,496,343,4449
"Under $10,000        ",1276,1429,93,-2379,854,5438,463,481,320,610,301,143,248,193,*,*,19,55,0,0,77,464,1348,43,267,52,109,-3610,483,0,0,300,59,453,257,331,150,538
"$10,000 under $25,000",2017,2290,156,35462,1672,28729,684,1042,394,873,322,623,293,2877,0,0,41,105,13,39,217,3898,3578,166,3012,224,204,3684,655,0,0,1853,1897,1740,2108,136,172,686
"$25,000 under $50,000",3245,3775,279,119047,2966,105272,1271,1608,718,1585,587,1337,345,3303,0,0,115,326,20,166,627,24354,9545,481,18810,791,606,23579,2185,0,0,3197,11745,3176,12031,29,21,1002
"$50,000 under $75,000",1647,2157,195,100309,1464,83213,957,1774,584,2018,499,1637,219,3435,0,0,41,117,20,220,691,42894,11469,559,34786,897,674,41865,2784,13,7,1634,12931,1634,13364,0,0,655
"$75,000 under $100,000",879,1382,215,75914,778,60480,638,1223,451,1530,387,2289,150,4128,0,0,25,96,27,272,514,44741,10855,429,37357,1200,505,43947,2714,*,*,875,10575,876,11083,0,0,372
"$100,000 or more     ",1855,3847,882,634185,1583,277065,1619,32425,1325,30652,1270,172872,427,24279,*,*,63,290,136,2999,1524,536619,91865,1390,463999,15119,1515,535271,19322,327,1452,1852,123307,1852,124415,0,0,1196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98110,10489,22569,6661,1357517,7631,647054,7355,33243,5587,74126,5120,302160,2618,79304,72,-695,527,2221,460,8064,5946,1172925,184898,5466,1125324,37394,6001,1160775,55318,743,3979,8799,236008,8877,246337,441,551,5421
"Under $10,000        ",1790,2110,184,-5381,1091,6235,775,1353,690,1092,649,572,266,-667,*,*,18,51,*,*,119,650,2129,72,403,73,210,-8900,1084,0,0,536,84,685,332,214,147,780
"$10,000 under $25,000",1361,1917,325,23206,873,13262,698,1369,534,1628,441,1057,281,2527,17,-87,36,119,17,80,329,5779,5999,271,4794,399,320,5621,1466,*,*,1065,879,1077,1265,177,359,604
"$25,000 under $50,000",1531,2636,610,56847,1060,34186,947,2333,647,2787,572,1602,354,5327,*,*,100,354,20,121,681,26200,13037,581,22410,1098,675,25987,3191,*,*,1439,3898,1394,4458,50,45,748
"$50,000 under $75,000",1272,2811,839,78746,934,48331,948,2118,661,3384,577,3171,340,7004,15,-74,87,384,43,476,858,53622,18194,763,47707,1848,849,53100,4905,*,*,1245,6987,1215,7519,0,0,644
"$75,000 under $100,000",1110,2911,961,96926,865,62193,892,2796,640,3521,561,3589,326,6790,*,*,80,349,42,454,866,75916,21318,808,70856,2169,863,75681,5925,19,22,1094,9698,1090,10076,0,0,541
"$100,000 or more     ",3425,10184,3742,1107173,2808,482847,3095,23274,2415,61714,2320,292169,1051,58323,40,-534,206,964,338,6933,3093,1010758,124221,2971,979154,31807,3084,1009286,38747,724,3957,3420,214462,3416,222687,0,0,2104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98111,1119,1613,296,279582,842,45004,568,15572,405,32480,370,167469,147,11385,*,*,27,97,*,*,380,215136,36984,242,191530,5182,359,214346,18595,43,1227,925,36876,927,36579,109,90,573
"Under $10,000        ",172,200,20,679,105,553,59,114,49,130,47,-68,26,-31,0,0,0,0,0,0,24,140,502,*,*,*,22,8,47,0,0,30,3,48,86,67,29,101
"$10,000 under $25,000",244,313,51,4118,167,2758,98,267,64,423,59,87,28,139,0,0,*,*,0,0,52,885,1072,19,281,39,38,640,83,*,*,205,174,200,210,42,61,132
"$25,000 under $50,000",320,446,87,11311,274,9586,125,268,72,683,68,223,22,44,0,0,15,35,0,0,61,2266,1282,33,1265,45,60,2225,150,*,*,314,1026,301,1022,*,*,145
"$50,000 under $75,000",149,221,47,9047,136,7786,90,272,57,291,45,148,22,115,0,0,*,*,0,0,66,4103,1615,45,2827,78,65,4030,240,0,0,146,1112,148,1240,0,0,66
"$75,000 under $100,000",70,115,20,6032,55,4481,49,261,33,402,21,215,17,346,0,0,12,62,*,*,42,3647,1197,30,2595,101,41,3562,203,*,*,68,765,68,804,0,0,35
"$100,000 or more     ",164,318,71,248395,105,19840,147,14390,130,30551,130,166864,32,10772,*,*,*,*,*,*,135,204095,31316,115,184562,4919,133,203881,17872,43,1227,162,33796,162,33217,0,0,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98112,11132,18315,3754,1658693,8574,820295,7123,68665,5824,148505,5214,371147,2331,76133,25,-582,381,1453,514,9605,5063,1411270,223417,4561,1359296,71269,5052,1392040,66286,961,5687,9583,317916,9579,322425,519,410,5588
"Under $10,000        ",1757,1932,110,-10811,1029,6520,758,1434,754,2223,642,1550,245,818,0,0,11,22,*,*,109,628,2210,66,396,73,145,-15811,1208,10,9,516,100,653,548,348,170,850
"$10,000 under $25,000",1773,2072,183,30563,1365,22158,735,1134,543,1583,428,905,292,2682,0,0,35,99,24,100,264,4626,4711,199,3480,335,247,4327,1036,0,0,1568,1517,1474,1800,128,209,687
"$25,000 under $50,000",2252,2850,332,82455,1900,65159,1070,1905,695,3391,585,2872,332,3435,0,0,104,327,32,178,557,21332,10189,448,17140,972,544,20825,2869,0,0,2194,7505,2156,7811,43,31,787
"$50,000 under $75,000",1293,1938,320,79440,1023,55425,906,2391,626,3476,553,2969,259,5210,*,*,65,208,43,408,663,41335,14218,577,35990,1635,656,40912,3922,*,*,1266,9012,1254,9594,0,0,593
"$75,000 under $100,000",823,1471,298,71552,669,49829,659,1763,521,3118,442,3558,214,4512,*,*,40,160,47,504,574,50146,13760,504,44035,1621,572,49963,4150,18,19,816,8853,817,9347,0,0,408
"$100,000 or more     ",3234,8052,2511,1405494,2588,621204,2995,60038,2685,134714,2564,359293,989,59476,25,-582,126,637,368,8415,2896,1293203,178329,2767,1258255,66633,2888,1291824,53101,933,5659,3223,290929,3225,293325,0,0,2263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98113,165,244,39,8697,126,5308,92,145,45,90,47,490,47,395,0,0,0,0,*,*,45,4217,858,37,3764,85,45,4213,229,*,*,136,1179,145,1252,12,7,92
"Under $10,000        ",24,34,7,99,15,57,11,16,12,3,*,*,11,59,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,*,*,12,9,12,7,14
"$10,000 under $25,000",39,43,4,674,26,429,17,9,*,*,15,-4,13,162,0,0,0,0,0,0,*,*,*,12,348,10,*,*,*,0,0,36,36,35,76,*,*,17
"$25,000 under $50,000",48,71,13,1810,40,1491,23,18,21,53,11,10,10,130,0,0,0,0,*,*,18,611,298,*,*,*,17,524,46,0,0,46,160,44,175,0,0,25
"$50,000 under $75,000",20,32,5,1295,17,1059,12,8,*,*,11,-4,*,*,0,0,0,0,0,0,15,1074,284,14,1003,19,16,1157,75,0,0,20,145,20,146,0,0,21
"$75,000 under $100,000",15,27,3,1315,13,880,12,47,12,34,*,*,13,44,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,15,180,15,179,0,0,*
"$100,000 or more     ",19,37,7,3504,15,1392,17,47,*,*,10,488,*,*,0,0,0,0,*,*,12,2532,276,11,2413,56,12,2532,108,*,*,19,658,19,667,0,0,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98114,238,383,98,9452,197,7029,100,82,50,378,44,913,30,37,0,0,0,0,0,0,69,5306,1748,55,4319,79,68,5115,326,*,*,172,961,178,982,39,42,139
"Under $10,000        ",49,67,13,126,30,257,14,11,11,16,10,-22,15,48,0,0,0,0,0,0,12,198,210,*,*,*,14,165,30,0,0,0,0,14,8,22,16,29
"$10,000 under $25,000",69,95,22,1212,61,1111,19,8,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,58,53,54,58,17,26,47
"$25,000 under $50,000",61,99,26,2110,56,1974,30,26,17,59,23,19,15,-11,0,0,0,0,0,0,21,771,470,25,764,25,18,649,57,0,0,57,154,52,143,*,*,31
"$50,000 under $75,000",29,57,19,1771,26,1426,26,25,10,9,*,*,*,*,0,0,0,0,0,0,22,1553,469,18,1247,21,22,1517,110,0,0,28,176,28,168,0,0,22
"$75,000 under $100,000",14,30,8,1184,13,1122,*,*,*,*,*,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,14,140,14,133,0,0,*
"$100,000 or more     ",16,35,10,3049,11,1139,11,12,12,294,11,916,*,*,0,0,0,0,0,0,14,2784,599,12,2308,33,14,2784,129,*,*,15,438,16,472,0,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98115,23605,40815,8833,1788771,19265,1221359,15182,41480,11031,64582,9309,159903,4166,94390,30,-143,854,3143,724,10460,10714,1284554,236100,9532,1202930,34417,10657,1273841,69337,757,2960,20614,273164,20403,281716,986,883,9206
"Under $10,000        ",3395,3796,228,7537,2262,13202,1410,1266,1098,1152,932,829,399,32,*,*,25,55,*,*,176,964,2394,113,673,109,242,-2338,802,0,0,983,156,1206,460,589,302,1087
"$10,000 under $25,000",3806,4608,449,66348,2917,48120,1685,2777,1085,2332,859,1158,499,4096,*,*,88,262,16,105,624,11164,9555,470,8425,722,598,10702,2203,0,0,3349,3216,3115,3513,285,487,1227
"$25,000 under $50,000",5287,7233,1022,194911,4432,153249,2793,4313,1754,4304,1396,2969,705,9173,0,0,246,832,60,426,1584,61454,23872,1302,50741,2289,1543,59902,6197,0,0,5190,17166,5039,17734,112,94,1781
"$50,000 under $75,000",3471,5968,1260,214360,2944,164618,2549,4882,1695,5713,1373,4430,628,10983,*,*,177,659,90,771,2037,127258,34895,1762,110160,3411,2014,125856,9677,*,*,3457,23764,3417,24357,0,0,1419
"$75,000 under $100,000",2446,5407,1430,212510,2136,163611,2033,4114,1483,5923,1233,5680,536,10339,*,*,108,381,90,830,1802,157316,35671,1636,142759,3936,1788,156056,10124,23,47,2438,24956,2429,25226,0,0,989
"$100,000 or more     ",5200,13803,4444,1093105,4574,678559,4712,24128,3916,45158,3516,144837,1399,59767,30,-143,210,954,468,8328,4491,926398,129713,4249,890172,23950,4472,923663,40334,734,2913,5197,203906,5197,210426,0,0,2703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98116,11966,19594,3741,909427,9711,609638,7158,20769,4860,24037,4142,105041,2029,46748,12,-27,359,1350,283,4740,5504,654885,127176,4875,610257,17171,5498,640561,37133,347,1166,10561,138356,10600,142330,514,507,5367
"Under $10,000        ",1385,1597,118,-5476,847,5027,594,733,411,668,363,953,269,-734,*,*,*,*,13,31,87,499,1418,55,317,49,145,-10013,624,0,0,324,51,499,266,298,169,607
"$10,000 under $25,000",1822,2207,210,31942,1315,22204,735,1207,438,1003,350,344,274,2405,*,*,42,118,*,*,319,5753,4963,248,4548,360,305,5527,1183,0,0,1582,1498,1521,1778,153,283,748
"$25,000 under $50,000",3060,4121,594,113351,2581,90815,1381,2243,806,2223,655,1242,371,4615,0,0,100,315,26,146,913,35339,15214,748,28993,1353,892,34553,3777,0,0,2973,10038,2927,10415,63,55,1103
"$50,000 under $75,000",2033,3302,622,125250,1754,97895,1319,2607,838,2430,673,2531,332,5493,12,-27,74,233,40,276,1168,73299,21129,1005,63209,1883,1153,72350,5654,*,*,2020,14032,2003,14464,0,0,882
"$75,000 under $100,000",1277,2667,652,110816,1120,86726,995,2050,683,2183,584,3193,226,4846,0,0,46,194,31,265,933,81115,19816,862,75032,1953,929,80746,5553,18,23,1273,13277,1266,13437,0,0,605
"$100,000 or more     ",2389,5700,1545,533544,2094,306971,2134,11929,1684,15530,1517,96778,557,30123,*,*,97,490,173,4022,2084,458880,64636,1957,438158,11573,2074,457398,20342,329,1143,2389,99460,2384,101970,0,0,1422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98117,15926,27981,6194,1064691,13256,765970,9819,20239,6512,26992,5454,74424,2983,63921,*,*,579,2004,407,5968,7637,770233,156524,6700,706792,18049,7615,758459,44340,332,930,13937,147162,13902,152321,851,934,6950
"Under $10,000        ",1993,2360,226,-1150,1333,8219,774,942,539,685,467,142,321,483,*,*,*,*,*,*,145,905,2319,99,630,80,207,-6135,744,0,0,496,82,711,310,441,301,790
"$10,000 under $25,000",2680,3454,470,46838,1984,32868,1103,1840,636,1371,490,514,405,3595,*,*,66,175,29,129,442,7940,7061,328,5929,469,430,7739,1482,0,0,2287,2125,2199,2553,280,519,1103
"$25,000 under $50,000",3820,5481,950,140678,3278,113251,1932,2831,1137,2587,895,1449,602,8581,0,0,184,589,49,332,1260,48908,19753,1000,38844,1562,1229,47706,5119,*,*,3731,11988,3615,12720,130,114,1458
"$50,000 under $75,000",2620,4826,1122,161513,2292,128133,1849,2795,1146,2990,938,3027,506,9097,0,0,128,459,47,365,1690,105455,28484,1479,92572,2577,1668,104090,7835,*,*,2611,17126,2575,17538,0,0,1128
"$75,000 under $100,000",1818,4141,1140,157161,1671,129051,1460,2265,991,2899,784,3081,400,8296,*,*,83,297,55,553,1435,124610,28482,1305,113371,2623,1425,123744,7782,13,21,1817,18028,1811,18166,0,0,818
"$100,000 or more     ",2995,7719,2286,559651,2698,354448,2701,9566,2063,16460,1880,66211,749,33869,*,*,118,484,227,4589,2665,482415,70425,2489,455446,10738,2656,481315,21378,319,909,2995,97813,2991,101034,0,0,1653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98118,18938,37096,12282,877909,16501,651437,7977,14930,3802,13466,3157,55139,2764,35607,*,*,436,1512,190,2571,6232,540193,125272,5358,493427,16933,6192,531356,31368,216,817,14820,106673,14076,107572,3634,6477,11353
"Under $10,000        ",3295,4718,1167,8709,2585,14387,696,610,358,366,311,296,520,1000,0,0,20,62,10,38,115,632,1668,60,314,58,160,-3835,559,0,0,591,100,982,499,1390,1597,2010
"$10,000 under $25,000",4934,8995,3193,86251,4209,71704,1383,1217,429,656,317,309,631,5012,*,*,76,222,*,*,596,11064,8748,430,7933,639,587,10919,1861,0,0,3702,3069,3244,3489,1576,4194,3268
"$25,000 under $50,000",5549,11061,3966,199063,5045,172804,2177,2170,846,1643,659,934,636,6700,0,0,157,465,44,217,1793,68382,28278,1465,56079,2668,1748,66708,6336,*,*,5385,14361,4757,13512,668,686,3257
"$50,000 under $75,000",2413,5374,1763,147537,2208,123123,1493,2251,667,1738,542,1620,374,4238,0,0,90,335,22,154,1475,90854,26828,1306,80507,2759,1458,89819,6346,*,*,2398,14441,2353,13853,0,0,1294
"$75,000 under $100,000",1185,2929,941,102187,1083,82920,863,1625,511,1555,407,1868,234,3609,0,0,36,138,22,234,895,77423,19185,814,70511,2370,887,76753,4578,16,9,1182,11325,1179,11174,0,0,594
"$100,000 or more     ",1562,4019,1252,334162,1371,186499,1365,7057,991,7508,921,50112,369,15048,0,0,57,290,92,1928,1358,291838,40565,1283,278083,8439,1352,290992,11688,200,808,1562,63377,1561,65045,0,0,930
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98119,10886,15662,2212,958027,9061,575093,5947,32667,4274,40692,3773,158083,1841,47794,*,*,351,1204,302,5408,4117,697932,118122,3514,655677,25723,4081,691696,30755,389,2100,9587,162987,9594,167897,498,333,4567
"Under $10,000        ",1443,1592,85,672,942,5578,564,1106,468,697,425,377,221,591,*,*,10,24,11,27,141,619,1951,61,263,56,160,-2635,635,0,0,391,64,511,269,329,149,604
"$10,000 under $25,000",1968,2242,149,34542,1558,26551,700,1194,452,1207,377,628,310,2394,0,0,49,124,*,*,278,4850,4798,180,3294,312,261,4593,747,*,*,1782,1811,1705,2072,135,156,701
"$25,000 under $50,000",3033,3613,272,111583,2717,96018,1254,1795,753,2078,624,2136,377,4437,0,0,121,351,24,163,640,24993,10021,502,19731,847,623,24367,2224,14,8,2990,10768,2961,11157,34,28,898
"$50,000 under $75,000",1512,2120,249,92487,1318,74339,939,1491,618,1827,504,1944,230,3832,0,0,53,164,24,170,727,45055,13042,623,38728,1140,711,44098,3215,*,*,1501,11254,1494,11637,0,0,634
"$75,000 under $100,000",865,1427,223,74758,754,58566,657,1601,444,2052,398,2211,182,3873,0,0,26,86,35,367,557,48564,11444,499,43635,1235,554,48302,3154,10,12,863,9967,861,10371,0,0,393
"$100,000 or more     ",2065,4668,1234,643985,1772,314041,1833,25480,1539,32831,1445,150787,521,32667,*,*,92,455,208,4681,1774,573851,76866,1649,550026,22133,1772,572971,20780,365,2080,2060,129123,2062,132391,0,0,1337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98121,6379,7904,555,765527,5687,447927,3033,26081,2028,39170,1902,165697,813,33377,*,*,141,491,110,2431,2113,557138,88041,1715,490148,26919,2099,548407,17968,207,1822,5700,152155,5681,153959,358,197,2624
"Under $10,000        ",813,891,40,-6021,636,4844,208,1256,126,430,120,496,118,-422,0,0,16,41,0,0,32,210,738,15,107,14,64,-4598,297,0,0,216,47,291,160,260,90,349
"$10,000 under $25,000",1134,1262,81,20029,1015,17546,276,333,151,284,138,195,115,841,0,0,*,*,12,59,95,1701,1314,59,1075,80,93,1664,254,0,0,1068,1125,988,1195,79,98,395
"$25,000 under $50,000",1517,1736,125,55850,1416,50496,507,726,273,589,251,394,147,2224,0,0,58,169,*,*,295,11489,4042,213,8429,327,284,11067,1022,0,0,1505,5638,1496,5854,19,9,502
"$50,000 under $75,000",1008,1190,59,61665,937,55414,525,868,311,996,282,707,94,1575,0,0,16,48,14,143,430,26571,7135,337,20964,742,414,25618,1650,*,*,1007,8227,1004,8432,0,0,377
"$75,000 under $100,000",705,874,45,60967,661,53671,492,859,324,695,309,1642,84,1704,0,0,17,62,*,*,353,30599,6444,287,24862,608,344,29826,1663,*,*,704,9618,704,9889,0,0,267
"$100,000 or more     ",1202,1951,205,573037,1022,265956,1025,22039,843,36176,802,162263,255,27455,*,*,34,171,84,2229,908,486568,68368,804,434711,25148,900,484830,13082,207,1822,1200,127500,1198,128429,0,0,734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98122,15370,21784,3944,919845,13790,658241,6294,14484,3945,26745,3437,117411,2361,43815,*,*,360,1143,257,4093,4383,581560,105170,3660,534613,19393,4337,569427,28629,305,1248,13018,143738,12735,145227,1588,1743,5882
"Under $10,000        ",2487,2926,355,4640,1935,11436,556,481,375,482,325,405,397,918,0,0,12,25,*,*,109,589,1420,60,340,67,137,-5639,459,0,0,549,90,786,341,889,551,935
"$10,000 under $25,000",3846,4899,861,67204,3466,59302,824,612,424,550,349,638,493,3124,*,*,60,168,*,*,313,5681,4104,215,3963,333,294,5345,841,0,0,3500,3465,3177,3581,519,1018,1390
"$25,000 under $50,000",4456,5997,1127,159902,4189,145574,1585,1302,743,1237,633,1370,520,5427,*,*,135,379,43,250,904,34921,13187,684,26559,1008,879,34043,2971,*,*,4396,14880,4215,14992,180,174,1464
"$50,000 under $75,000",1831,2651,420,111164,1705,96466,1064,1167,588,1282,477,1899,289,4418,0,0,58,172,23,115,896,55331,15108,742,45800,1436,884,54587,3818,*,*,1824,13654,1810,14102,0,0,661
"$75,000 under $100,000",996,1641,298,86087,936,73862,726,881,523,1070,427,2623,171,3237,*,*,34,118,23,181,664,57603,13551,578,50118,1255,655,56847,3615,21,16,996,11785,993,12135,0,0,414
