adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$50,000 under $75,000",*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",*,*,*,*,--,--,--,--,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98303,468,910,197,21472,299,11947,281,547,181,702,146,845,92,951,*,*,12,40,*,*,209,13884,3399,178,13034,423,211,13877,1034,*,*,355,2311,358,2410,48,80,258
"Under $10,000        ",84,104,9,333,44,217,31,31,22,44,23,-31,13,34,--,--,--,--,--,--,12,81,143,*,*,*,14,74,39,--,--,13,4,21,10,17,15,35
"$10,000 under $25,000",109,201,52,1786,65,842,54,71,35,91,31,-26,27,147,--,--,*,*,--,--,32,541,459,28,430,62,32,541,114,--,--,69,46,73,64,31,65,66
"$25,000 under $50,000",108,216,48,3904,65,2061,65,193,37,110,15,35,13,21,--,--,--,--,*,*,52,1897,717,41,1536,57,52,1897,193,--,--,106,258,98,250,*,*,60
"$50,000 under $75,000",82,182,39,5064,51,2385,62,110,44,176,37,58,28,461,--,--,12,40,*,*,44,2748,780,42,2618,90,44,2748,233,--,--,82,473,81,490,--,--,43
"$75,000 under $100,000",49,117,30,4251,39,2673,38,79,24,79,20,157,*,*,--,--,*,*,--,--,37,3229,592,35,3062,72,37,3229,199,--,--,49,492,49,506,--,--,30
"$100,000 or more     ",36,90,19,6134,35,3769,31,63,19,202,20,652,11,288,*,*,*,*,*,*,32,5388,708,32,5388,142,32,5388,256,*,*,36,1038,36,1090,--,--,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98304,363,651,144,12396,298,8761,141,109,68,85,47,43,50,530,*,*,*,*,--,--,96,5634,1280,66,4260,87,97,5591,343,--,--,290,1134,284,1203,58,72,171
"Under $10,000        ",71,97,21,244,57,310,15,4,*,*,11,-2,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,13,2,18,3,29,25,29
"$10,000 under $25,000",103,156,29,1809,80,1314,37,40,21,14,*,*,16,89,--,--,*,*,--,--,17,284,153,*,*,*,18,241,35,--,--,90,73,89,84,18,36,50
"$25,000 under $50,000",107,218,55,3879,90,2930,46,47,19,22,22,29,24,162,--,--,*,*,--,--,33,1240,418,30,955,29,33,1240,117,--,--,105,285,95,290,11,11,44
"$50,000 under $75,000",49,105,23,2967,47,2534,21,10,11,7,*,*,*,*,*,*,--,--,--,--,21,1323,286,15,947,21,21,1323,67,--,--,49,306,49,302,--,--,27
"$75,000 under $100,000",33,75,16,3497,24,1673,22,8,17,42,14,16,10,279,--,--,--,--,--,--,25,2787,423,21,2358,37,25,2787,124,--,--,33,468,33,524,--,--,21
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98305,204,398,93,7138,166,4790,96,53,48,42,25,-19,27,216,*,*,*,*,*,*,30,2052,477,14,1004,19,28,1942,122,--,--,148,677,150,733,21,39,122
"Under $10,000        ",44,57,6,188,30,119,11,4,*,*,10,1,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,18
"$10,000 under $25,000",52,107,30,885,40,608,20,20,18,13,*,*,16,82,--,--,*,*,--,--,*,*,*,--,--,--,*,*,*,--,--,41,26,46,41,21,39,33
"$25,000 under $50,000",64,123,27,2328,56,1815,35,8,17,9,15,-20,*,*,--,--,*,*,--,--,14,486,232,14,1004,19,13,462,46,--,--,63,176,60,188,--,--,39
"$50,000 under $75,000",22,52,13,1290,30,1647,13,6,*,*,*,*,11,134,--,--,--,--,--,--,16,1566,245,*,*,*,15,1480,76,--,--,22,128,22,131,--,--,22
"$75,000 under $100,000",11,28,8,904,*,*,17,15,13,20,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,11,104,11,102,--,--,*
"$100,000 or more     ",11,31,9,1543,10,601,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,--,--,11,243,11,271,--,--,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98310,8591,16285,4446,333535,6706,236552,3721,5577,1783,4317,1390,9410,727,7932,*,*,156,441,34,364,2332,148106,35276,1936,129922,5322,2329,147220,8271,16,31,7062,32759,6583,31724,1312,2108,4086
"Under $10,000        ",1338,1772,349,5915,1033,5470,286,256,146,159,117,-70,91,267,--,--,*,*,--,--,44,267,544,27,162,24,57,62,141,--,--,257,33,323,83,462,469,514
"$10,000 under $25,000",2356,3745,1005,41116,1724,28534,713,781,299,458,231,-28,140,910,--,--,25,50,--,--,256,4618,3093,183,3337,376,249,4510,534,--,--,1951,1680,1681,1650,612,1444,1210
"$25,000 under $50,000",2592,5020,1385,93850,1976,65425,1214,1658,529,893,387,272,219,1293,*,*,58,141,*,*,722,27438,9246,568,21748,1111,718,27292,2049,*,*,2556,7156,2304,6568,238,195,1232
"$50,000 under $75,000",1287,3108,964,78811,1092,59120,737,1294,378,920,288,645,144,1128,*,*,32,90,14,99,647,39964,9822,546,33786,1438,643,39705,2221,--,--,1281,7878,1258,7339,--,--,625
"$75,000 under $100,000",610,1595,473,52403,551,41749,430,567,211,742,172,746,67,926,--,--,25,94,*,*,367,31637,6028,331,28574,912,367,31637,1552,*,*,609,6089,609,5881,--,--,282
"$100,000 or more     ",408,1045,270,61440,330,36254,341,1021,220,1145,195,7845,66,3408,--,--,16,66,20,265,296,44182,6543,281,42315,1461,295,44014,1774,16,31,408,9923,408,10203,--,--,223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98311,10342,22569,7172,479514,8885,376880,4962,4602,2280,4120,1764,9305,1038,8495,*,*,295,814,46,562,4000,281925,64736,3427,251540,8940,3977,279512,16262,50,135,8764,48331,8162,45617,1141,1912,4639
"Under $10,000        ",1559,1989,326,6637,1305,7007,356,170,164,138,134,-65,99,-121,--,--,*,*,--,--,47,287,517,34,221,35,62,-382,149,--,--,406,72,473,125,335,404,517
"$10,000 under $25,000",2106,3422,935,36666,1678,27801,614,506,237,300,157,-114,132,693,--,--,23,44,--,--,247,4624,3238,167,3171,234,235,4424,562,--,--,1731,1528,1501,1492,546,1291,973
"$25,000 under $50,000",2711,5901,1930,100548,2214,75729,1295,1041,556,799,440,136,276,1887,*,*,96,256,*,*,991,38819,13809,781,30664,1320,982,38514,3227,--,--,2664,7134,2305,6345,260,217,1349
"$50,000 under $75,000",2005,5531,2011,124448,1841,101551,1221,981,554,839,410,667,253,1359,*,*,101,271,14,43,1241,77697,19302,1090,68321,2264,1230,77017,4706,*,*,2002,11503,1926,10099,--,--,943
"$75,000 under $100,000",1163,3454,1243,100098,1101,83809,824,913,409,668,306,933,149,1034,*,*,45,127,12,63,841,72425,14159,753,64974,2011,837,72102,3795,*,*,1163,10928,1160,10154,--,--,484
"$100,000 or more     ",798,2272,727,111117,746,80983,652,991,360,1376,317,7748,129,3643,*,*,30,116,20,456,633,88073,13711,602,84189,3076,631,87837,3823,50,135,798,17166,797,17402,--,--,373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98312,12982,26476,8004,550757,10950,421056,5250,6962,2549,6265,2051,12136,1247,14117,14,-33,303,877,49,797,3998,286101,64840,3318,253716,8096,3977,284263,17011,54,117,10655,58077,9795,56363,2089,3362,6256
"Under $10,000        ",2072,2919,677,7910,1657,8979,385,293,199,216,178,-165,193,208,*,*,*,*,--,--,74,412,975,43,220,38,91,-46,241,--,--,435,62,557,170,755,851,880
"$10,000 under $25,000",3299,5596,1603,58152,2671,44878,848,884,324,494,264,120,236,1477,*,*,50,108,*,*,415,7764,5040,285,5339,442,404,7550,1094,--,--,2675,2292,2293,2304,899,2147,1629
"$25,000 under $50,000",3693,7925,2601,133628,3098,104940,1411,1462,620,994,451,423,297,1912,14,-33,82,220,*,*,1056,40454,13968,790,30342,1310,1034,39674,3162,--,--,3637,9698,3086,8599,435,364,1853
"$50,000 under $75,000",2026,4807,1466,123653,1768,96672,1169,1815,582,1500,457,1049,235,2338,*,*,73,203,25,177,1060,65620,16340,907,56324,1819,1058,65507,4296,*,*,2018,12336,1971,11538,--,--,972
"$75,000 under $100,000",989,2686,852,85057,922,69346,681,674,368,854,270,772,134,1719,--,--,44,153,*,*,673,58068,11652,614,53110,1658,671,57906,3308,*,*,988,9595,987,9197,--,--,437
"$100,000 or more     ",903,2543,805,142357,834,96241,756,1834,456,2207,431,9937,152,6463,*,*,54,193,24,620,720,113783,16865,679,108381,2829,719,113672,4910,54,117,902,24094,901,24555,--,--,485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98314,36,55,17,704,36,704,*,*,--,--,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,41,26,34,--,--,29
"Under $10,000        ",*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*
"$10,000 under $25,000",36,55,17,704,36,704,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,41,26,34,--,--,29
"$25,000 under $50,000",*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$50,000 under $75,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98315,1770,4297,1523,55310,1759,54279,426,81,116,35,73,-15,62,81,--,--,36,76,--,--,116,7018,1818,92,6034,258,113,6817,375,--,--,1640,3608,1221,2572,329,478,1116
"Under $10,000        ",98,112,10,554,96,749,*,*,*,*,*,*,10,-22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,6,38,6,14,17,45
"$10,000 under $25,000",732,1165,225,13523,730,13493,95,9,17,2,13,-5,*,*,--,--,*,*,--,--,12,244,112,*,*,*,12,244,10,--,--,663,625,546,556,154,331,514
"$25,000 under $50,000",718,2269,959,25685,713,25524,204,38,48,14,27,-11,34,-14,--,--,23,39,--,--,43,1729,630,36,1393,64,42,1704,106,--,--,711,1402,421,738,161,130,451
"$50,000 under $75,000",160,530,229,9543,159,9025,82,20,28,9,16,8,18,117,--,--,13,37,--,--,31,1928,477,28,1729,55,31,1928,107,--,--,160,857,154,634,--,--,84
"$75,000 under $100,000",43,158,73,3584,42,3372,27,4,13,6,17,-7,*,*,--,--,--,--,--,--,15,1259,278,14,1183,69,13,1083,55,--,--,43,371,43,301,--,--,22
"$100,000 or more     ",19,63,27,2421,19,2116,18,10,10,4,*,*,*,*,--,--,--,--,--,--,15,1858,321,14,1729,70,15,1858,97,--,--,19,347,19,337,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98320,535,987,178,21055,310,8392,306,711,164,533,151,1577,109,685,--,--,12,27,--,--,177,11747,3280,128,8641,261,183,11561,796,*,*,384,1974,397,2073,59,91,281
"Under $10,000        ",119,161,15,322,66,334,46,60,28,57,22,-32,24,-35,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,22,3,36,12,31,33,54
"$10,000 under $25,000",141,259,50,2415,71,993,75,114,36,49,31,-19,30,320,--,--,*,*,--,--,30,490,375,23,365,36,37,346,105,--,--,91,63,100,113,28,58,62
"$25,000 under $50,000",133,267,59,4839,89,2544,81,128,40,96,34,-20,27,189,--,--,12,27,--,--,47,1800,763,31,1196,36,46,1758,157,--,--,130,317,119,334,*,*,76
"$50,000 under $75,000",64,136,29,3845,38,1667,41,90,23,86,26,67,10,46,--,--,*,*,--,--,37,2190,582,21,1294,38,37,2190,148,--,--,64,362,64,364,--,--,38
"$75,000 under $100,000",47,106,20,4012,28,1756,37,114,18,77,17,107,18,165,--,--,--,--,--,--,38,3242,738,33,2838,111,38,3242,206,--,--,47,427,47,435,--,--,30
"$100,000 or more     ",31,58,5,5622,18,1098,26,205,19,168,21,1474,*,*,--,--,--,--,--,--,25,4025,822,20,2948,40,25,4025,180,*,*,30,802,31,815,--,--,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98321,6127,13680,4500,300080,5395,245277,2619,2776,1345,2093,1050,9270,866,7843,53,-236,124,390,28,255,2859,207645,51818,2446,183790,4935,2864,206855,14663,61,148,5149,29692,4959,28436,572,868,3141
"Under $10,000        ",927,1173,175,3214,731,3731,190,120,83,61,73,-50,93,-60,*,*,12,36,--,--,44,270,562,27,177,27,56,-295,208,--,--,233,44,292,102,200,218,322
"$10,000 under $25,000",1165,1852,430,20223,916,14903,338,411,148,257,120,72,122,1018,20,-70,*,*,--,--,206,3779,2908,155,2912,236,203,3736,677,--,--,925,803,865,920,243,547,588
"$25,000 under $50,000",1486,3104,1035,54887,1332,45560,548,498,262,347,187,368,188,1256,*,*,33,112,15,86,578,22457,8632,458,17884,682,576,22394,2242,--,--,1442,3974,1300,3681,129,103,780
"$50,000 under $75,000",1219,3440,1307,75416,1151,65324,640,440,336,309,236,549,219,1435,16,-79,32,96,--,--,875,54593,14814,757,47457,1285,873,54474,4029,--,--,1219,6544,1176,5801,--,--,708
"$75,000 under $100,000",785,2416,911,67657,753,58540,489,360,265,355,206,723,146,1030,*,*,21,60,*,*,662,57258,12790,599,51952,1227,662,57258,3664,*,*,785,6806,783,6305,--,--,420
"$100,000 or more     ",545,1695,642,78683,512,57219,414,947,251,764,228,7608,98,3164,17,-87,26,86,13,169,494,69288,12112,450,63408,1478,494,69288,3843,61,148,545,11521,543,11627,--,--,323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98322,437,927,247,21905,351,16744,227,162,103,93,79,141,80,304,*,*,*,*,*,*,211,14683,3543,176,13165,517,211,14600,850,*,*,360,2221,367,2283,42,64,219
"Under $10,000        ",61,82,16,248,45,250,14,15,*,*,12,2,22,-76,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,13,2,25,14,19,18,23
"$10,000 under $25,000",83,148,36,1429,58,978,32,18,18,19,*,*,*,*,--,--,--,--,--,--,27,401,369,15,210,33,29,397,73,--,--,56,47,60,66,23,46,35
"$25,000 under $50,000",100,182,39,3710,73,2385,51,61,21,23,17,-4,18,-45,--,--,*,*,--,--,45,1734,609,35,1322,78,43,1655,132,--,--,98,276,92,279,*,*,56
"$50,000 under $75,000",87,232,76,5409,77,4312,53,22,27,24,19,10,18,215,--,--,*,*,--,--,52,3256,825,43,2690,172,52,3256,201,--,--,87,496,84,486,--,--,44
"$75,000 under $100,000",67,183,55,5802,59,4801,44,30,21,13,15,-1,12,59,*,*,--,--,--,--,53,4595,1036,50,4350,125,53,4595,251,--,--,67,613,67,617,--,--,33
"$100,000 or more     ",39,100,25,5307,39,4018,33,16,16,14,16,134,10,151,--,--,*,*,*,*,34,4697,704,33,4593,109,34,4697,193,*,*,39,787,39,821,--,--,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98323,301,731,281,12997,265,11044,111,44,39,6,23,0,22,111,--,--,*,*,--,--,97,6711,1611,71,5453,162,97,6708,405,--,--,252,1199,236,1106,37,60,165
"Under $10,000        ",52,73,15,210,40,226,14,3,*,*,--,--,11,-5,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,15,3,20,6,12,7,23
"$10,000 under $25,000",60,118,46,1052,44,789,20,10,18,2,*,*,*,*,--,--,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,49,39,43,45,25,53,26
"$25,000 under $50,000",77,172,63,2917,71,2417,21,13,*,*,*,*,*,*,--,--,--,--,--,--,30,1097,394,13,448,7,30,1094,111,--,--,76,216,66,181,*,*,51
"$50,000 under $75,000",65,216,98,3986,64,3578,27,5,21,4,23,0,11,116,--,--,--,--,--,--,35,2144,543,28,1743,58,35,2144,123,--,--,65,351,60,286,--,--,35
"$75,000 under $100,000",32,98,35,2768,31,2507,18,9,*,*,*,*,*,*,--,--,--,--,--,--,20,1757,408,19,1663,45,20,1757,90,--,--,32,287,32,291,--,--,30
"$100,000 or more     ",15,54,24,2064,15,1527,11,4,*,*,*,*,--,--,--,--,--,--,--,--,12,1713,266,11,1599,52,12,1713,81,--,--,15,303,15,297,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98324,419,746,120,20952,236,7325,266,688,154,677,128,2482,69,426,--,--,*,*,*,*,140,9769,2434,113,8490,272,139,9651,659,*,*,326,2633,333,2660,40,47,253
"Under $10,000        ",80,101,6,341,38,217,36,18,20,20,13,-7,18,76,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,15,2,28,13,22,9,50
"$10,000 under $25,000",94,160,36,1682,55,857,49,63,25,69,10,33,11,130,--,--,*,*,--,--,28,421,446,20,311,20,29,415,61,--,--,67,51,65,64,18,38,51
"$25,000 under $50,000",119,207,30,4342,65,1862,79,308,42,143,40,68,27,150,--,--,*,*,--,--,33,1176,469,24,835,40,32,1144,113,--,--,119,320,115,330,*,*,67
"$50,000 under $75,000",58,124,19,3568,36,1622,45,113,39,122,31,206,*,*,--,--,--,--,--,--,34,2051,548,29,1769,50,34,2051,139,--,--,57,326,57,321,--,--,37
"$75,000 under $100,000",25,52,6,2132,15,764,21,60,*,*,*,*,13,70,--,--,--,--,--,--,16,1374,322,14,1186,74,15,1294,115,--,--,25,222,25,243,--,--,17
"$100,000 or more     ",43,102,23,8887,27,2003,36,126,28,323,34,2182,*,*,--,--,--,--,*,*,29,4747,649,26,4389,88,29,4747,231,*,*,43,1712,43,1689,--,--,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98325,924,1892,510,35133,683,22934,464,579,241,616,176,890,189,1654,30,-145,33,86,--,--,273,16790,4388,213,13705,426,278,16772,1060,*,*,699,3321,698,3252,128,194,476
"Under $10,000        ",191,264,42,780,127,723,71,47,35,68,25,-18,42,119,13,-5,*,*,--,--,*,*,*,*,*,*,10,10,17,--,--,39,7,71,38,58,55,89
"$10,000 under $25,000",227,390,87,3859,143,2195,105,131,53,116,25,42,44,417,*,*,*,*,--,--,47,781,586,27,447,59,42,753,115,--,--,161,119,161,172,49,123,117
"$25,000 under $50,000",266,597,176,9711,208,6747,128,167,63,158,57,-7,50,538,17,-140,17,32,--,--,86,3155,1352,65,2422,119,86,3155,260,--,--,259,641,230,630,21,16,135
"$50,000 under $75,000",132,345,114,8188,116,6137,78,90,40,92,30,189,28,322,*,*,16,54,--,--,69,4256,1028,58,3580,73,69,4256,252,--,--,132,759,128,710,--,--,73
"$75,000 under $100,000",59,176,63,5082,53,4228,39,30,22,11,13,99,14,188,*,*,*,*,--,--,37,3258,710,32,2842,64,37,3258,175,--,--,59,530,59,530,--,--,29
"$100,000 or more     ",49,120,28,7513,36,2904,43,114,28,171,26,585,11,70,*,*,*,*,--,--,34,5340,712,31,4414,111,34,5340,241,*,*,49,1265,49,1172,--,--,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98326,274,547,173,8526,232,6364,87,95,28,41,26,4,28,112,*,*,*,*,--,--,32,1920,412,20,1235,36,32,1734,105,--,--,192,751,188,717,47,79,115
"Under $10,000        ",78,121,36,385,62,279,*,*,*,*,*,*,13,93,*,*,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,13,2,18,8,31,40,24
"$10,000 under $25,000",56,99,26,927,44,644,24,8,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,31,41,40,16,39,25
"$25,000 under $50,000",88,186,64,3237,77,2678,30,65,18,37,14,3,15,19,--,--,*,*,--,--,13,479,126,*,*,*,14,488,36,--,--,88,257,79,234,*,*,37
"$50,000 under $75,000",36,95,29,2195,36,1868,20,6,10,4,12,1,*,*,*,*,--,--,--,--,19,1441,286,20,1235,36,18,1246,69,--,--,36,202,35,192,--,--,18
"$75,000 under $100,000",16,46,18,1782,13,895,13,16,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,16,259,15,243,--,--,11
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,--,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98327,2249,5147,1599,124385,2040,106042,1276,951,752,1116,553,3215,223,1068,--,--,72,197,12,162,1137,82957,19136,990,74171,2635,1131,81947,4327,15,52,1946,13637,1818,12896,196,294,1025
"Under $10,000        ",258,400,83,793,199,1120,76,32,42,39,31,-26,18,-55,--,--,--,--,--,--,18,102,239,10,54,11,24,-122,61,--,--,56,11,69,28,68,74,110
"$10,000 under $25,000",285,513,119,5021,238,4292,118,54,72,80,52,-22,14,-209,--,--,*,*,--,--,69,1233,911,53,952,67,69,1233,162,--,--,202,165,182,174,70,171,132
"$25,000 under $50,000",620,1336,428,23219,569,20577,334,218,175,142,120,-64,58,40,--,--,35,103,--,--,277,10910,3925,233,9176,545,273,10754,784,--,--,603,1653,499,1412,58,49,286
"$50,000 under $75,000",546,1381,467,33870,517,30333,339,177,200,166,133,223,56,9,--,--,21,54,--,--,340,21219,5381,302,18849,608,337,21055,1205,--,--,545,3248,529,2851,--,--,241
"$75,000 under $100,000",289,818,268,24954,277,21531,206,241,123,143,96,79,40,550,--,--,16,40,12,162,222,19158,4176,196,16951,634,219,18897,933,*,*,289,2659,288,2503,--,--,129
"$100,000 or more     ",251,699,234,36528,240,28189,203,229,140,546,121,3025,37,733,--,--,*,*,*,*,211,30335,4504,196,28189,770,209,30130,1182,15,52,251,5901,251,5928,--,--,127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98328,3983,8955,2936,185023,3351,140892,1682,2909,837,2065,779,9760,607,5242,122,-1384,94,262,10,73,1601,116126,27989,1322,100588,3294,1608,115249,6892,23,69,3156,19270,3040,18823,485,793,2088
"Under $10,000        ",736,1040,204,2329,552,3181,184,175,88,116,79,-13,86,-175,23,-261,*,*,--,--,41,249,570,21,130,15,53,-349,135,--,--,152,29,214,86,189,226,308
"$10,000 under $25,000",803,1439,403,13867,619,9948,252,315,121,248,108,144,108,746,18,-137,12,21,--,--,130,2353,1845,95,1707,167,130,2353,401,--,--,588,484,564,594,204,501,406
"$25,000 under $50,000",1013,2313,810,37860,863,30145,375,580,172,348,165,356,162,1243,17,-137,30,89,10,73,382,14837,5669,301,11723,546,379,14723,1232,--,--,986,2607,867,2483,92,66,557
"$50,000 under $75,000",714,2046,768,44361,666,37429,371,282,178,254,147,440,116,932,23,-191,27,55,--,--,469,29252,7670,395,24790,680,468,29197,1879,--,--,713,3907,679,3509,--,--,390
"$75,000 under $100,000",401,1185,423,34419,367,28218,244,344,125,273,123,741,70,785,16,-162,25,97,*,*,308,26514,5875,266,22927,605,308,26514,1451,*,*,401,3553,400,3361,--,--,217
"$100,000 or more     ",316,932,328,52187,284,31971,256,1213,153,826,157,8092,65,1711,25,-496,*,*,*,*,271,42921,6360,244,39311,1281,270,42811,1794,23,69,316,8690,316,8790,--,--,210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98329,3454,7715,2529,165678,2984,130646,1372,1439,697,1801,573,3796,532,5177,16,-37,89,230,10,26,1548,111586,26969,1260,96181,2873,1542,110833,6817,19,45,2837,17586,2695,17097,407,656,1550
"Under $10,000        ",564,737,124,2041,425,2083,137,72,62,78,42,-75,70,24,--,--,10,14,--,--,33,193,497,22,131,19,42,30,94,--,--,126,21,171,49,123,143,172
"$10,000 under $25,000",657,1132,321,11142,523,8180,163,166,82,176,58,-42,92,666,--,--,*,*,--,--,106,1908,1459,67,1226,141,102,1833,289,--,--,505,401,466,476,196,441,296
"$25,000 under $50,000",951,2188,784,35556,843,29389,329,227,160,180,131,235,142,1014,16,-37,27,74,10,26,430,16679,6041,327,12752,484,421,16333,1430,--,--,926,2391,800,2155,88,72,447
"$50,000 under $75,000",647,1812,669,39821,592,33224,309,298,150,292,130,313,111,1354,*,*,24,68,*,*,442,27449,7432,359,22402,593,441,27389,1723,*,*,645,3498,624,3211,--,--,309
"$75,000 under $100,000",346,985,334,29670,332,25603,215,114,115,170,89,146,60,574,*,*,17,41,*,*,279,23932,5002,251,21598,528,279,23932,1381,--,--,346,3169,345,3002,--,--,169
"$100,000 or more     ",289,861,297,47448,269,32167,219,562,128,905,123,3219,57,1545,*,*,11,33,*,*,258,41425,6538,234,38072,1108,257,41316,1900,19,45,289,8106,289,8204,--,--,157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98330,112,239,80,2792,82,2160,30,15,11,8,10,-3,12,26,--,--,--,--,--,--,19,956,286,10,467,12,19,956,63,--,--,68,164,69,170,26,47,66
"Under $10,000        ",28,39,8,107,17,103,12,6,--,--,--,--,12,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,13
"$10,000 under $25,000",39,77,25,639,30,499,*,*,11,8,10,-3,*,*,--,--,--,--,--,--,--,--,--,10,467,12,--,--,--,--,--,24,16,29,27,26,47,24
"$25,000 under $50,000",30,74,27,1082,22,752,18,9,*,*,*,*,*,*,--,--,--,--,--,--,19,956,286,*,*,*,19,956,63,--,--,29,67,27,68,*,*,17
"$50,000 under $75,000",15,49,20,964,13,806,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,15,81,13,75,--,--,12
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
